GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0827c_DMSO_RIF	Rv0827c_DMSO_noDrug
MT0639	MT0639	hypothetical protein	hypoxia_late:10%	0.3273	0.0881617054312297	42.88	15	11	19	80	150	51.88	40.91
MTS1082	MTS1082	putative small regulatory RNA	hypoxia_rar:14%; ctl_exponential:13%; acidic:10%	0.2799	0.0475246215280791	49.65	21	41	64	31	114	1150	948.02
PE_PGRS41	Rv2396	acid and phagosome regulated protein AprC	nutrient_limitation:19%; acidic:15%	0.2067	7.32841423505141e-05	32.93	44	44	33	26	21	1005.9	874.56
fadD22	Rv2948c	p-hydroxybenzoyl--AMP ligase	INDIGO_exponential:14%; acidic:11%	0.2118	0.000853881467257805	35.97	43	55	40	25	22	240.83	208.66
MTS2873	MTS2873	small intergenic RNA	butyrate:18%; acidic_tyloxopol:13%; butyrate_plus_glucose:10%	0.3836	0.0764911536175978	61.12	9	38	77	37	227	440.15	337.11
Rv3594	Rv3594	hypothetical protein	PBS_RIF_DDmtb:12%; hypoxia_late:11%	0.2333	0.0205872425219169	37.13	34	35	38	36	43	100.13	85.08
Rv1842c	Rv1842c	hypothetical protein	zinc_limitation:8%	0.2104	0.00199677294936245	37.8	42	50	49	28	24	240.58	208.36
pks15	Rv2947c	polyketide synthase	acidic:15%; ctl_exponential:12%	0.2019	0.000358823684063424	36.46	51	51	35	27	23	354.48	309.19
MT0610	MT0610	hypothetical protein	ctl_stationary:10%	0.2072	0.00526516251860254	37.98	45	49	39	29	30	283.96	246.54
Rv1073	Rv1073	hypothetical protein	PBS_RIF_DDmtb:16%; nutrient_limitation:10%	0.195	0.00212903506922933	44.83	58	60	54	30	28	414.13	363.11
PE_PGRS9	Rv0746	PE-PGRS family protein PE_PGRS9	hypoxia_late:40%	0.2029	0.0198910716459554	49.9	48	70	66	39	32	101.23	88.11
PE35	Rv3872	PE family protein PE35	hypoxia_rar:11%; human_sputum:10%	0.205	0.0313471732846266	50.25	54	66	61	35	39	427.83	372.64
MT2514	MT2514	hypothetical protein	PBS_RIF_DDmtb:16%	0.3417	0.239854990758988	67.98	22	16	20	129	279	81.85	64.54
glyT	Rvnt32	tRNA-Gly	zinc_limitation:30%; human_sputum:23%; hypoxia_late:15%	0.2975	0.205749631608206	62.1	25	14	16	117	251	157.2	127.05
Rv0892	Rv0892	monooxygenase	hypoxia_late:13%	0.1988	0.0319972304553729	50.26	55	58	48	43	48	80.49	70.09
rplP	Rv0708	50S ribosomal protein L16	high_iron:10%	0.1791	0.000710652884041418	49.9	78	65	52	34	29	1670.94	1480.91
pth	Rv1014c	peptidyl-tRNA hydrolase	acidic_tyloxopol:11%; hypoxia_late:11%	0.2137	0.132152811942933	56.55	46	47	41	66	89	90.15	77.66
MTS2255	MTS2255	small intergenic RNA	human_sputum:17%; hypoxia_rar:12%; zinc_limitation:12%	0.1915	0.0385690268309967	54.54	65	67	62	40	42	443.72	390.48
vapC28	Rv0609	ribonuclease VapC28	tyloxopol:8%	0.1878	0.0421916353615529	55.83	67	64	56	42	52	328.72	289.25
PEP0077	PEP0077	Small peptide in vicinity of Rv0581	ctl_stationary:12%; hypoxia_late:12%	0.254	0.23919473995078	71.33	35	33	34	110	203	242.69	203.56
Rv0430	Rv0430	hypothetical protein	ctl_exponential:19%	0.1876	0.0483252582878621	61.1	69	77	70	48	45	532.71	469.39
Rv1359	Rv1359	transcriptional regulator	hypoxia_late:9%	0.2389	0.197478265144035	79.98	32	59	76	111	147	50.91	42.65
pyrF	Rv1385	orotidine 5'-phosphate decarboxylase	hypoxia_late:20%	0.1911	0.0566719613217407	73.5	66	103	119	53	41	229.62	201.46
guaB1	Rv1843c	inosine-5'-monophosphate dehydrogenase	acidic:7%	0.1665	0.00254872554552094	63.48	95	94	68	41	33	473.31	422.89
vapB28	Rv0608	antitoxin VapB28	INDIGO_exponential:10%	0.1709	0.0271917377717954	61.77	93	74	55	44	49	835.07	743.92
lppX	Rv2945c	lipoprotein LppX	tyloxopol:11%; INDIGO_exponential:10%	0.1834	0.0622489155481884	71.55	90	91	105	47	38	330.58	292.02
cobU	Rv0254c	bifunctional cobinamide kinase/cobinamide phosphate guanylyltransferase	hypoxia_late:18%; nutrient_limitation:10%	0.2134	0.241941986810451	75.93	52	48	36	108	170	70.41	60.65
Rv2958c	Rv2958c	PGL/p-HBAD biosynthesis glycosyltransferase	hypoxia_late:17%; hypoxia_rar:11%	0.1905	0.172243971402645	71.14	60	63	58	77	102	51.51	44.94
rplR	Rv0720	50S ribosomal protein L18	hypoxia_rar:10%	0.1679	0.0245741401660013	72.25	98	104	94	45	36	1224.83	1094.9
ppa	Rv3628	inorganic pyrophosphatase	tyloxopol:12%	0.1887	0.127965347302166	76.75	61	82	95	68	80	230.21	201.62
dinX	Rv1537	DNA polymerase IV	PBS_RIF_DDmtb:26%; hypoxia_late:21%	0.202	0.21552201843211	81.86	53	73	74	99	118	38.96	33.72
vapB42	Rv2760c	antitoxin VapB42	hypoxia_late:29%	0.2682	0.346570986677533	93.2	37	40	53	156	259	64.58	53.71
Rv0910	Rv0910	toxin	acidic:10%	0.1649	0.0517217218634739	71.37	102	96	65	49	53	466.19	417.06
Rv0076c	Rv0076c	membrane protein	acidic_tyloxopol:12%	0.1937	0.226347079131731	81.14	63	76	72	97	101	171.41	150
mraZ	Rv2166c	transcriptional regulator MraZ	hypoxia_hypoxic:14%	0.179	0.09700245378847	82.03	82	101	117	59	59	395.75	350.58
Rv0356c	Rv0356c	hypothetical protein	hypoxia_late:12%; acidic_tyloxopol:10%	0.1733	0.101410895205186	74.22	91	88	63	58	74	191.18	169.89
murF	Rv2157c	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	microaerophilic:46%	0.1579	0.0302048389110121	77.58	106	118	90	50	40	259.93	233.57
Rv0514	Rv0514	transmembrane protein	high_iron:12%	0.1793	0.128057091615976	84.01	86	98	106	62	72	421.46	373.38
rpsE	Rv0721	30S ribosomal protein S5	high_iron:10%	0.1518	0.00955440305982747	78.52	117	122	85	51	37	2006.52	1812.65
MT0740.1	MT0740.1	hypothetical protein	hypoxia_late:15%; ctl_stationary:15%; ctl_exponential:10%	0.2696	0.417058555524046	97.84	41	29	30	184	347	106.75	88.54
Rv0530A	Rv0530A	hypothetical protein	acidic_tyloxopol:9%	0.1897	0.229293684171833	84.88	81	83	86	78	97	434.71	383.4
Rv0367c	Rv0367c	hypothetical protein	hypoxia_late:15%; ctl_stationary:10%	0.1996	0.290215634012327	92.41	59	78	81	114	141	131.11	113.9
Rv1333	Rv1333	hydrolase	hypoxia_late:9%	0.1588	0.0545553360305462	82.91	108	120	98	52	50	288.97	259.71
vapC43	Rv2872	ribonuclease VapC43	ctl_stationary:19%; hypoxia_late:10%; PBS_RIF_DDmtb:10%	0.2122	0.357625191842679	94.5	50	43	46	163	238	68.88	59.16
glgA	Rv1212c	capsular glucan synthase	tyloxopol:8%	0.1577	0.0497903407672416	88.22	110	124	129	54	44	334.21	300.63
Rv3122	Rv3122	hypothetical protein	microaerophilic:24%; zinc_limitation:14%	0.1656	0.173727760633436	82.43	103	87	60	71	95	221.49	198.02
Rv0813c	Rv0813c	hypothetical protein	low_iron:10%	0.1534	0.0761334897201494	82.46	116	116	69	60	61	334.15	301.3
rpmC	Rv0709	50S ribosomal protein L29	ctl_exponential:11%	0.1526	0.0482059416748425	89.26	120	127	114	56	47	2556.98	2309.64
Rv1498A	Rv1498A	hypothetical protein	zinc_limitation:12%; ctl_stationary:12%	0.2543	0.441713798128673	105.67	49	69	92	151	202	113.2	94.86
PE23	Rv2328	PE family protein PE23	PBS_RIF_DDmtb:15%	0.1851	0.26311828558994	92.6	76	86	78	105	122	54.6	47.89
Rv1443c	Rv1443c	hypothetical protein	zinc_limitation:7%	0.1892	0.269437723268082	95.87	77	93	122	96	94	223.01	194.99
mpr5	Rvnc0007	fragment of putative small regulatory RNA	hypoxia_late:19%	0.2514	0.439242339046662	106.4	40	34	50	214	314	180.88	150.88
Rv0500B	Rv0500B	conserved hypothetical protein	acidic:19%; ctl_exponential:15%	0.2	0.226217736228601	112.64	62	128	150	61	191	3416.21	2981.37
glgP	Rv1328	glycogen phosphorylase	ctl_exponential:9%	0.1448	0.0185723377022457	90.77	132	144	99	55	46	307.06	278.52
Rv0380c	Rv0380c	RNA methyltransferase	butyrate_plus_glucose:9%	0.1781	0.174973515445593	100.46	80	119	145	82	84	264.92	233.92
alaV	Rvnt15	tRNA-Ala	hypoxia_late:16%; hypoxia_hypoxic:16%	0.3312	0.588650486534571	115.88	47	10	10	306	536	57.1	45.05
PPE59	Rv3429	PPE family protein PPE59	human_sputum:10%	0.1713	0.183653031622104	100.83	99	123	135	75	79	270.62	241.23
proB	Rv2439c	glutamate 5-kinase protein	hypoxia_late:18%	0.1509	0.0949966004259626	92.86	125	130	91	67	62	229.45	207.2
helY	Rv2092c	ATP-dependent DNA helicase HelY	cholesterol:9%	0.1446	0.0325852023711857	96.22	139	147	109	57	51	213.72	193.92
Rv0513	Rv0513	transmembrane protein	high_iron:12%	0.1438	0.0700498430420899	91.48	143	131	73	63	63	554.64	503.8
PE_PGRS13	Rv0833	PE-PGRS family protein PE_PGRS13	microaerophilic:24%; hypoxia_late:19%	0.1606	0.134210753095107	101.15	105	133	139	76	64	113.08	101.17
MT0383	MT0383	hypothetical protein	hypoxia_late:15%	0.1907	0.349831746964207	110.46	71	92	103	127	172	122.37	106.95
rpsQ	Rv0710	30S ribosomal protein S17	INDIGO_exponential:11%; hypoxia_rar:10%	0.1496	0.0918140535120888	100.18	124	132	137	70	54	1953.04	1767.67
Rv3258c	Rv3258c	hypothetical protein	tyloxopol:11%; ctl_exponential:11%; hypoxia_late:10%	0.1531	0.109605193626485	103.23	118	149	141	69	57	795.13	717.46
Rv1597	Rv1597	hypothetical protein	low_iron:9%	0.1544	0.187457556109408	100.1	107	117	101	87	90	212.51	190.91
relB	Rv1247c	antitoxin RelB	PBS_RIF_DDmtb:10%	0.1863	0.373842888769511	107.6	88	62	43	153	246	137.36	120.94
Rv1413	Rv1413	hypothetical protein	hypoxia_late:12%; acidic_tyloxopol:11%	0.179	0.343604370972705	104.79	85	85	80	120	165	111.89	98.69
espK	Rv3879c	ESX-1 secretion-associated protein EspK	PBS_RIF_DDmtb:10%	0.1378	0.0222860719001389	100.16	156	164	87	64	55	360.7	328.95
mmpL11	Rv0202c	transmembrane transport protein MmpL11	cholesterol:18%	0.1366	0.0200563576790827	100.82	162	163	84	65	56	270.25	246.62
cysK2	Rv0848	cysteine synthase CysK	microaerophilic:57%	0.2518	0.558605459773543	134.26	79	111	146	84	298	79.06	66.21
aprB	Rv2395B	acid and phagosome regulated protein AprB	nutrient_limitation:22%; acidic:18%	0.1409	0.0868384432772668	103.26	151	152	93	72	65	2025.14	1843.75
fabD2	Rv0649	malonyl CoA-acyl carrier protein transacylase	hypoxia_late:67%	0.2802	0.603251716312729	136.22	38	45	67	289	412	14.94	11.92
MT3080.1	MT3080.1	hypothetical protein	zinc_limitation:10%	0.1587	0.336620581495537	109.31	119	110	83	103	135	387.79	349.19
Rv1767	Rv1767	hypothetical protein	hypoxia_fatty_acids:18%	0.2417	0.589930395017165	135.15	57	57	57	249	388	37.58	31.7
Rv0829	Rv0829	transposase	zinc_limitation:24%; cholesterol:24%	0.2205	0.465515276907858	149.97	56	114	210	109	329	678.55	583.34
Rv1841c	Rv1841c	hypothetical protein	zinc_limitation:8%	0.1433	0.163984830375315	110.88	142	145	104	86	85	207.23	188.04
trpT	Rvnt08	tRNA-Trp	zinc_limitation:20%; human_sputum:13%	0.1831	0.417205555324007	130.81	97	125	151	125	161	535.15	473.68
rplI	Rv0056	50S ribosomal protein L9	zinc_limitation:16%	0.1423	0.137850733098255	116.67	146	159	143	83	68	885.47	805
Rv0923c	Rv0923c	hypothetical protein	zinc_limitation:13%	0.1385	0.13378439645596	113.73	159	160	113	74	78	279.02	254.5
fbpC	Rv0129c	diacylglycerol acyltransferase/mycolyltransferase Ag85C	hypoxia_hypoxic:13%; tyloxopol:11%; hypoxia_rar:10%	0.1333	0.0415677712772513	115.35	174	170	125	73	60	1215.66	1112.37
espL	Rv3880c	ESX-1 secretion-associated protein EspL	acidic:10%	0.1433	0.150396834858496	119.71	134	166	140	94	76	923.23	837.3
MT1285	MT1285	hypothetical protein	tyloxopol:10%	0.2339	0.584804379314302	141.34	64	71	97	213	345	146.31	125.03
bkdA	Rv2497c	branched-chain keto acid dehydrogenase E1 component subunit alpha	microaerophilic:30%	0.148	0.1979037743466	125.05	133	177	183	79	75	259.46	235.06
Rv0448c	Rv0448c	hypothetical protein	PBS_RIF_DDmtb:28%; human_sputum:12%	0.1928	0.528347580662835	135.09	84	79	75	204	293	44.53	38.88
PE_PGRS59	Rv3595c	PE-PGRS family protein PE_PGRS59	hypoxia_late:15%	0.1512	0.262175162890768	125.01	130	168	154	91	92	144.32	130.41
Rv2966c	Rv2966c	methyltransferase	hypoxia_late:18%; human_sputum:11%	0.1558	0.353925041849932	117.82	112	115	102	119	143	167.65	150.5
htdY	Rv3389c	3-hydroxyacyl-thioester dehydratase HtdY	ctl_exponential:11%	0.1341	0.0913610866036451	121.4	171	176	120	90	69	493.89	451.26
Rv2693c	Rv2693c	integral membrane protein	ctl_stationary:18%; PBS_RIF_DDmtb:16%	0.145	0.31318936346192	117.35	145	129	79	107	133	164.12	148.81
Rv0010c	Rv0010c	membrane protein	tyloxopol:12%; butyrate_plus_glucose:12%	0.1471	0.268761315632752	127.35	140	161	149	95	99	444.19	402.65
Rv2481c	Rv2481c	hypothetical protein	hypoxia_late:12%; acidic_tyloxopol:10%	0.2077	0.616578771336231	138.22	75	46	44	275	405	54.42	47.05
Rv0466	Rv0466	hypothetical protein	hypoxia_rar:10%	0.1374	0.174992603495844	126.11	164	174	136	88	83	361.8	330.09
MT2554.2	MT2554.2	hypothetical protein	hypoxia_late:12%; acidic_tyloxopol:10%	0.2104	0.625035334440265	139.3	72	42	37	279	452	51.36	44.27
lpqM	Rv0419	lipoprotein peptidase LpqM	zinc_limitation:8%	0.1333	0.128185590203562	125.15	178	178	132	85	73	299.12	273.79
bkdB	Rv2496c	branched-chain keto acid dehydrogenase E1 component subunit beta	microaerophilic:30%	0.1374	0.185158629940758	127.29	160	169	152	89	81	337.84	308.42
fadE18	Rv1933c	acyl-CoA dehydrogenase FadE18	hypoxia_late:12%	0.1349	0.15554888756676	131.1	175	185	144	93	77	375.31	343.2
F6	Rvnc0003	putative small regulatory RNA	low_iron:21%	0.1929	0.570437944197813	158.87	89	106	128	220	294	310.39	272.43
Rv1939	Rv1939	oxidoreductase	hypoxia_late:18%; microaerophilic:16%	0.2791	0.763090004353252	160	94	75	127	228	343	26.93	21.82
Rv0192A	Rv0192A	conserved secreted protein	acidic:11%; hypoxia_late:10%	0.1445	0.364822045867615	132.93	136	136	116	126	152	384	347.66
MT1650	MT1650	hypothetical protein	human_sputum:13%; high_iron:12%; ctl_exponential:11%	0.1601	0.471624565626781	137.82	121	126	130	135	181	438.79	394.89
ssb	Rv0054	single-strand DNA-binding protein	zinc_limitation:14%	0.1327	0.185784230809294	128.86	181	172	108	100	96	518.49	474.66
gcp	Rv3419c	O-sialoglycoprotein endopeptidase	microaerophilic:10%	0.1384	0.252505914568015	135.3	155	175	169	102	88	248.92	226.92
mce2R	Rv0586	HTH-type transcriptional regulator Mce2R	hypoxia_fatty_acids:32%	0.1668	0.488421608713192	143.06	122	139	163	140	153	120.15	106.81
relA	Rv2583c	bifunctional (p)ppGpp synthase/hydrolase RelA	acidic:11%; microaerophilic:10%	0.1287	0.0844812749147914	136.6	195	203	155	92	67	417.12	382.83
tatC	Rv2093c	Sec-independent protein translocase transmembrane protein TatC	butyrate:11%; butyrate_plus_glucose:10%	0.1314	0.214546520943943	135.66	190	188	107	104	104	251.37	230.26
Rv2877c	Rv2877c	integral membrane protein	PBS_RIF_DDmtb:59%	0.1474	0.420411814379315	138.66	141	138	110	134	174	101.56	91.88
gluU	Rvnt35	tRNA-Glu	hypoxia_late:18%; human_sputum:10%	0.3297	0.794999074522602	175.65	73	61	118	309	461	68.62	54.31
tpx	Rv1932	thiol peroxidase	ctl_exponential:13%	0.1294	0.116255705098149	143.57	191	217	166	101	71	1446.84	1326.98
rpsC	Rv0707	30S ribosomal protein S3	ctl_exponential:9%	0.126	0.0864434692255205	139.53	208	209	142	98	70	1513.21	1391.77
Rv0958	Rv0958	magnesium chelatase	hypoxia_late:10%	0.1337	0.267951491547784	142.29	173	189	134	112	112	153.11	139.82
PE_PGRS18	Rv0980c	PE-PGRS family protein PE_PGRS18	hypoxia_late:13%	0.142	0.37552120283673	156.66	147	200	185	132	126	116.84	105.86
Rv2372c	Rv2372c	rRNA small subunit methyltransferase E	PBS_RIF_DDmtb:11%; microaerophilic:10%	0.1295	0.25304215602118	142.91	201	195	100	113	121	266.26	244.23
TB7.3	Rv3221c	hypothetical protein	microaerophilic:15%; acidic:14%	0.14	0.403056386900894	154.55	154	186	168	138	130	742.83	675.75
MT1760	MT1760	hypothetical protein	hypoxia_late:13%	0.2105	0.750323395924854	175.81	83	53	51	373	550	113.37	97.41
Rv2621c	Rv2621c	transcriptional regulator	hypoxia_fatty_acids:18%; microaerophilic:14%; ctl_stationary:14%; low_iron:13%	0.1873	0.713969748094431	171.88	150	134	195	178	208	78.85	68.9
vapB11	Rv1560	antitoxin VapB11	INDIGO_exponential:10%	0.1763	0.693001145850375	165.78	109	80	71	282	391	117.24	103.87
ldtA	Rv0116c	L,D-transpeptidase LdtA	acidic:14%	0.1644	0.594842782987118	169.55	127	156	188	183	199	118.57	105.34
PPE68	Rv3873	PPE family protein PPE68	hypoxia_rar:9%	0.124	0.154628453907015	150.22	218	225	148	106	82	464.81	427.92
MT0012	MT0012	hypothetical protein	tyloxopol:15%; butyrate_plus_glucose:12%; high_iron:10%	0.1419	0.405580305152155	167.5	157	223	241	121	115	1092.05	993.37
pabB	Rv1005c	para-aminobenzoate synthase component I	hypoxia_late:17%	0.1538	0.528896047006472	172.72	128	190	190	174	186	56.25	50.54
Rv3400	Rv3400	hydrolase	hypoxia_late:10%	0.1322	0.371350126931339	153.45	188	192	133	123	138	201.84	184.71
Rv3899c	Rv3899c	hypothetical protein	hypoxia_late:28%	0.1454	0.501789868460512	167.72	137	182	171	164	187	76.06	68.75
Rv0122	Rv0122	hypothetical protein	hypoxia_late:17%; hypoxia_hypoxic:15%	0.2033	0.753126724520554	180.38	101	99	96	310	390	55.8	48.33
Rv3492c	Rv3492c	Mce associated protein	acidic_tyloxopol:10%	0.1524	0.56584963651566	173.12	158	187	229	154	144	306.23	275.85
asd	Rv3708c	aspartate-semialdehyde dehydrogenase	microaerophilic:25%	0.126	0.20548749650623	167.37	198	252	216	116	86	569.38	522.72
guaB3	Rv3410c	oxidoreductase	microaerophilic:14%; hypoxia_late:10%	0.1332	0.393336769155435	160.94	169	196	162	136	145	146.1	133.3
Rv2541	Rv2541	hypothetical protein	hypoxia_late:43%	0.1698	0.681708691832187	172.03	152	135	170	196	213	152.08	135.02
Rv2722	Rv2722	hypothetical protein	hypoxia_hypoxic:8%	0.2166	0.769661153779929	191.88	68	68	89	397	548	55.6	47.37
Rv3788	Rv3788	hypothetical protein	hypoxia_late:13%	0.152	0.57385179625664	174.34	113	140	147	210	287	133.99	120.16
Rv0192	Rv0192	hypothetical protein	human_sputum:8%	0.1284	0.30104187481767	161.22	184	218	178	122	116	231.25	211.79
vapB1	Rv0064A	antitoxin VapB1	ctl_stationary:12%; microaerophilic:11%	0.207	0.734746001310247	195.56	70	90	121	361	487	73.2	62.69
cysA1	Rv2397c	sulfate ABC transporter ATP-binding protein CysA	nutrient_limitation:34%; PBS_RIF_DDmtb:12%	0.1264	0.298889872017277	162.69	212	226	161	118	113	240.29	220.74
vapB30	Rv0623	antitoxin VapB30	hypoxia_fatty_acids:10%	0.1586	0.611545870758838	179.66	114	148	157	239	262	231.11	207.38
Rv1573	Rv1573	phage protein	hypoxia_late:50%	0.2185	0.815724583815875	194	96	52	45	419	648	23.16	19.69
MT0568	MT0568	hypothetical protein	acidic_tyloxopol:10%	0.1285	0.397974084792581	170.64	203	212	189	128	131	423.12	388.55
Rv0057	Rv0057	hypothetical protein	zinc_limitation:12%	0.142	0.554289635772001	185.7	168	211	218	168	167	257.3	233.18
Rv3766	Rv3766	hypothetical protein	butyrate_plus_glucose:10%	0.1509	0.612538190061814	188.4	135	173	176	212	257	94.31	84.97
cysM	Rv1336	O-phosphoserine sulfhydrylase	human_sputum:9%	0.1254	0.336343393798612	176.57	204	238	194	133	127	283.54	260.2
rpsN2	Rv2056c	30S ribosomal protein S14	zinc_limitation:40%; human_sputum:27%	0.2632	0.832081730468145	214.11	74	81	160	387	540	32.91	27.01
Rv0950c	Rv0950c	hypothetical protein	zinc_limitation:14%	0.1235	0.324535043324628	178.62	221	250	202	131	110	319.14	293.56
hemB	Rv0512	delta-aminolevulinic acid dehydratase	high_iron:13%	0.1256	0.378803798821655	182.39	213	231	240	137	111	409.27	376.79
Rv2968c	Rv2968c	integral membrane protein	acidic:11%	0.1275	0.463986769578374	176.29	210	206	138	157	176	219.98	201.84
MT3921	MT3921	hypothetical protein	hypoxia_late:12%	0.2116	0.832850874260945	200.72	115	84	115	302	522	88.44	76.62
MT0130	MT0130	hypothetical protein	hypoxia_late:18%; hypoxia_hypoxic:14%; ctl_stationary:10%	0.1949	0.794395283294433	204.67	111	113	124	342	430	51.62	44.94
whiB2	Rv3260c	transcriptional regulator WhiB2	tyloxopol:12%; low_iron:10%	0.1284	0.377579564500967	193.6	187	261	269	150	123	1231.31	1128.41
Rv0922	Rv0922	transposase	zinc_limitation:19%	0.1117	0.144809841733649	176.85	268	284	164	124	87	535.2	497.03
ahpD	Rv2429	alkyl hydroperoxide reductase AphD	zinc_limitation:16%	0.1335	0.512258842367434	193.51	224	234	262	139	128	417.11	381.99
Rv0047c	Rv0047c	hypothetical protein	hypoxia_hypoxic:15%; hypoxia_fatty_acids:11%	0.1401	0.6101262843927	190.33	170	191	165	190	240	140.67	127.98
Rv2309c	Rv2309c	integrase	tyloxopol:10%	0.1563	0.669451319269021	201.77	123	167	174	252	322	108.64	97.38
vapB20	Rv2550c	antitoxin VapB20	PBS_RIF_DDmtb:12%	0.1861	0.767665795910098	212.53	126	162	208	262	336	143.19	125.2
Rv2699c	Rv2699c	hypothetical protein	ctl_stationary:15%; hypoxia_fatty_acids:14%	0.1458	0.638703785732437	196.87	153	183	184	206	267	225.69	204.61
Rv0421c	Rv0421c	hypothetical protein	low_iron:17%	0.1287	0.530817077669856	184.08	215	207	123	169	216	161.69	148.42
