GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0827c_ATC_RIF	Rv0827c_DMSO_RIF
Rv2164c	Rv2164c	hypothetical protein	microaerophilic:20%	0.6322	3.18722457353044e-13	21.19	25	38	17	17	13	313.05	199.93
ruvC	Rv2594c	crossover junction endodeoxyribonuclease RuvC	zinc_limitation:21%	0.6309	9.98171623539262e-11	24.7	27	40	26	19	15	603.88	386.58
Rv0605	Rv0605	resolvase	zinc_limitation:35%	0.6477	9.94061776794075e-09	27.11	23	36	32	25	21	341.48	215.74
Rv2943A	Rv2943A	transposase	hypoxia_late:17%; acidic_tyloxopol:10%	0.9642	8.85694760221134e-05	17.91	4	2	6	48	70	46.78	22.9
ruvB	Rv2592c	Holliday junction ATP-dependent DNA helicase RuvB	PBS_RIF_DDmtb:15%	0.6167	2.86879006537473e-10	27.96	31	45	25	22	20	237.87	153.42
mctB	Rv1698	copper transporter MctB	INDIGO_exponential:12%; high_iron:11%; tyloxopol:10%	0.6085	2.05797549404946e-11	28.41	33	44	30	23	16	378.9	246.19
MT2316	MT2316	hypothetical protein	ctl_stationary:13%	0.6472	2.77279878655615e-08	27.87	24	34	28	24	30	541.86	342.02
Rv2979c	Rv2979c	resolvase	zinc_limitation:45%	0.6226	1.60165933790497e-08	32.29	30	43	37	26	27	293.39	188.42
Rv2734	Rv2734	hypothetical protein	zinc_limitation:37%; hypoxia_late:11%	0.631	1.85405227595152e-07	33.6	29	42	33	28	37	146.01	92.97
sapM	Rv3310	acid phosphatase	tyloxopol:10%	0.5742	3.42890918947376e-09	36.89	41	55	38	29	25	232.19	154.21
pbpB	Rv2163c	penicillin-binding membrane protein PbpB	low_iron:10%	0.5635	1.26829551440095e-10	39.4	44	63	43	31	22	325.38	218.04
nrdR	Rv2718c	transcriptional regulator NrdR	zinc_limitation:25%	0.6045	5.35498731666696e-08	36.33	35	46	35	27	40	262.44	170.75
Rv3201c	Rv3201c	ATP-dependent DNA helicase	hypoxia_late:26%; zinc_limitation:20%	0.6117	3.13085876329239e-07	40.07	32	54	50	33	34	65.58	42.14
fbpC	Rv0129c	diacylglycerol acyltransferase/mycolyltransferase Ag85C	hypoxia_hypoxic:13%; tyloxopol:11%; hypoxia_rar:10%	0.5576	2.80636644576814e-10	41.02	46	67	40	34	24	1803.1	1215.66
ripB	Rv1478	peptidoglycan endopeptidase RipB	tyloxopol:15%; high_iron:14%	0.5786	3.2624806145993e-08	40.33	38	56	54	32	26	430.7	285.73
Rv3096	Rv3096	hypothetical protein	tyloxopol:11%	0.5579	2.97066196718393e-09	41.67	49	62	44	30	28	193.29	129.84
Rv1158c	Rv1158c	hypothetical protein	tyloxopol:14%; hypoxia_late:11%; hypoxia_hypoxic:11%; butyrate_plus_glucose:10%	0.5728	1.86584450257846e-07	46.39	43	68	48	40	36	628.36	418.96
Rv2255c	Rv2255c	hypothetical protein	ctl_stationary:14%	0.7158	0.000261956271065754	42.72	21	27	36	67	76	214.61	128.37
Rv0607	Rv0607	hypothetical protein	zinc_limitation:13%; hypoxia_late:12%; ctl_stationary:12%; PBS_RIF_DDmtb:11%	0.8334	0.000901715009996925	36.91	17	8	14	82	113	44.03	23.64
Rv1279	Rv1279	GMC-type oxidoreductase	zinc_limitation:15%	0.5332	1.95076909708244e-09	50.76	64	80	52	37	29	259.46	177.48
Rv1987	Rv1987	chitinase	tyloxopol:16%; INDIGO_exponential:11%	0.5683	8.95729146329665e-07	48.5	47	59	51	36	51	343.62	229.51
Rv3202c	Rv3202c	ATP-dependent DNA helicase	hypoxia_late:23%; zinc_limitation:22%; microaerophilic:10%	0.6498	6.87474363275676e-05	48.81	26	51	47	39	92	83.41	52.31
Rv1765c	Rv1765c	hypothetical protein	zinc_limitation:19%; hypoxia_late:11%	0.5352	1.56449420860887e-08	52.77	63	79	55	35	38	200.09	136.53
Rv1148c	Rv1148c	hypothetical protein	zinc_limitation:23%; hypoxia_late:12%	0.5541	6.24446377796367e-07	53.08	54	70	57	38	49	107.33	72.11
Rv2864c	Rv2864c	penicillin-binding lipoprotein	hypoxia_late:18%	0.5552	8.22417546573365e-07	57.22	51	81	66	49	43	141.15	94.89
Rv1150	Rv1150	transposase	ctl_stationary:12%; hypoxia_late:10%	0.6703	0.000403581821639412	52.15	28	37	41	83	85	75.52	46.33
ftsK	Rv2748c	DNA translocase FtsK	high_iron:10%	0.5193	6.48002478195635e-09	59.57	75	91	63	45	33	488.83	338.18
narK1	Rv2329c	nitrate/nitrite transporter	acidic:13%; zinc_limitation:11%	0.5123	3.15623760277021e-09	61.78	78	89	72	44	35	308.11	213.96
Rv1945	Rv1945	hypothetical protein	zinc_limitation:24%; hypoxia_late:13%	0.5453	9.23175101954528e-07	57.4	59	78	58	41	54	103.88	70.23
Rv0921	Rv0921	resolvase	microaerophilic:15%; hypoxia_late:14%; ctl_stationary:11%	0.5446	2.01721305021645e-06	56.8	66	72	46	42	61	196.39	132.99
Rv0606	Rv0606	transposase	zinc_limitation:33%	0.5382	6.62771505404801e-07	62.22	67	82	65	47	53	263.36	179.41
Rv3191c	Rv3191c	transposase	acidic:10%	0.5448	7.91137908299118e-07	62.37	57	77	84	51	47	201.21	136.27
Rv1491c	Rv1491c	TVP38/TMEM64 family membrane protein	human_sputum:15%	0.5515	5.40631950775036e-06	63.71	58	76	73	55	58	192.31	129.78
Rv2015c	Rv2015c	hypothetical protein	zinc_limitation:17%; hypoxia_late:12%	0.5022	1.56870968170482e-08	64.25	84	100	62	43	42	217.05	151.65
Rv2927c	Rv2927c	hypothetical protein	cholesterol:11%; tyloxopol:10%	0.5275	3.01507789901592e-07	68.27	68	93	86	60	41	1003.64	690.68
prrA	Rv0903c	two component transcriptional regulator PrrA	cholesterol:11%	0.5233	3.13837284157413e-07	66.89	74	87	83	50	46	388.31	267.77
Rv2034	Rv2034	ArsR family HTH-type transcriptional repressor	hypoxia_fatty_acids:46%; acidic_tyloxopol:16%	0.6711	0.00116807956778291	57.23	39	30	27	92	128	72.8	44.53
desA3	Rv3229c	stearoyl-CoA 9-desaturase	nutrient_limitation:25%; PBS_RIF_DDmtb:11%	0.5903	9.71370957350715e-05	64.36	36	60	82	52	102	1188.15	782.55
Rv1433	Rv1433	hypothetical protein	tyloxopol:10%	0.5224	4.42480588566856e-07	67.37	77	90	70	56	48	359.07	247.59
plcB	Rv2350c	membrane-associated phospholipase B	tyloxopol:12%; high_iron:10%	0.5189	5.04886432753334e-07	67.41	79	86	71	46	59	99.64	68.56
bfrA	Rv1876	bacterioferritin BfrA	hypoxia_hypoxic:10%	0.5925	0.000286012420377296	66.66	48	57	68	76	88	108.89	71.07
Rv0208c	Rv0208c	tRNA (guanine-N(7)-)-methyltransferase	nutrient_limitation:10%	0.5489	1.71443559360408e-05	68.44	62	74	78	61	68	142.32	96.05
fxsA	Rv2053c	transmembrane protein FxsA	hypoxia_fatty_acids:18%	0.526	2.57611039873242e-06	69.91	76	84	69	58	64	287.93	197.87
Rv2943	Rv2943	insertion sequence element IS1533 transposase	hypoxia_late:37%	0.5796	0.000240097972528356	70.84	45	64	90	80	80	52.2	34.14
sigB	Rv2710	RNA polymerase sigma factor SigB	hypoxia_fatty_acids:14%; nutrient_limitation:14%; PBS_RIF_DDmtb:11%	0.4847	6.902112367737e-09	74.73	89	106	98	54	39	963.56	682.83
pyrG	Rv1699	CTP synthase	hypoxia_hypoxic:8%	0.4997	1.61264720041411e-07	75.26	85	101	97	57	45	195.84	137.01
Rv2012	Rv2012	hypothetical protein	hypoxia_fatty_acids:30%; ctl_stationary:13%; hypoxia_late:11%	0.9182	0.00781755343875055	63.31	61	4	9	141	228	12.89	5.96
disA	Rv3586	DNA integrity scanning protein DisA	zinc_limitation:13%; tyloxopol:10%	0.4953	5.12846634458811e-07	74.53	86	103	76	53	60	209.82	147.31
MT1182	MT1182	hypothetical protein	acidic_tyloxopol:14%; zinc_limitation:10%	0.5839	0.000458417390571719	70.98	56	58	64	88	93	166.44	109.4
MT2113	MT2113	hypothetical protein	hypoxia_fatty_acids:17%	0.5151	3.67081449161128e-06	76.58	82	94	80	62	67	272.99	189.03
Rv2119	Rv2119	hypothetical protein	hypoxia_late:12%; zinc_limitation:12%	0.5281	2.64043488977497e-05	76.63	80	88	75	66	75	110.84	75.86
dnaQ	Rv3711c	DNA polymerase III subunit epsilon	high_iron:10%	0.4799	2.16785110978439e-07	78.47	92	110	81	64	52	440.78	313.25
MT2246	MT2246	hypothetical protein	zinc_limitation:43%; hypoxia_late:12%	0.6603	0.00284339992533485	75.21	42	47	53	120	139	93.08	57.68
Rv3555c	Rv3555c	hypothetical protein	hypoxia_late:17%; zinc_limitation:13%; human_sputum:10%	0.5375	9.42818059694871e-05	81.5	72	96	91	72	78	108.93	74.05
Rv2525c	Rv2525c	hypothetical protein	tyloxopol:11%; hypoxia_late:10%	0.4766	4.35578794712155e-07	82.15	95	112	89	59	62	394.22	280.88
ripA	Rv1477	peptidoglycan endopeptidase RipA	high_iron:14%; tyloxopol:13%; hypoxia_hypoxic:11%; INDIGO_exponential:11%	0.455	4.80415820287048e-09	84.8	105	126	100	63	44	642.87	465.02
papA4	Rv1528c	polyketide synthase associated protein PapA	hypoxia_late:27%; ctl_stationary:13%	0.8215	0.00868777810064762	73.54	52	12	29	142	222	17.93	9.24
higA	Rv1956	antitoxin HigA	hypoxia_fatty_acids:28%	0.6519	0.00293242309978915	78.52	37	49	74	122	134	60.7	37.63
ftsW	Rv2154c	lipid II flippase FtsW	microaerophilic:14%	0.4552	2.08603718532569e-08	87.84	103	123	110	65	50	498.71	360.53
Rv1041c	Rv1041c	IS2-like transposase	ctl_stationary:13%	0.4897	9.14482624541302e-06	85.95	91	109	93	68	72	188.52	132.74
Rv2944	Rv2944	insertion sequence element IS1533 transposase	hypoxia_late:12%	0.5834	0.00128851192838262	83.71	55	61	92	111	108	59.95	39.09
MT1957.1	MT1957.1	hypothetical protein	zinc_limitation:24%; PBS_RIF_DDmtb:18%	0.6411	0.00335555223311352	85.05	40	52	88	132	137	112.92	70.92
Rv2256c	Rv2256c	hypothetical protein	cholesterol:8%	0.4562	1.7060089012035e-07	90.73	108	138	94	69	56	1404.01	1015.36
MT1821.1	MT1821.1	hypothetical protein	nutrient_limitation:12%	0.5536	0.000731000924749107	86.44	73	71	85	101	105	316.68	213.29
Rv2253	Rv2253	hypothetical protein	PBS_RIF_DDmtb:21%; human_sputum:15%; ctl_stationary:14%; hypoxia_late:11%	0.8253	0.0100649341295809	85.75	34	26	67	172	198	21.88	11.48
fabD	Rv2243	malonyl CoA-acyl carrier protein transacylase	low_iron:10%	0.48	6.47071705091696e-06	92.74	93	118	114	75	69	391.99	278.69
Rv1251c	Rv1251c	hypothetical protein	hypoxia_late:19%	0.4644	9.26823783793666e-07	92.08	100	134	102	70	63	103.4	74
mtrA	Rv3246c	two component DNA-binding response regulator MtrA	cholesterol:12%	0.4501	1.49337028901988e-07	95.49	114	142	105	74	55	1791.85	1301.63
higB	Rv1955	toxin HigB	hypoxia_fatty_acids:32%	0.6644	0.00570205591223324	85.09	50	39	61	143	170	50.97	31.11
mcr16	Rvnc0013	putative small regulatory RNA	low_iron:16%; hypoxia_fatty_acids:14%	0.5848	0.00259991650418216	94.21	70	66	87	126	132	337.29	222.51
Rv0312	Rv0312	hypothetical protein	hypoxia_late:14%; tyloxopol:11%; ctl_exponential:10%; hypoxia_hypoxic:10%	0.4465	3.28149202092427e-07	98.56	122	141	101	73	66	231.6	168.34
Rv2016	Rv2016	hypothetical protein	zinc_limitation:19%; hypoxia_fatty_acids:19%	0.5508	0.00165634102942374	89.88	81	69	59	112	140	58.67	39.2
dnaE1	Rv1547	DNA polymerase III subunit alpha	zinc_limitation:13%	0.4386	4.11165582512673e-08	101.12	125	147	111	79	57	305.24	223.16
Rv2254c	Rv2254c	integral membrane protein	PBS_RIF_DDmtb:20%; ctl_stationary:18%	0.6496	0.00584472403100765	90.16	60	48	56	148	173	43.31	26.61
MT1025.2	MT1025.2	hypothetical protein	cholesterol:16%; zinc_limitation:12%	0.4725	2.1370586081668e-05	98.82	99	128	108	86	77	826.19	590.14
Rv1957	Rv1957	SecB-like chaperone	hypoxia_fatty_acids:14%	0.6535	0.00585148055273301	93.91	53	50	79	153	165	38.22	23.45
Rv0519c	Rv0519c	membrane protein	hypoxia_late:16%	0.4582	6.87099785039933e-06	95.72	111	127	96	71	79	171.43	123.37
Rv3811	Rv3811	hypothetical protein	high_iron:10%; human_sputum:10%	0.4465	3.49915641771259e-07	103.1	120	143	113	84	65	283.36	205.92
Rv1672c	Rv1672c	integral membrane transport protein	hypoxia_late:11%; butyrate:11%	0.4607	1.52845480900947e-05	101.96	107	133	115	78	82	114.26	82.04
Rv2885c	Rv2885c	transposase	zinc_limitation:27%; cholesterol:10%	0.4543	2.38418469507988e-06	102.74	113	145	112	81	71	299.63	216.71
Rv3209	Rv3209	hypothetical protein	tyloxopol:13%; butyrate_plus_glucose:10%; high_iron:10%	0.4637	2.8834354334855e-05	100.16	112	122	103	77	90	206.93	148.49
sigE	Rv1221	ECF RNA polymerase sigma factor SigE	hypoxia_fatty_acids:15%	0.4604	2.15685122578207e-05	104.67	104	131	125	85	83	222.7	160.13
MT2068	MT2068	hypothetical protein	hypoxia_fatty_acids:15%	0.8289	0.0178766560404387	95.33	98	7	21	204	303	24.96	12.93
Rv1772	Rv1772	hypothetical protein	nutrient_limitation:13%	0.5005	0.000506054541679921	107.42	87	111	135	109	98	344.44	240.89
Rv1128c	Rv1128c	hypothetical protein	human_sputum:19%; hypoxia_late:16%; zinc_limitation:11%	0.5615	0.00338224626940744	109.97	71	98	124	138	126	28.98	19.03
MTS0903	MTS0903	small intergenic RNA	acidic_tyloxopol:11%	0.4569	7.70013910257622e-05	107.24	124	125	109	87	94	125.1	90.05
MTS2458	MTS2458	small intergenic RNA	zinc_limitation:11%	0.4336	1.22043007296756e-06	112.05	127	148	130	90	74	691.39	507.46
phoH2	Rv1095	phosphate starvation-inducible protein PsiH	high_iron:10%	0.4289	7.84354011562759e-07	116.61	134	165	132	91	73	1171.59	863.38
Rv0875c	Rv0875c	hypothetical protein	microaerophilic:19%	0.5232	0.00201712474040559	115.41	83	105	137	139	118	123.94	84.88
ald	Rv2780	L-alanine dehydrogenase	cholesterol:28%; low_iron:27%	0.4689	0.000276135188916449	119.61	102	139	165	102	97	123.4	88.09
Rv0111	Rv0111	transmembrane acyltransferase	hypoxia_late:18%; human_sputum:13%	0.4317	5.80779734914686e-06	117.22	133	161	128	89	84	116.3	85.18
Rv3183	Rv3183	transcriptional regulator	hypoxia_late:30%; ctl_stationary:11%	0.8135	0.02190365129504	114.85	88	28	49	218	294	21.34	11.11
Rv2148c	Rv2148c	hypothetical protein	hypoxia_late:10%	0.4599	0.00037261453373134	117.74	121	137	117	103	112	109.12	78.17
Rv1149	Rv1149	transposase	ctl_stationary:14%	0.4362	8.31543086100828e-05	120.56	136	156	121	96	99	351.84	257.55
MT3280	MT3280	hypothetical protein	ctl_exponential:10%; zinc_limitation:10%	0.4336	4.37136690815633e-05	122.06	132	150	143	95	96	921.65	676.58
Rv1042c	Rv1042c	IS2-like transposase	ctl_stationary:14%	0.4362	8.41357183639807e-05	122.6	138	158	122	99	101	351.26	257.14
Rv1278	Rv1278	hypothetical protein	hypoxia_late:17%; zinc_limitation:17%	0.4409	6.51712166642746e-05	128.77	126	178	156	105	89	167	121.78
MT3139.1	MT3139.1	hypothetical protein	human_sputum:8%	0.4233	8.11009521643585e-06	124.72	145	159	148	94	87	691.01	510.99
Rv1566c	Rv1566c	hypothetical protein	tyloxopol:18%	0.4221	7.05461729912144e-06	127.67	146	172	147	98	86	607.52	449.68
cyp128	Rv2268c	cytochrome P450 Cyp128	hypoxia_late:28%; ctl_stationary:10%	0.4728	0.00148810938734181	121.43	110	121	120	119	138	37.17	26.14
Rv3587c	Rv3587c	membrane protein	tyloxopol:15%	0.4133	1.98445160149835e-06	125.03	156	180	129	93	81	770.77	574.14
Rv3760	Rv3760	membrane protein	cholesterol:12%; hypoxia_late:11%	0.5605	0.00904356636297115	122.47	90	75	95	174	203	72.35	48.04
Rv3767c	Rv3767c	S-adenosylmethionine-dependent methyltransferase	nutrient_limitation:14%; butyrate_plus_glucose:11%	0.437	0.000148052958177748	127.75	131	154	153	97	109	124.54	90.94
Rv3174	Rv3174	short-chain dehydrogenase/reductase	butyrate:29%; hypoxia_late:12%	0.8048	0.0225656301709933	128	65	53	107	230	247	11.43	5.82
plcC	Rv2349c	phospholipase C	hypoxia_late:13%	0.4219	2.70489154459575e-05	128.27	148	166	140	100	95	128.5	94.78
Rv3395c	Rv3395c	hypothetical protein	zinc_limitation:34%; hypoxia_late:18%	0.4908	0.00274996857812919	130.65	101	136	119	156	145	85.12	59.64
MT3919	MT3919	hypothetical protein	hypoxia_late:12%	0.6904	0.0229363731246932	123.23	118	33	34	239	310	58.32	34.7
Rv3190A	Rv3190A	hypothetical protein	human_sputum:14%; zinc_limitation:12%	0.4312	0.000128487233106732	130.29	143	157	145	104	107	644.51	473.31
mmpS2	Rv0506	membrane protein MmpS2	tyloxopol:10%	0.4383	0.000394620352137944	130.71	135	152	142	108	119	212.11	154.92
Rv2779c	Rv2779c	Lrp/AsnC family transcriptional regulator	ctl_stationary:11%; hypoxia_late:11%; INDIGO_exponential:11%	0.4758	0.00208834057070359	132.06	119	135	127	136	144	105.25	74.79
Rv2146c	Rv2146c	transmembrane protein	acidic:8%	0.4999	0.00443064287396204	140.97	96	129	162	173	152	191.44	133.71
rmlA	Rv0334	glucose-1-phosphate thymidylyltransferase	hypoxia_late:11%; human_sputum:10%	0.4528	0.00106972774202926	142.49	123	164	176	137	117	113.46	81.78
Rv1830	Rv1830	HTH-type transcriptional regulator	INDIGO_exponential:9%	0.397	2.63149785824721e-05	144.59	172	187	170	106	100	469.95	353.77
Rv0488	Rv0488	amino acid transporter	hypoxia_late:21%; ctl_stationary:17%	0.7513	0.0278466535138394	157.02	69	99	144	273	252	16.91	9.26
Rv2721c	Rv2721c	hypothetical protein	tyloxopol:10%	0.3819	1.94999063101118e-06	149.77	187	219	161	110	91	583.35	444.02
hsp	Rv0251c	heat shock protein	hypoxia_fatty_acids:57%; ctl_stationary:11%	0.4377	0.0014161567347791	145.96	149	163	131	135	153	142.32	103.9
Rv0430	Rv0430	hypothetical protein	ctl_exponential:19%	0.408	0.00014546415230536	148.09	163	191	169	116	110	713.07	532.71
Rv3714c	Rv3714c	hypothetical protein	zinc_limitation:16%; hypoxia_late:14%	0.4319	0.00103023882413949	147.66	150	168	150	124	148	81.96	59.92
Rv0064	Rv0064	transmembrane protein	microaerophilic:23%	0.3964	5.18145733408873e-05	154.66	170	205	204	107	104	89.63	67.25
Rv3190c	Rv3190c	hypothetical protein	zinc_limitation:12%	0.4188	0.000513580146681402	154.33	155	184	195	121	124	93.33	68.91
vapC23	Rv2863	ribonuclease VapC23	hypoxia_late:17%; ctl_stationary:14%	0.5611	0.0192468468202118	150.68	109	85	106	233	261	42.48	27.89
dacB1	Rv3330	penicillin-binding protein DacB	hypoxia_late:17%; tyloxopol:12%; high_iron:12%	0.3938	7.24570055209579e-05	155.7	180	217	171	113	111	214.61	161.78
ftsZ	Rv2150c	cell division protein FtsZ	hypoxia_hypoxic:9%	0.3824	2.20570403000979e-05	156.12	188	213	178	114	103	330.7	251.5
Rv1948c	Rv1948c	hypothetical protein	hypoxia_late:15%	0.5612	0.0200797703697532	152.35	94	97	116	250	243	54.83	36.03
iniB	Rv0341	isoniazid inducible protein IniB	hypoxia_rar:23%; acidic:22%; hypoxia_hypoxic:12%; acidic_tyloxopol:11%	0.4615	0.00336336477335515	161.77	117	177	212	170	141	55.57	39.66
PE_PGRS62	Rv3812	PE-PGRS family protein PE_PGRS62	hypoxia_late:17%	0.4347	0.00120162068477672	157.38	137	175	200	150	130	73.11	53.22
PE33	Rv3650	PE family protein PE33	hypoxia_late:41%	0.6809	0.0386470084035427	157.14	129	41	77	278	379	25.56	14.96
MT1025.3	MT1025.3	hypothetical protein	cholesterol:12%; zinc_limitation:10%	0.4031	0.00035074483587968	158.46	176	206	168	123	127	739.9	554.64
Rv3517	Rv3517	hypothetical protein	hypoxia_late:29%; zinc_limitation:11%	0.4954	0.0105070115227733	159.5	115	120	167	219	189	38.99	26.98
Rv0997	Rv0997	hypothetical protein	hypoxia_rar:13%	0.4059	0.000380311617912524	162.86	168	216	189	130	121	449.27	335.98
PPE40	Rv2356c	PPE family protein	human_sputum:11%	0.3748	1.96084247445514e-05	161.32	196	226	181	115	106	181.73	138.74
MT0973	MT0973	hypothetical protein	hypoxia_late:32%; ctl_stationary:14%	0.8629	0.0672685791303992	162.1	198	19	42	279	486	12.15	5.66
MT3135	MT3135	hypothetical protein	low_iron:23%	0.5263	0.0200708371385044	156.33	128	83	99	243	274	124.07	84.45
Rv0307c	Rv0307c	hypothetical protein	ctl_stationary:9%	0.4333	0.004027580040237	159.73	161	153	133	169	185	98.8	72.22
Rv3226c	Rv3226c	hypothetical protein	PBS_RIF_DDmtb:22%; zinc_limitation:11%	0.4158	0.00162756983114929	166.14	164	183	179	147	159	99.29	73.46
Rv2074	Rv2074	pyridoxamine 5'-phosphate oxidase	tyloxopol:11%; high_iron:10%	0.3676	3.174906867581e-05	167.75	213	237	175	117	115	857.91	659.48
Rv1958c	Rv1958c	hypothetical protein	hypoxia_fatty_acids:14%	0.5312	0.0179100241356631	176.05	97	144	184	258	221	44.96	30.25
Rv2466c	Rv2466c	hypothetical protein	hypoxia_fatty_acids:20%; ctl_stationary:11%; zinc_limitation:10%; PBS_RIF_DDmtb:10%; microaerophilic:10%	0.4453	0.0056961514336044	168.37	147	170	166	179	181	74.32	53.77
MT2593.2	MT2593.2	hypothetical protein	hypoxia_late:14%; human_sputum:14%	0.6578	0.0526340508406297	166.2	202	32	31	313	455	23.89	14.23
Rv1780	Rv1780	hypothetical protein	INDIGO_exponential:9%	0.3964	0.00070412282795369	167.81	181	190	186	131	155	187.37	140.84
tatA	Rv2094c	Sec-independent protein translocase membrane-bound protein TatA	acidic:11%	0.386	0.000338580754594769	178.47	183	225	232	146	120	1875.84	1424.35
Rv0876c	Rv0876c	transmembrane protein	microaerophilic:16%	0.3679	4.48652393116665e-05	171.62	209	242	192	118	116	180.01	138.12
Rv3122	Rv3122	hypothetical protein	microaerophilic:24%; zinc_limitation:14%	0.3785	0.000282920196102297	169.34	204	221	157	125	149	290.68	221.49
MT0069	MT0069	hypothetical protein	microaerophilic:17%; cholesterol:12%	0.482	0.0144304142843609	170.03	130	117	155	234	232	177.16	124.94
Rv3241c	Rv3241c	hypothetical protein	acidic:14%; cholesterol:10%	0.4422	0.00533591409031599	185.73	139	201	234	198	164	123.15	89.4
Rv0088	Rv0088	polyketide cyclase/dehydrase	acidic:12%	0.387	0.000579137929260683	182.36	186	227	222	144	142	292.37	221.73
zwf1	Rv1121	glucose-6-phosphate 1-dehydrogenase	zinc_limitation:18%	0.3659	8.66243599757723e-05	179.65	210	236	210	128	129	198.13	152.21
sigD	Rv3414c	ECF RNA polymerase sigma factor SigD	tyloxopol:11%	0.36	5.91992306300673e-05	180.35	225	247	193	129	125	543.79	420.28
Rv1833c	Rv1833c	haloalkane dehalogenase	zinc_limitation:16%; PBS_RIF_DDmtb:13%; ctl_stationary:10%	0.3798	0.000696451740834128	178.53	203	218	182	134	162	120.83	91.79
cmtR	Rv1994c	HTH-type transcriptional regulator CmtR	hypoxia_fatty_acids:19%; PBS_RIF_DDmtb:17%; butyrate:13%	0.4423	0.00897954357616872	179.91	151	160	173	220	200	118.33	85.71
bglS	Rv0186	beta-glucosidase BglS	hypoxia_fatty_acids:22%; PBS_RIF_DDmtb:19%; microaerophilic:17%	0.3495	9.03519290848308e-06	183.08	233	260	205	127	114	345.44	268.77
Rv1057	Rv1057	hypothetical protein	nutrient_limitation:32%; hypoxia_rar:15%	0.4369	0.00533265913007073	193.97	142	215	251	211	161	70.61	51.31
phoP	Rv0757	two component system response transcriptional positive regulator PhoP	hypoxia_fatty_acids:8%	0.3767	0.000355005390393183	187.24	194	232	246	145	133	363.81	277.67
radA	Rv3585	DNA repair protein RadA	zinc_limitation:25%	0.3791	0.000451718572923497	189.01	199	253	209	159	136	215.58	164.19
