"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"Pleural mesothelioma",3,0.13163,"5.06e-01",0.07071,"5.10e-01",-0.06092,"5.06e-01"
"Cholesterol biosynthesis with skeletal dysplasias",3,0.11985,"7.36e-02",0.06033,"9.33e-02",-0.05952,"7.36e-02"
"Metabolism of sphingolipids in ER and Golgi apparatus",2,0.12161,"2.08e-01",-0.06774,"6.12e-01",0.05387,"2.08e-01"
"Sphingolipid pathway",3,0.11692,"2.65e-02",-0.06455,"2.01e-01",0.05237,"2.65e-02"
"Sulindac metabolic pathway",2,0.117,"6.00e-02",0.06966,"6.00e-02",-0.04734,"1.00e+00"
"Sphingolipid metabolism integrated pathway",2,0.12161,"2.08e-01",-0.06774,"6.12e-01",0.05387,"2.08e-01"
"Fatty acids and lipoproteins transport in hepatocytes",5,0.11274,"2.44e-03",0.03941,"1.00e+00",-0.07333,"2.44e-03"
"Sphingolipid metabolism overview",2,0.12161,"2.08e-01",-0.06774,"6.12e-01",0.05387,"2.08e-01"
"16p11 2 distal deletion syndrome",2,0.11577,"6.19e-02",0.04212,"1.00e+00",-0.07365,"6.19e-02"
"Cardiac progenitor differentiation",2,0.12641,"7.33e-01",0.06811,"1.00e+00",-0.05831,"7.33e-01"
"Vitamin A and carotenoid metabolism",4,0.10516,"4.58e-03",0.03487,"1.00e+00",-0.07029,"4.58e-03"
"PPAR signaling pathway",10,0.10338,"1.65e-03",0.04571,"7.76e-03",-0.05767,"1.65e-03"
"HIF1A and PPARG regulation of glycolysis",4,0.10388,"9.09e-02",0.05399,"9.09e-02",-0.0499,"9.23e-02"
"Glycolysis in senescence",4,0.09431,"1.83e-02",0.04603,"3.18e-01",-0.04828,"1.83e-02"
"COVID 19 structural coverage map",2,0.09855,"1.49e-01",-0.04428,"2.15e-01",0.05427,"1.49e-01"
"Cholesterol biosynthesis pathway in hepatocytes",9,0.08946,"2.87e-02",0.03953,"2.63e-01",-0.04994,"2.87e-02"
"Sulfation biotransformation reaction",3,0.08506,"3.26e-02",0.02338,"1.00e+00",-0.06168,"3.26e-02"
"Molybdenum cofactor Moco biosynthesis",4,0.11264,"1.00e+00",0.07679,"1.00e+00",-0.03585,"1.00e+00"
"Liver X receptor pathway",2,0.10198,"1.00e+00",-0.07403,"1.00e+00",0.02795,"1.00e+00"
"Enterocyte cholesterol metabolism",6,0.07953,"1.45e-01",0.03249,"1.00e+00",-0.04704,"1.45e-01"
"Male infertility",7,0.08277,"3.27e-01",0.03401,"1.00e+00",-0.04876,"3.27e-01"
"Cocaine metabolism",2,0.09194,"1.00e+00",0.02708,"1.00e+00",-0.06485,"1.00e+00"
"UDP derived sugars synthesis in fibroblasts",4,0.09022,"8.96e-01",0.02836,"1.00e+00",-0.06186,"8.96e-01"
"GABA receptor signaling",2,0.07264,"2.41e-02",0.04506,"2.41e-02",-0.02757,"1.00e+00"
"Irinotecan pathway",2,0.09194,"1.00e+00",0.02708,"1.00e+00",-0.06485,"1.00e+00"
"SREBF and miR33 in cholesterol and lipid homeostasis",2,0.08711,"8.79e-01",-0.06133,"8.79e-01",0.02577,"1.00e+00"
"Cholesterol metabolism",7,0.0709,"4.32e-02",0.02306,"1.00e+00",-0.04784,"4.32e-02"
"NAD metabolism in oncogene induced senescence and mitochondrial dysfunction associated senescence",4,0.07898,"4.38e-01",0.04221,"4.38e-01",-0.03677,"9.69e-01"
"Hereditary leiomyomatosis and renal cell carcinoma pathway",2,0.0805,"1.00e+00",0.03447,"1.00e+00",-0.04603,"1.00e+00"
"Cori cycle",7,0.06786,"1.18e-01",0.03129,"1.00e+00",-0.03656,"1.18e-01"
"Oxidation by cytochrome P450",5,0.07606,"4.46e-01",0.0289,"1.00e+00",-0.04716,"4.46e-01"
"Direct reversal repair",2,0.07966,"1.00e+00",-0.02587,"1.00e+00",0.05378,"1.00e+00"
"Thermogenesis",4,0.07614,"5.14e-01",0.03626,"6.91e-01",-0.03987,"5.14e-01"
"Cell lineage map for neuronal differentiation",4,0.06489,"6.29e-02",0.03807,"6.29e-02",-0.02682,"1.00e+00"
"17q12 copy number variation syndrome",3,0.0697,"2.99e-01",-0.04461,"2.99e-01",0.02509,"1.00e+00"
"Non small cell lung cancer",2,0.0775,"1.00e+00",-0.0318,"1.00e+00",0.0457,"1.00e+00"
"Small cell lung cancer",2,0.0775,"1.00e+00",-0.0318,"1.00e+00",0.0457,"1.00e+00"
"Amino acid metabolism in triple negative breast cancer cells",5,0.06543,"3.29e-01",0.02986,"3.29e-01",-0.03557,"4.86e-01"
"Complement system in neuronal development and plasticity",2,0.06374,"2.07e-01",-0.03521,"2.07e-01",0.02854,"1.00e+00"
"Glycosaminoglycan degradation",3,0.06761,"4.59e-01",0.01757,"1.00e+00",-0.05004,"4.59e-01"
"Sterol regulatory element binding proteins SREBP signaling",4,0.07109,"1.00e+00",-0.03877,"1.00e+00",0.03232,"1.00e+00"
"Epithelial to mesenchymal transition in colorectal cancer",2,0.06339,"1.81e-01",-0.02945,"1.81e-01",0.03393,"7.58e-01"
"Sudden infant death syndrome SIDS susceptibility pathways",11,0.06135,"1.43e-01",0.0272,"1.00e+00",-0.03414,"1.43e-01"
"Vitamin D sensitive calcium signaling in depression",3,0.06356,"5.81e-01",0.027,"1.00e+00",-0.03656,"5.81e-01"
"Oxidative stress response",6,0.064,"1.00e+00",0.04453,"1.00e+00",-0.01947,"1.00e+00"
"Ethylmalonic encephalopathy",2,0.06119,"3.59e-01",0.04678,"3.59e-01",-0.01441,"1.00e+00"
"Lipid metabolism pathway",5,0.06294,"6.93e-01",-0.03814,"6.93e-01",0.0248,"1.00e+00"
"Mitochondrial complex II assembly",2,0.05427,"7.55e-02",0.02134,"1.00e+00",-0.03294,"7.55e-02"
"Metabolic pathways of fibroblasts",9,0.06108,"4.75e-01",0.02219,"1.00e+00",-0.03889,"4.75e-01"
"Iron metabolism disorders",2,0.06352,"1.00e+00",0.02372,"1.00e+00",-0.0398,"1.00e+00"
"Cholesterol metabolism with Bloch and Kandutsch Russell pathways",9,0.06189,"9.94e-01",0.02499,"1.00e+00",-0.0369,"9.94e-01"
"PGK1 PKM2 KHKC KHKA acting as protein kinases",2,0.05562,"3.50e-01",0.03203,"8.52e-01",-0.02359,"3.50e-01"
"Arsenic metabolism and reactive oxygen species generation",3,0.05559,"3.29e-01",0.02658,"3.83e-01",-0.02901,"3.29e-01"
"Disorders of bile acid synthesis and biliary transport",6,0.05772,"7.81e-01",0.0119,"1.00e+00",-0.04582,"7.81e-01"
"Translation factors",2,0.05231,"2.67e-01",0.00077,"1.00e+00",-0.05153,"2.67e-01"
"Biomarkers for urea cycle disorders",3,0.05876,"1.00e+00",0.02525,"1.00e+00",-0.03351,"1.00e+00"
"Photodynamic therapy induced HIF 1 survival signaling",4,0.05809,"1.00e+00",0.0318,"1.00e+00",-0.0263,"1.00e+00"
"Nuclear receptors in lipid metabolism and toxicity",6,0.054,"7.03e-01",0.00066,"1.00e+00",-0.05334,"7.03e-01"
"Ferroptosis",11,0.05743,"1.00e+00",0.03356,"1.00e+00",-0.02388,"1.00e+00"
"Copper metabolism",2,0.05423,"8.26e-01",-0.04446,"8.26e-01",0.00977,"1.00e+00"
"Nucleotide excision repair in xeroderma pigmentosum",4,0.05236,"1.00e+00",-0.0296,"1.00e+00",0.02276,"1.00e+00"
"TNF alpha signaling pathway",3,0.04852,"9.73e-01",-0.02276,"1.00e+00",0.02575,"9.73e-01"
"Cholesterol synthesis disorders",3,0.05227,"1.00e+00",0.0232,"1.00e+00",-0.02907,"1.00e+00"
"8p23 1 copy number variation syndrome",4,0.05028,"1.00e+00",0.01638,"1.00e+00",-0.0339,"1.00e+00"
"Methionine de novo and salvage pathway",12,0.04155,"4.09e-01",0.02166,"4.09e-01",-0.01989,"1.00e+00"
"Proximal tubule transport",7,0.04937,"1.00e+00",0.01149,"1.00e+00",-0.03789,"1.00e+00"
"Photodynamic therapy induced unfolded protein response",2,0.04163,"7.28e-01",-0.0273,"7.28e-01",0.01433,"1.00e+00"
"Warburg effect modulated by deubiquitinating enzymes and their substrates",4,0.0485,"1.00e+00",0.02396,"1.00e+00",-0.02454,"1.00e+00"
"Fluoroacetic acid toxicity",5,0.04823,"1.00e+00",0.01221,"1.00e+00",-0.03602,"1.00e+00"
"Disorders in ketone body synthesis",3,0.04802,"1.00e+00",0.02268,"1.00e+00",-0.02534,"1.00e+00"
"Ketone bodies synthesis and degradation",3,0.04802,"1.00e+00",0.02268,"1.00e+00",-0.02534,"1.00e+00"
"Melatonin metabolism and effects",3,0.0477,"1.00e+00",0.01027,"1.00e+00",-0.03744,"1.00e+00"
"10q22q23 copy number variation",2,0.03554,"1.22e-01",-0.02735,"1.22e-01",0.0082,"1.00e+00"
"Aerobic glycolysis",8,0.04383,"1.00e+00",0.02075,"1.00e+00",-0.02308,"1.00e+00"
"Apoptosis modulation and signaling",2,0.03674,"3.16e-01",-0.03046,"3.16e-01",0.00628,"1.00e+00"
"Valproic acid pathway",4,0.04082,"1.00e+00",0.02461,"1.00e+00",-0.01622,"1.00e+00"
"Neurotransmitter disorders",2,0.04055,"1.00e+00",-0.0268,"1.00e+00",0.01375,"1.00e+00"
"Oxysterols derived from cholesterol",7,0.03702,"7.61e-01",0.00145,"1.00e+00",-0.03557,"7.61e-01"
"NRF2 pathway",12,0.04008,"1.00e+00",0.01526,"1.00e+00",-0.02482,"1.00e+00"
"Gamma glutamyl cycle for the biosynthesis and degradation of glutathione including diseases",3,0.03996,"1.00e+00",-0.02256,"1.00e+00",0.01741,"1.00e+00"
"7 oxo C and 7 beta HC pathways",5,0.0397,"1.00e+00",0.01229,"1.00e+00",-0.02741,"1.00e+00"
"Pentose phosphate metabolism",4,0.03938,"1.00e+00",0.01309,"1.00e+00",-0.0263,"1.00e+00"
"VEGFA VEGFR2 signaling",16,0.03881,"1.00e+00",0.02298,"1.00e+00",-0.01584,"1.00e+00"
"Nonalcoholic fatty liver disease",14,0.03303,"4.87e-01",0.02167,"4.87e-01",-0.01136,"1.00e+00"
"7q11 23 copy number variation syndrome",12,0.03776,"1.00e+00",0.02416,"1.00e+00",-0.01359,"1.00e+00"
"Adipogenesis",2,0.03645,"1.00e+00",0.01141,"1.00e+00",-0.02503,"1.00e+00"
"Fluoropyrimidine activity",11,0.03583,"1.00e+00",0.0196,"1.00e+00",-0.01623,"1.00e+00"
"Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine",4,0.03461,"1.00e+00",-0.00891,"1.00e+00",0.0257,"1.00e+00"
"Fatty acid beta oxidation",16,0.03421,"1.00e+00",0.01687,"1.00e+00",-0.01734,"1.00e+00"
"Alanine and aspartate metabolism",4,0.03344,"1.00e+00",0.01885,"1.00e+00",-0.01459,"1.00e+00"
"GABA metabolism aka GHB",2,0.03315,"1.00e+00",0.01833,"1.00e+00",-0.01482,"1.00e+00"
"Spina bifida",5,0.03286,"1.00e+00",0.01635,"1.00e+00",-0.0165,"1.00e+00"
"Cholesterol biosynthesis pathway",3,0.03159,"1.00e+00",0.00856,"1.00e+00",-0.02303,"1.00e+00"
"Familial hyperlipidemia type 2",2,0.02648,"1.52e-01",-0.00122,"1.00e+00",-0.05419,"1.52e-01"
"Neuroinflammation and glutamatergic signaling",10,0.03076,"1.00e+00",0.01357,"1.00e+00",-0.01719,"1.00e+00"
"TCA cycle in senescence",3,0.02982,"1.00e+00",0.00384,"1.00e+00",-0.02598,"1.00e+00"
"Mitochondrial fatty acid synthesis pathway",3,0.02922,"1.00e+00",0.01146,"1.00e+00",-0.01777,"1.00e+00"
"PI3K Akt signaling pathway",5,0.02919,"1.00e+00",-0.01222,"1.00e+00",0.01697,"1.00e+00"
"Ether lipid biosynthesis",4,0.02811,"1.00e+00",-0.02176,"1.00e+00",0.00635,"1.00e+00"
"Heme biosynthesis",6,0.02786,"1.00e+00",-0.01972,"1.00e+00",0.00814,"1.00e+00"
"Hemesynthesis defects and porphyrias",6,0.02786,"1.00e+00",-0.01972,"1.00e+00",0.00814,"1.00e+00"
"Folate alcohol and cancer pathway hypotheses",2,0.0277,"1.00e+00",0.01544,"1.00e+00",-0.01226,"1.00e+00"
"Alzheimer 39 s disease",4,0.02755,"1.00e+00",0.01905,"1.00e+00",-0.0085,"1.00e+00"
"Alzheimer 39 s disease and miRNA effects",4,0.02755,"1.00e+00",0.01905,"1.00e+00",-0.0085,"1.00e+00"
"Fragile X syndrome",5,0.02752,"1.00e+00",0.00543,"1.00e+00",-0.02209,"1.00e+00"
"Mitochondrial complex IV assembly",4,0.02751,"1.00e+00",-0.01501,"1.00e+00",0.0125,"1.00e+00"
"Mitochondrial fatty acid oxidation disorders",8,0.02741,"1.00e+00",0.01411,"1.00e+00",-0.01329,"1.00e+00"
"Copper homeostasis",3,0.02701,"1.00e+00",-0.02595,"1.00e+00",0.00106,"1.00e+00"
"22q11 2 copy number variation syndrome",7,0.02685,"1.00e+00",0.00014,"1.00e+00",-0.0267,"1.00e+00"
"DNA damage response only ATM dependent",3,0.0268,"1.00e+00",0.01313,"1.00e+00",-0.01368,"1.00e+00"
"Ectoderm differentiation",3,0.02667,"1.00e+00",0.00282,"1.00e+00",-0.02385,"1.00e+00"
"Omega 9 fatty acid synthesis",2,0.02633,"1.00e+00",0.00817,"1.00e+00",-0.01816,"1.00e+00"
"Eicosanoid metabolism via cyclooxygenases COX",2,0.02109,"2.75e-01",-0.00396,"1.00e+00",0.01714,"2.75e-01"
"Tryptophan metabolism",9,0.02621,"1.00e+00",0.01825,"1.00e+00",-0.00797,"1.00e+00"
"Metabolic pathway of LDL HDL and TG including diseases",2,0.02177,"7.03e-01",-0.01337,"1.00e+00",-0.05691,"7.03e-01"
"DNA repair pathways full network",13,0.02597,"1.00e+00",-0.02167,"1.00e+00",0.0043,"1.00e+00"
"Urea cycle and related diseases",4,0.02583,"1.00e+00",0.0093,"1.00e+00",-0.01653,"1.00e+00"
"Enterohepatic circulation of bile acids",2,0.02504,"1.00e+00",-0.00973,"1.00e+00",-0.0598,"1.00e+00"
"Imatinib and chronic myeloid leukemia",2,0.02504,"1.00e+00",-0.00973,"1.00e+00",-0.0598,"1.00e+00"
"lncRNA mediated mechanisms of therapeutic resistance",2,0.02504,"1.00e+00",-0.00973,"1.00e+00",-0.0598,"1.00e+00"
"Metabolic Epileptic Disorders",41,0.02479,"1.00e+00",0.01545,"1.00e+00",-0.00934,"1.00e+00"
"Caffeine and theobromine metabolism",2,0.02398,"1.00e+00",-0.00717,"1.00e+00",0.01681,"1.00e+00"
"1p36 copy number variation syndrome",5,0.02346,"1.00e+00",0.00482,"1.00e+00",-0.01864,"1.00e+00"
"Glutathione metabolism",5,0.02343,"1.00e+00",0.00158,"1.00e+00",-0.02185,"1.00e+00"
"Codeine and morphine metabolism",3,0.02306,"1.00e+00",-0.0127,"1.00e+00",-0.05881,"1.00e+00"
"Drug induction of bile acid pathway",3,0.02306,"1.00e+00",-0.0127,"1.00e+00",-0.05881,"1.00e+00"
"Pregnane X receptor pathway",3,0.02306,"1.00e+00",-0.0127,"1.00e+00",-0.05881,"1.00e+00"
"Polyol pathway",2,0.02289,"1.00e+00",0.01194,"1.00e+00",-0.01095,"1.00e+00"
"2q37 copy number variation syndrome",5,0.01783,"7.68e-01",-0.04253,"7.68e-01",-0.00688,"1.00e+00"
"Purine metabolism and related disorders",16,0.02216,"1.00e+00",-0.00494,"1.00e+00",0.01722,"1.00e+00"
"Biogenic amine synthesis",3,0.02153,"1.00e+00",0.0064,"1.00e+00",-0.01513,"1.00e+00"
"Vitamin B12 metabolism",11,0.02126,"1.00e+00",0.00271,"1.00e+00",-0.01855,"1.00e+00"
"Peroxisomal beta oxidation of tetracosanoyl CoA",3,0.02094,"1.00e+00",0.01161,"1.00e+00",-0.00933,"1.00e+00"
"Cytoplasmic ribosomal proteins",10,0.0204,"1.00e+00",-0.01738,"1.00e+00",0.00302,"1.00e+00"
"Insulin signaling",3,0.02036,"1.00e+00",0.00963,"1.00e+00",-0.01074,"1.00e+00"
"Mitochondrial long chain fatty acid beta oxidation",7,0.02028,"1.00e+00",0.01241,"1.00e+00",-0.00788,"1.00e+00"
"Mitochondrial complex I assembly model OXPHOS system",8,0.02014,"1.00e+00",0.01174,"1.00e+00",-0.0084,"1.00e+00"
"Constitutive androstane receptor pathway",4,0.0201,"1.00e+00",-0.01769,"1.00e+00",-0.05788,"1.00e+00"
"TCA cycle aka Krebs or citric acid cycle",12,0.01972,"1.00e+00",0.00182,"1.00e+00",-0.01789,"1.00e+00"
"Diet dependent trimethylamine trimethylamine N oxide metabolism",2,0.01911,"1.00e+00",0.01131,"1.00e+00",-0.0078,"1.00e+00"
"Purine metabolism",10,0.01852,"1.00e+00",-0.00101,"1.00e+00",0.01751,"1.00e+00"
"Angiopoietin like protein 8 regulatory pathway",6,0.01809,"1.00e+00",-0.01497,"1.00e+00",0.00312,"1.00e+00"
"Dopamine metabolism",3,0.0179,"1.00e+00",-0.01418,"1.00e+00",0.00371,"1.00e+00"
"Primary ovarian insufficiency",13,0.01768,"1.00e+00",0.00131,"1.00e+00",-0.01637,"1.00e+00"
"5q35 copy number variation",2,0.01766,"1.00e+00",0.01425,"1.00e+00",-0.00341,"1.00e+00"
"Pyrimidine metabolism and related diseases",11,0.01729,"1.00e+00",0.00332,"1.00e+00",-0.01397,"1.00e+00"
"Triacylglyceride synthesis",5,0.01638,"1.00e+00",0.01424,"1.00e+00",-0.00215,"1.00e+00"
"Cannabinoid receptor signaling",3,0.01531,"1.00e+00",-0.00159,"1.00e+00",-0.03221,"1.00e+00"
"Metabolic reprogramming in colon cancer",26,0.01528,"1.00e+00",0.0032,"1.00e+00",-0.01208,"1.00e+00"
"Tamoxifen metabolism",2,0.01516,"1.00e+00",-0.02565,"1.00e+00",-0.05596,"1.00e+00"
"One carbon metabolism",14,0.01395,"1.00e+00",-0.00217,"1.00e+00",0.01178,"1.00e+00"
"Endoderm differentiation",3,0.01354,"1.00e+00",0.00538,"1.00e+00",0.03245,"1.00e+00"
"Urea cycle and metabolism of amino groups",9,0.01343,"1.00e+00",0.01064,"1.00e+00",-0.00279,"1.00e+00"
"Oxidative phosphorylation",11,0.01331,"1.00e+00",0.01007,"1.00e+00",-0.00324,"1.00e+00"
"Thiamine metabolic pathways",3,0.01328,"1.00e+00",-0.00153,"1.00e+00",0.01175,"1.00e+00"
"Vitamin D receptor pathway",6,0.01327,"1.00e+00",-0.00686,"1.00e+00",-0.03341,"1.00e+00"
"p53 transcriptional gene network",6,0.01315,"1.00e+00",-0.0383,"1.00e+00",-0.01199,"1.00e+00"
"Mevalonate arm of cholesterol biosynthesis pathway",3,0.0129,"1.00e+00",-0.02713,"1.00e+00",-0.00133,"1.00e+00"
"Selenium micronutrient network",13,0.01284,"1.00e+00",0.00591,"1.00e+00",-0.00692,"1.00e+00"
"Leukotriene metabolic pathway",3,0.01252,"1.00e+00",-0.01159,"1.00e+00",0.00094,"1.00e+00"
"Circadian rhythm genes",4,0.0118,"1.00e+00",-0.00212,"1.00e+00",0.00968,"1.00e+00"
"Clear cell renal cell carcinoma pathways",17,0.01173,"1.00e+00",0.00434,"1.00e+00",-0.0074,"1.00e+00"
"Krebs cycle disorders",4,0.01126,"1.00e+00",-0.009,"1.00e+00",0.00226,"1.00e+00"
"Translation inhibitors in chronically activated PDGFRA cells",2,0.01121,"1.00e+00",0.00045,"1.00e+00",-0.01076,"1.00e+00"
"Electron transport chain OXPHOS system in mitochondria",17,0.011,"1.00e+00",0.00855,"1.00e+00",-0.00245,"1.00e+00"
"Proline and hydroxyproline pathways",2,0.0105,"1.00e+00",-0.03032,"1.00e+00",-0.05132,"1.00e+00"
"Urea cycle and associated pathways",8,0.01049,"1.00e+00",-2e-05,"1.00e+00",-0.021,"1.00e+00"
"Disorders of galactose metabolism",5,0.01033,"1.00e+00",0.00798,"1.00e+00",-0.00236,"1.00e+00"
"Pathways in cancer",5,0.01033,"1.00e+00",-0.00679,"1.00e+00",0.00354,"1.00e+00"
"Trans sulfuration pathway",6,0.0099,"1.00e+00",-0.00215,"1.00e+00",0.00775,"1.00e+00"
"Glycolysis and gluconeogenesis",15,0.00956,"1.00e+00",0.00578,"1.00e+00",-0.00377,"1.00e+00"
"Iron sulfur cluster biogenesis",4,0.00883,"1.00e+00",0.00607,"1.00e+00",-0.00276,"1.00e+00"
"NAD biosynthetic pathways",4,0.00868,"1.00e+00",0.00546,"1.00e+00",-0.00322,"1.00e+00"
"HDAC6 interactions in the central nervous system",7,0.00856,"1.00e+00",0.02174,"1.00e+00",0.00463,"1.00e+00"
"NAD biosynthesis II from tryptophan",2,0.0082,"1.00e+00",0.00354,"1.00e+00",0.01993,"1.00e+00"
"Disorders of folate metabolism and transport",8,0.00818,"1.00e+00",0.00149,"1.00e+00",0.01786,"1.00e+00"
"Disorders of fructose metabolism",6,0.00725,"1.00e+00",0.00091,"1.00e+00",-0.00635,"1.00e+00"
"Serine metabolism",7,0.00705,"1.00e+00",0.01497,"1.00e+00",0.00087,"1.00e+00"
"Mesodermal commitment pathway",3,0.00699,"1.00e+00",6e-04,"1.00e+00",0.01457,"1.00e+00"
"Thyroid hormones production and peripheral downstream signaling effects",3,0.00673,"1.00e+00",0.01823,"1.00e+00",0.00477,"1.00e+00"
"PPAR alpha pathway",2,0.00655,"1.00e+00",0.01323,"1.00e+00",0.00014,"1.00e+00"
"Male steroid hormones in cardiomyocyte energy metabolism",2,0.0065,"1.00e+00",-0.0139,"1.00e+00",-0.0269,"1.00e+00"
"Focal adhesion PI3K Akt mTOR signaling pathway",5,0.00639,"1.00e+00",0.00255,"1.00e+00",-0.00384,"1.00e+00"
"Ciliary landscape",6,0.00621,"1.00e+00",-0.00698,"1.00e+00",-0.01941,"1.00e+00"
"Selenium metabolism and selenoproteins",2,0.00569,"1.00e+00",-0.003,"1.00e+00",0.0027,"1.00e+00"
"Allograft rejection",4,0.00565,"1.00e+00",-0.02243,"1.00e+00",-0.01112,"1.00e+00"
"Retinoblastoma gene in cancer",5,0.00561,"1.00e+00",0.01503,"1.00e+00",0.00381,"1.00e+00"
"Pentose phosphate pathway in senescent cells",4,0.00552,"1.00e+00",-0.00263,"1.00e+00",-0.01367,"1.00e+00"
"Metapathway biotransformation Phase I and II",13,0.00535,"1.00e+00",-0.00678,"1.00e+00",-0.01749,"1.00e+00"
"One carbon metabolism and related pathways",10,0.00527,"1.00e+00",0.00464,"1.00e+00",-0.00063,"1.00e+00"
"Urotensin II mediated signaling pathway",2,0.00505,"1.00e+00",-0.01461,"1.00e+00",-0.02472,"1.00e+00"
"Tryptophan catabolism leading to NAD production",3,0.00499,"1.00e+00",-0.00427,"1.00e+00",0.00072,"1.00e+00"
"ADHD and autism ASD linked metabolic pathways and SNP",45,0.00494,"1.00e+00",-0.00223,"1.00e+00",0.00271,"1.00e+00"
"Nuclear receptors meta pathway",21,0.00486,"1.00e+00",-0.0047,"1.00e+00",-0.01441,"1.00e+00"
"Folate metabolism",14,0.00479,"1.00e+00",0.00354,"1.00e+00",-0.00125,"1.00e+00"
"Fatty acid omega oxidation",3,0.00462,"1.00e+00",-0.01357,"1.00e+00",-0.02282,"1.00e+00"
"Cysteine and methionine catabolism",8,0.00453,"1.00e+00",0.00246,"1.00e+00",0.01152,"1.00e+00"
"Methionine metabolism leading to sulfur amino acids and related disorders",6,0.00444,"1.00e+00",0.00097,"1.00e+00",-0.00347,"1.00e+00"
"Trans sulfuration one carbon metabolism and related pathways",19,0.00432,"1.00e+00",0.00385,"1.00e+00",-0.00047,"1.00e+00"
"TAR syndrome",2,0.00418,"1.00e+00",0.00898,"1.00e+00",0.00063,"1.00e+00"
"NAD metabolism",2,0.00401,"1.00e+00",0.01194,"1.00e+00",0.00392,"1.00e+00"
"Prader Willi and Angelman syndrome",2,0.00401,"1.00e+00",-0.01726,"1.00e+00",-0.00925,"1.00e+00"
"Glycogen synthesis and degradation",3,0.00381,"1.00e+00",-0.01025,"1.00e+00",-0.00263,"1.00e+00"
"Vitamin B12 disorders",4,0.00329,"1.00e+00",-0.01197,"1.00e+00",-0.01855,"1.00e+00"
"Base excision repair",8,0.00326,"1.00e+00",-0.00963,"1.00e+00",-0.0031,"1.00e+00"
"Effects of nitric oxide",2,0.00308,"1.00e+00",0.02993,"1.00e+00",0.02376,"1.00e+00"
"DNA mismatch repair",2,0.00308,"1.00e+00",-0.01171,"1.00e+00",-0.00555,"1.00e+00"
"Iron metabolism in placenta",2,0.00299,"1.00e+00",-0.01477,"1.00e+00",-0.00879,"1.00e+00"
"MTHFR deficiency",3,0.00298,"1.00e+00",-0.00721,"1.00e+00",-0.00126,"1.00e+00"
"Vitamin K metabolism and activation of dependent proteins",2,0.00286,"1.00e+00",-0.00218,"1.00e+00",-0.00789,"1.00e+00"
"Riboflavin and CoQ disorders",4,0.00275,"1.00e+00",0.0056,"1.00e+00",0.01109,"1.00e+00"
"Smith Magenis and Potocki Lupski syndrome copy number variation",3,0.00265,"1.00e+00",0.00507,"1.00e+00",0.01037,"1.00e+00"
"Metabolic reprogramming in pancreatic cancer",13,0.00256,"1.00e+00",-0.00971,"1.00e+00",-0.0046,"1.00e+00"
"Arylamine metabolism",2,0.0024,"1.00e+00",-0.03661,"1.00e+00",-0.04141,"1.00e+00"
