"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"Chemical carcinogenesis - reactive oxygen species",18,0.03939,"7.55e-01",0.02204,"7.55e-01",-0.01735,"1.00e+00"
"Dopaminergic synapse",2,0.04055,"1.00e+00",-0.0268,"1.00e+00",0.01375,"1.00e+00"
"Glyoxylate and dicarboxylate metabolism",15,0.03946,"1.00e+00",0.01746,"1.00e+00",-0.022,"1.00e+00"
"Retinol metabolism",8,0.03902,"1.00e+00",0.00838,"1.00e+00",-0.03065,"1.00e+00"
"Butanoate metabolism",8,0.03859,"1.00e+00",0.01919,"1.00e+00",-0.0194,"1.00e+00"
"Metabolism of xenobiotics by cytochrome P450",4,0.03679,"1.00e+00",-0.02841,"1.00e+00",0.00838,"1.00e+00"
"Non-alcoholic fatty liver disease",14,0.03303,"4.87e-01",0.02167,"4.87e-01",-0.01136,"1.00e+00"
"Caffeine metabolism",3,0.03647,"1.00e+00",-0.02314,"1.00e+00",0.01333,"1.00e+00"
"Lipid and atherosclerosis",5,0.03622,"1.00e+00",0.00521,"1.00e+00",-0.03101,"1.00e+00"
"HIF-1 signaling pathway",6,0.03516,"1.00e+00",0.01916,"1.00e+00",-0.016,"1.00e+00"
"Prion disease",15,0.03145,"5.06e-01",0.02037,"5.06e-01",-0.01109,"1.00e+00"
"Tyrosine metabolism",6,0.03462,"1.00e+00",-0.01207,"1.00e+00",0.02255,"1.00e+00"
"PI3K-Akt signaling pathway",4,0.03386,"1.00e+00",-0.01445,"1.00e+00",0.01941,"1.00e+00"
"Ribosome",30,0.03232,"1.00e+00",-0.01888,"1.00e+00",0.01345,"1.00e+00"
"Peroxisome",26,0.03208,"1.00e+00",0.01306,"1.00e+00",-0.01902,"1.00e+00"
"Antifolate resistance",6,0.0275,"4.87e-01",-0.00016,"1.00e+00",0.02733,"4.87e-01"
"Proximal tubule bicarbonate reclamation",2,0.02878,"7.65e-01",-0.00416,"1.00e+00",0.02462,"7.65e-01"
"Insulin resistance",6,0.03092,"1.00e+00",0.01349,"1.00e+00",-0.01743,"1.00e+00"
"Mineral absorption",4,0.03063,"1.00e+00",0.00124,"1.00e+00",-0.02939,"1.00e+00"
"Fatty acid biosynthesis",10,0.03051,"1.00e+00",0.00689,"1.00e+00",-0.02362,"1.00e+00"
"Parkinson disease",20,0.02988,"1.00e+00",0.01976,"1.00e+00",-0.01012,"1.00e+00"
"Thiamine metabolism",3,0.02887,"1.00e+00",0.01965,"1.00e+00",-0.00923,"1.00e+00"
"beta-Alanine metabolism",11,0.02625,"5.39e-01",0.00196,"1.00e+00",-0.02428,"5.39e-01"
"Lysosome",7,0.02744,"1.00e+00",0.00553,"1.00e+00",-0.02191,"1.00e+00"
"ABC transporters",7,0.02731,"1.00e+00",0.00327,"1.00e+00",-0.02404,"1.00e+00"
"Alzheimer disease",18,0.02719,"1.00e+00",0.01813,"1.00e+00",-0.00906,"1.00e+00"
"Tryptophan metabolism",12,0.02714,"1.00e+00",0.01528,"1.00e+00",-0.01186,"1.00e+00"
"Ribosome biogenesis in eukaryotes",3,0.02693,"1.00e+00",-0.00545,"1.00e+00",0.02148,"1.00e+00"
"Lysine degradation",11,0.0264,"1.00e+00",0.01107,"1.00e+00",-0.01533,"1.00e+00"
"Arginine biosynthesis",4,0.02583,"1.00e+00",0.0093,"1.00e+00",-0.01653,"1.00e+00"
"Terpenoid backbone biosynthesis",6,0.02546,"1.00e+00",0.01139,"1.00e+00",-0.01407,"1.00e+00"
"MicroRNAs in cancer",2,0.02504,"1.00e+00",-0.00973,"1.00e+00",-0.0598,"1.00e+00"
"One carbon pool by folate",10,0.02475,"1.00e+00",-0.00633,"1.00e+00",0.01842,"1.00e+00"
"Viral carcinogenesis",2,0.02428,"1.00e+00",0.00991,"1.00e+00",-0.01437,"1.00e+00"
"Amyotrophic lateral sclerosis",16,0.02401,"1.00e+00",0.01566,"1.00e+00",-0.00836,"1.00e+00"
"Arachidonic acid metabolism",2,0.02236,"1.00e+00",0.00463,"1.00e+00",-0.01774,"1.00e+00"
"Galactose metabolism",5,0.02056,"1.00e+00",0.00868,"1.00e+00",-0.01188,"1.00e+00"
"Protein digestion and absorption",3,0.02006,"1.00e+00",0.00572,"1.00e+00",-0.01434,"1.00e+00"
"Vitamin B6 metabolism",5,0.01998,"1.00e+00",-0.01084,"1.00e+00",0.00914,"1.00e+00"
"Fanconi anemia pathway",4,0.01979,"1.00e+00",-0.0401,"1.00e+00",-0.00051,"1.00e+00"
"Longevity regulating pathway - multiple species",4,0.01859,"1.00e+00",0.00496,"1.00e+00",-0.01363,"1.00e+00"
"Pathways of neurodegeneration - multiple diseases",18,0.01735,"1.00e+00",0.01269,"1.00e+00",-0.00467,"1.00e+00"
"Pantothenate and CoA biosynthesis",5,0.01733,"1.00e+00",-0.01624,"1.00e+00",0.00109,"1.00e+00"
"Thyroid hormone signaling pathway",4,0.01718,"1.00e+00",0.00616,"1.00e+00",-0.01103,"1.00e+00"
"Coronavirus disease - COVID-19",8,0.01706,"1.00e+00",-0.01414,"1.00e+00",0.00292,"1.00e+00"
"FoxO signaling pathway",2,0.01687,"1.00e+00",0.00883,"1.00e+00",-0.00805,"1.00e+00"
"Ubiquinone and other terpenoid-quinone biosynthesis",3,0.01581,"1.00e+00",-0.00729,"1.00e+00",0.00852,"1.00e+00"
"Huntington disease",18,0.01497,"1.00e+00",0.01023,"1.00e+00",-0.00474,"1.00e+00"
"Porphyrin and chlorophyll metabolism",9,0.01443,"1.00e+00",-0.01149,"1.00e+00",0.00294,"1.00e+00"
"Ether lipid metabolism",4,0.01368,"1.00e+00",-0.01292,"1.00e+00",0.00076,"1.00e+00"
"Glycerolipid metabolism",7,0.01253,"1.00e+00",0.00537,"1.00e+00",-0.00716,"1.00e+00"
"Valine, leucine and isoleucine degradation",28,0.01153,"1.00e+00",0.0051,"1.00e+00",-0.00643,"1.00e+00"
"Spinocerebellar ataxia",2,0.01148,"1.00e+00",-0.00891,"1.00e+00",0.00257,"1.00e+00"
"Cysteine and methionine metabolism",15,0.01075,"1.00e+00",0.0036,"1.00e+00",-0.00716,"1.00e+00"
"Pathways in cancer",5,0.01033,"1.00e+00",-0.00679,"1.00e+00",0.00354,"1.00e+00"
"Pyruvate metabolism",16,0.00964,"1.00e+00",0.00457,"1.00e+00",-0.00507,"1.00e+00"
"Cardiac muscle contraction",4,0.00957,"1.00e+00",-0.00232,"1.00e+00",0.00725,"1.00e+00"
"Phenylalanine metabolism",3,0.00903,"1.00e+00",-0.00232,"1.00e+00",0.0067,"1.00e+00"
"Arginine and proline metabolism",13,0.0082,"1.00e+00",-0.02043,"1.00e+00",-0.00404,"1.00e+00"
"Chemical carcinogenesis - DNA adducts",3,0.00797,"1.00e+00",-0.03062,"1.00e+00",-0.04655,"1.00e+00"
"Human papillomavirus infection",3,0.00786,"1.00e+00",-0.00451,"1.00e+00",0.00335,"1.00e+00"
"N-Glycan biosynthesis",2,0.00734,"1.00e+00",-0.00159,"1.00e+00",0.00575,"1.00e+00"
"Glycolysis / Gluconeogenesis",17,0.00662,"1.00e+00",0.00105,"1.00e+00",-0.00558,"1.00e+00"
"Primary immunodeficiency",2,0.00651,"1.00e+00",-0.00277,"1.00e+00",0.00374,"1.00e+00"
"Oxidative phosphorylation",16,0.00563,"1.00e+00",0.0132,"1.00e+00",0.00195,"1.00e+00"
"Sulfur metabolism",3,0.00513,"1.00e+00",0.01887,"1.00e+00",0.00861,"1.00e+00"
"Thyroid hormone synthesis",4,0.00502,"1.00e+00",0.01615,"1.00e+00",0.00611,"1.00e+00"
"Glutathione metabolism",12,0.0047,"1.00e+00",-6e-04,"1.00e+00",-0.01,"1.00e+00"
"Starch and sucrose metabolism",4,0.00448,"1.00e+00",-0.01111,"1.00e+00",-0.00215,"1.00e+00"
"Purine metabolism",24,0.00441,"1.00e+00",0.00101,"1.00e+00",0.00982,"1.00e+00"
"Nicotinate and nicotinamide metabolism",8,0.00422,"1.00e+00",0.01019,"1.00e+00",0.00175,"1.00e+00"
"Necroptosis",3,0.004,"1.00e+00",-0.0084,"1.00e+00",-0.00039,"1.00e+00"
"Chemical carcinogenesis - receptor activation",4,0.00393,"1.00e+00",-0.00994,"1.00e+00",-0.01779,"1.00e+00"
"Citrate cycle (TCA cycle)",16,0.00379,"1.00e+00",-0.00137,"1.00e+00",-0.00894,"1.00e+00"
"Drug metabolism - other enzymes",18,0.00375,"1.00e+00",2e-04,"1.00e+00",-0.00356,"1.00e+00"
"Propanoate metabolism",14,0.00351,"1.00e+00",-6e-05,"1.00e+00",-0.00707,"1.00e+00"
"Steroid hormone biosynthesis",6,0.00337,"1.00e+00",-0.02578,"1.00e+00",-0.01904,"1.00e+00"
"Base excision repair",8,0.00326,"1.00e+00",-0.00963,"1.00e+00",-0.0031,"1.00e+00"
"Pentose phosphate pathway",10,0.00311,"1.00e+00",-0.00725,"1.00e+00",-0.00103,"1.00e+00"
"DNA replication",2,0.00308,"1.00e+00",-0.01171,"1.00e+00",-0.00555,"1.00e+00"
"Mismatch repair",2,0.00308,"1.00e+00",-0.01171,"1.00e+00",-0.00555,"1.00e+00"
"Primary bile acid biosynthesis",4,0.00233,"1.00e+00",-0.00885,"1.00e+00",-0.00419,"1.00e+00"
"Longevity regulating pathway",2,0.00216,"1.00e+00",-0.00887,"1.00e+00",-0.00455,"1.00e+00"
"Fructose and mannose metabolism",9,0.00185,"1.00e+00",-0.00522,"1.00e+00",-0.00153,"1.00e+00"
"RNA degradation",6,0.00155,"1.00e+00",-0.00415,"1.00e+00",-0.00724,"1.00e+00"
"Aminoacyl-tRNA biosynthesis",12,0.00145,"1.00e+00",0.00263,"1.00e+00",0.00552,"1.00e+00"
"Alanine, aspartate and glutamate metabolism",11,0.00123,"1.00e+00",-0.01522,"1.00e+00",-0.01767,"1.00e+00"
"Platinum drug resistance",2,0.00105,"1.00e+00",-0.00669,"1.00e+00",-0.00458,"1.00e+00"
"Nucleotide excision repair",3,0.00088,"1.00e+00",-0.00307,"1.00e+00",-0.00131,"1.00e+00"
"Glycine, serine and threonine metabolism",17,0.00084,"1.00e+00",-0.0023,"1.00e+00",-0.00398,"1.00e+00"
"Selenocompound metabolism",3,0.00056,"1.00e+00",0.00166,"1.00e+00",0.00054,"1.00e+00"
"Pyrimidine metabolism",16,0.00056,"1.00e+00",-0.00232,"1.00e+00",-0.00345,"1.00e+00"
"Glucagon signaling pathway",6,0.00047,"1.00e+00",-0.00345,"1.00e+00",-0.0025,"1.00e+00"
"Legionellosis",3,0.00045,"1.00e+00",-0.02718,"1.00e+00",-0.02809,"1.00e+00"
"Sulfur relay system",5,0.00041,"1.00e+00",0.00292,"1.00e+00",0.00374,"1.00e+00"
"Histidine metabolism",5,7e-05,"1.00e+00",-0.01216,"1.00e+00",-0.01202,"1.00e+00"
