"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"phosphate transmembrane-transporting ATPase activity",2,0.12529,"1.40e-01",0.06115,"1.96e-01",-0.06414,"1.40e-01"
"sulfate adenylyltransferase (ATP) activity",2,0.13189,"3.28e-01",0.01829,"1.00e+00",-0.1136,"3.28e-01"
"sulfate assimilation",2,0.13189,"3.28e-01",0.01829,"1.00e+00",-0.1136,"3.28e-01"
"ornithine-oxo-acid transaminase activity",2,0.22171,"1.00e+00",0.07403,"1.00e+00",-0.14767,"1.00e+00"
"peptide-methionine-(S)-S-oxide reductase activity",2,0.117,"6.00e-02",0.06966,"6.00e-02",-0.04734,"1.00e+00"
"nitrite reductase [NAD(P)H] activity",2,0.17136,"7.72e-01",0.03587,"1.00e+00",-0.13549,"7.72e-01"
"transporter activity",31,0.11496,"2.55e-04",0.05264,"6.19e-03",-0.06231,"2.55e-04"
"UDP-glucose:hexose-1-phosphate uridylyltransferase activity",2,0.18528,"1.00e+00",0.12074,"1.00e+00",-0.06454,"1.00e+00"
"UTP:galactose-1-phosphate uridylyltransferase activity",2,0.18528,"1.00e+00",0.12074,"1.00e+00",-0.06454,"1.00e+00"
"homocysteine S-methyltransferase activity",2,0.11696,"1.07e-01",0.05116,"1.07e-01",-0.06581,"3.51e-01"
"IMP dehydrogenase activity",2,0.11592,"6.40e-02",-0.05363,"1.09e-01",0.06229,"6.40e-02"
"GDP-mannose 4,6-dehydratase activity",3,0.1367,"6.83e-01",0.06578,"6.83e-01",-0.07092,"9.46e-01"
"carbon utilization",3,0.12157,"3.18e-01",0.06756,"5.73e-01",-0.05401,"3.18e-01"
"molybdopterin synthase complex",2,0.16483,"1.00e+00",0.09065,"1.00e+00",-0.07418,"1.00e+00"
"carbonate dehydratase activity",3,0.12157,"3.18e-01",0.06756,"5.73e-01",-0.05401,"3.18e-01"
"3-hydroxyisobutyrate dehydrogenase activity",2,0.12375,"4.07e-01",0.04514,"9.11e-01",-0.07861,"4.07e-01"
"urea metabolic process",2,0.1225,"3.95e-01",0.04151,"1.00e+00",-0.08098,"3.95e-01"
"galactose metabolic process",3,0.15797,"1.00e+00",0.10677,"1.00e+00",-0.0512,"1.00e+00"
"oxidized purine base lesion DNA N-glycosylase activity",2,0.11732,"2.81e-01",0.05061,"1.00e+00",-0.06671,"2.81e-01"
"glycerol-3-phosphate O-acyltransferase activity",2,0.11994,"3.62e-01",0.05562,"8.55e-01",-0.06432,"3.62e-01"
"DNA recombination",40,0.10451,"2.55e-09",0.04002,"7.04e-01",-0.06449,"2.55e-09"
"cysteine synthase activity",3,0.12717,"7.41e-01",-0.05392,"7.41e-01",0.07325,"1.00e+00"
"phosphoglycerate dehydrogenase activity",2,0.12389,"7.62e-01",0.04984,"7.62e-01",-0.07404,"9.60e-01"
"[acyl-carrier-protein] S-malonyltransferase activity",2,0.13006,"1.00e+00",-0.10931,"1.00e+00",0.02074,"1.00e+00"
"N-acetylmuramoyl-L-alanine amidase activity",4,0.10524,"1.04e-01",-0.06278,"1.04e-01",0.04247,"2.29e-01"
"translation initiation factor activity",3,0.11235,"3.26e-01",0.05671,"7.44e-01",-0.05565,"3.26e-01"
"L-aminoadipate-semialdehyde dehydrogenase activity",2,0.10845,"1.53e-01",0.04228,"4.13e-01",-0.06617,"1.53e-01"
"peptidoglycan catabolic process",4,0.10524,"1.04e-01",-0.06278,"1.04e-01",0.04247,"2.29e-01"
"translational initiation",3,0.11235,"3.26e-01",0.05671,"7.44e-01",-0.05565,"3.26e-01"
"5-3 exonuclease activity",2,0.11663,"4.58e-01",-0.08038,"4.58e-01",0.03624,"1.00e+00"
"phosphatase activity",3,0.11157,"3.88e-01",0.05504,"3.88e-01",-0.05653,"6.03e-01"
"N-acyltransferase activity",2,0.10988,"2.90e-01",0.03986,"1.00e+00",-0.07002,"2.90e-01"
"DNA ligase (ATP) activity",3,0.11087,"4.38e-01",0.03758,"1.00e+00",-0.0733,"4.38e-01"
"molybdate ion transport",3,0.11006,"4.56e-01",0.06021,"4.56e-01",-0.04984,"1.00e+00"
"hydrolase activity, hydrolyzing O-glycosyl compounds",5,0.09675,"7.78e-02",0.04971,"7.78e-02",-0.04704,"2.33e-01"
"peptide transport",4,0.09542,"4.81e-02",0.03787,"4.81e-02",-0.05755,"1.52e-01"
"ATPase activity, coupled to transmembrane movement of substances",11,0.09497,"5.52e-02",0.02967,"1.00e+00",-0.0653,"5.52e-02"
"diacylglycerol O-acyltransferase activity",14,0.09311,"4.49e-03",0.05209,"4.49e-03",-0.04101,"1.96e-01"
"DNA-directed RNA polymerase activity",4,0.11685,"1.00e+00",-0.06393,"1.00e+00",0.05292,"1.00e+00"
"specific transcriptional repressor activity",4,0.11036,"6.97e-01",0.04359,"6.97e-01",-0.06677,"1.00e+00"
"transcription, DNA-dependent",4,0.11685,"1.00e+00",-0.06393,"1.00e+00",0.05292,"1.00e+00"
"3-oxoacid CoA-transferase activity",2,0.09139,"3.29e-02",0.05624,"3.29e-02",-0.03516,"1.00e+00"
"dephosphorylation",2,0.09316,"1.37e-01",0.03136,"1.37e-01",-0.0618,"1.78e-01"
"fatty acid synthase activity",2,0.10429,"5.13e-01",0.04604,"6.71e-01",-0.05825,"5.13e-01"
"carbohydrate transport",2,0.10008,"3.38e-01",0.04887,"8.77e-01",-0.05121,"3.38e-01"
"fatty acid synthase complex",2,0.10429,"5.13e-01",0.04604,"6.71e-01",-0.05825,"5.13e-01"
"ribonucleoside-diphosphate reductase complex",2,0.10908,"8.45e-01",0.06716,"8.45e-01",-0.04192,"8.75e-01"
"S-adenosylmethionine-dependent methyltransferase activity",2,0.08908,"1.24e-02",-0.04499,"1.10e-01",0.04408,"1.24e-02"
"succinate dehydrogenase activity",8,0.11081,"1.00e+00",0.04961,"1.00e+00",-0.06119,"1.00e+00"
"L-lactate dehydrogenase (cytochrome) activity",2,0.09495,"2.61e-01",0.05386,"2.61e-01",-0.0411,"3.20e-01"
"cell surface",2,0.09048,"1.12e-01",-0.04478,"1.12e-01",0.04569,"1.00e+00"
"transport",71,0.08508,"2.69e-05",0.03694,"1.39e-02",-0.04814,"2.69e-05"
"heme binding",30,0.08719,"4.16e-02",0.03175,"1.00e+00",-0.05544,"4.16e-02"
"monooxygenase activity",29,0.0859,"4.56e-04",0.03591,"2.81e-01",-0.04999,"4.56e-04"
"carbon-monoxide dehydrogenase (acceptor) activity",3,0.10873,"1.00e+00",0.0748,"1.00e+00",-0.03393,"1.00e+00"
"iron ion transport",9,0.09846,"5.62e-01",0.04633,"1.00e+00",-0.05213,"5.62e-01"
"uracil phosphoribosyltransferase activity",2,0.10075,"6.84e-01",-0.05316,"8.44e-01",0.04759,"6.84e-01"
"hydroxymethyl-, formyl- and related transferase activity",3,0.09275,"2.81e-01",0.03479,"1.00e+00",-0.05796,"2.81e-01"
"protein metabolic process",3,0.10317,"8.06e-01",0.02277,"1.00e+00",-0.0804,"8.06e-01"
"cell wall macromolecule catabolic process",2,0.10394,"8.64e-01",0.07666,"8.64e-01",-0.02729,"1.00e+00"
"nitrate assimilation",5,0.107,"1.00e+00",0.03483,"1.00e+00",-0.07217,"1.00e+00"
"sugar binding",3,0.0879,"1.67e-01",0.04678,"1.67e-01",-0.04112,"3.38e-01"
"cation channel activity",2,0.08731,"1.37e-01",0.05139,"1.00e+00",-0.03592,"1.37e-01"
"transition metal ion binding",6,0.08997,"2.81e-01",0.03955,"1.00e+00",-0.05042,"2.81e-01"
"carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity",2,0.08502,"7.48e-02",-0.03398,"2.80e-01",0.05104,"7.48e-02"
"acyl-[acyl-carrier-protein] desaturase activity",2,0.08474,"7.35e-02",0.04291,"1.00e+00",-0.04183,"7.35e-02"
"glycerophosphodiester phosphodiesterase activity",3,0.09397,"6.63e-01",0.00873,"1.00e+00",-0.08525,"6.63e-01"
"3 iron, 4 sulfur cluster binding",4,0.10268,"1.00e+00",0.05168,"1.00e+00",-0.05099,"1.00e+00"
"glutamine biosynthetic process",3,0.09055,"4.57e-01",0.05026,"4.57e-01",-0.04029,"1.00e+00"
"antisigma factor binding",4,0.09309,"6.84e-01",0.03894,"1.00e+00",-0.05415,"6.84e-01"
"GDP-mannose metabolic process",2,0.10007,"1.00e+00",0.0367,"1.00e+00",-0.06337,"1.00e+00"
"folic acid biosynthetic process",4,0.0823,"9.38e-02",-0.03315,"2.73e-01",0.04916,"9.38e-02"
"glycerol ether metabolic process",2,0.09965,"1.00e+00",0.07488,"1.00e+00",-0.02477,"1.00e+00"
"rRNA processing",7,0.07877,"6.47e-03",-0.04148,"6.47e-03",0.03728,"1.56e-01"
"ribonucleoside-diphosphate reductase activity",4,0.09656,"1.00e+00",0.04665,"1.00e+00",-0.04991,"1.00e+00"
"phosphogluconate dehydrogenase (decarboxylating) activity",4,0.08192,"1.65e-01",0.02289,"1.00e+00",-0.05903,"1.65e-01"
"dTDP-glucose 4,6-dehydratase activity",3,0.08597,"5.71e-01",0.04577,"5.71e-01",-0.04021,"1.00e+00"
"trehalose biosynthetic process",4,0.07731,"6.49e-02",0.04344,"6.49e-02",-0.03387,"1.00e+00"
"thiosulfate sulfurtransferase activity",6,0.09124,"1.00e+00",0.03358,"1.00e+00",-0.05766,"1.00e+00"
"nickel ion binding",7,0.08422,"4.80e-01",0.03009,"1.00e+00",-0.05414,"4.80e-01"
"glycogen biosynthetic process",2,0.08395,"4.78e-01",0.05287,"4.94e-01",-0.03108,"4.78e-01"
"3-oxoacyl-[acyl-carrier-protein] reductase activity",2,0.07985,"2.96e-01",0.02338,"1.00e+00",-0.05647,"2.96e-01"
"acetyl-CoA C-acyltransferase activity",5,0.08117,"3.38e-01",0.0341,"6.59e-01",-0.04707,"3.38e-01"
"DNA-dependent DNA replication",2,0.08938,"1.00e+00",-0.0742,"1.00e+00",0.01518,"1.00e+00"
"prenyltransferase activity",3,0.08469,"7.27e-01",0.03894,"7.27e-01",-0.04574,"1.00e+00"
"sulfur metabolic process",5,0.08869,"1.00e+00",0.01932,"1.00e+00",-0.06937,"1.00e+00"
"glycerol metabolic process",20,0.07575,"1.70e-01",0.03769,"1.76e-01",-0.03806,"1.70e-01"
"amino acid transport",11,0.08762,"1.00e+00",0.03003,"1.00e+00",-0.0576,"1.00e+00"
"5-amino-6-(5-phosphoribosylamino)uracil reductase activity",2,0.07873,"4.05e-01",-0.01271,"1.00e+00",0.06601,"4.05e-01"
"transposase activity",39,0.07292,"9.87e-06",0.00905,"1.00e+00",-0.06386,"9.87e-06"
"glycerol-3-phosphate biosynthetic process",2,0.07411,"1.89e-01",0.03279,"7.22e-01",-0.04132,"1.89e-01"
"pentose-phosphate shunt",7,0.07337,"6.56e-02",0.02797,"8.60e-01",-0.04539,"6.56e-02"
"diaminohydroxyphosphoribosylaminopyrimidine deaminase activity",2,0.07873,"4.05e-01",-0.01271,"1.00e+00",0.06601,"4.05e-01"
"lipopolysaccharide biosynthetic process",3,0.08099,"6.26e-01",0.03077,"9.62e-01",-0.05022,"6.26e-01"
"glycerol-3-phosphate catabolic process",2,0.07411,"1.89e-01",0.03279,"7.22e-01",-0.04132,"1.89e-01"
"hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances",4,0.0772,"3.24e-01",0.03178,"3.24e-01",-0.04542,"5.63e-01"
"leucine biosynthetic process",4,0.08686,"1.00e+00",0.03634,"1.00e+00",-0.05053,"1.00e+00"
"glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity",3,0.0796,"6.10e-01",0.04219,"6.10e-01",-0.03741,"1.00e+00"
"glycerol-3-phosphate dehydrogenase (NAD+) activity",2,0.07411,"1.89e-01",0.03279,"7.22e-01",-0.04132,"1.89e-01"
"glycerol-3-phosphate dehydrogenase [NAD(P)+] activity",2,0.07411,"1.89e-01",0.03279,"7.22e-01",-0.04132,"1.89e-01"
"extracellular polysaccharide biosynthetic process",2,0.08257,"9.39e-01",0.0592,"9.39e-01",-0.02337,"1.00e+00"
"outer membrane-bounded periplasmic space",5,0.08232,"9.18e-01",0.03882,"9.18e-01",-0.0435,"1.00e+00"
"2 iron, 2 sulfur cluster binding",16,0.07812,"5.87e-01",0.03044,"1.00e+00",-0.04768,"5.87e-01"
"ligase activity",41,0.06941,"1.84e-04",0.02571,"1.00e+00",-0.04369,"1.84e-04"
"pyruvate dehydrogenase (acetyl-transferring) activity",3,0.0778,"6.37e-01",-0.04094,"6.37e-01",0.03687,"1.00e+00"
"ribosomal-protein-alanine N-acetyltransferase activity",2,0.07637,"5.48e-01",-0.03691,"1.00e+00",0.03946,"5.48e-01"
"peroxiredoxin activity",3,0.07322,"1.88e-01",-0.02257,"1.00e+00",0.05064,"1.88e-01"
"lipid biosynthetic process",29,0.06775,"1.58e-03",0.0365,"1.58e-03",-0.03126,"6.98e-02"
"transposition, DNA-mediated",41,0.0672,"2.32e-05",0.00764,"1.00e+00",-0.05955,"2.32e-05"
"sterol biosynthetic process",2,0.07198,"2.34e-01",0.03737,"2.34e-01",-0.0346,"1.00e+00"
"amino acid transmembrane transporter activity",8,0.07911,"1.00e+00",0.04285,"1.00e+00",-0.03626,"1.00e+00"
"lipoate biosynthetic process",2,0.07382,"4.89e-01",-0.03818,"5.90e-01",0.03564,"4.89e-01"
"sulfuric ester hydrolase activity",2,0.07479,"7.54e-01",0.02841,"1.00e+00",-0.04638,"7.54e-01"
"ferrous iron binding",2,0.07402,"5.97e-01",0.06479,"5.97e-01",-0.00923,"1.00e+00"
"electron carrier activity",60,0.06465,"4.86e-03",0.03156,"2.62e-01",-0.03309,"4.86e-03"
"heme biosynthetic process",3,0.06915,"2.54e-01",-0.0314,"6.57e-01",0.03775,"2.54e-01"
"alcohol metabolic process",2,0.07009,"3.14e-01",0.04419,"3.14e-01",-0.02591,"1.00e+00"
"GMP biosynthetic process",2,0.06689,"1.40e-01",-0.02735,"1.40e-01",0.03953,"2.00e-01"
"large ribosomal subunit",7,0.06732,"2.19e-01",-0.03338,"2.19e-01",0.03394,"3.73e-01"
"negative regulation of transcription",5,0.07605,"1.00e+00",0.03107,"1.00e+00",-0.04498,"1.00e+00"
"electron transport chain",16,0.07579,"1.00e+00",0.03755,"1.00e+00",-0.03824,"1.00e+00"
"aminomethyltransferase activity",2,0.06722,"2.45e-01",-0.043,"2.45e-01",0.02422,"1.00e+00"
"folic acid and derivative biosynthetic process",4,0.06629,"1.99e-01",-0.03258,"1.99e-01",0.03371,"1.00e+00"
"ATP-dependent DNA helicase activity",8,0.06485,"1.19e-01",0.03441,"1.19e-01",-0.03044,"5.37e-01"
"acetolactate synthase activity",5,0.07292,"8.27e-01",0.02187,"1.00e+00",-0.05105,"8.27e-01"
"oxidoreductase activity, acting on CH-OH group of donors",3,0.06165,"1.08e-01",0.04152,"1.08e-01",-0.02013,"1.00e+00"
"sequence-specific DNA binding",27,0.07408,"1.00e+00",0.02976,"1.00e+00",-0.04432,"1.00e+00"
"proton-transporting ATP synthase complex, catalytic core F(1)",5,0.06119,"1.04e-01",-0.0359,"1.04e-01",0.02529,"4.14e-01"
"glycerol-3-phosphate dehydrogenase complex",4,0.06052,"1.16e-01",0.02892,"6.37e-01",-0.0316,"1.16e-01"
"pseudouridine synthesis",3,0.06582,"3.99e-01",-0.04003,"3.99e-01",0.02579,"1.00e+00"
"methylation",2,0.07329,"1.00e+00",-0.03453,"1.00e+00",0.03876,"1.00e+00"
"translation release factor activity, codon specific",2,0.07124,"9.52e-01",-0.03086,"9.54e-01",0.04037,"9.52e-01"
"metalloendopeptidase activity",13,0.06513,"3.77e-01",-0.03681,"3.77e-01",0.02832,"1.00e+00"
"4-alpha-hydroxytetrahydrobiopterin dehydratase activity",2,0.07322,"1.00e+00",0.03789,"1.00e+00",-0.03533,"1.00e+00"
"respiratory chain",2,0.06837,"6.85e-01",0.04539,"6.85e-01",-0.02298,"7.20e-01"
"tetrahydrobiopterin biosynthetic process",2,0.07322,"1.00e+00",0.03789,"1.00e+00",-0.03533,"1.00e+00"
"carboxy-lyase activity",2,0.06275,"3.19e-01",0.03524,"7.89e-01",-0.02751,"3.19e-01"
"pseudouridine synthase activity",5,0.05944,"1.98e-01",-0.03547,"1.98e-01",0.02397,"1.00e+00"
"deoxyribonucleoside diphosphate metabolic process",3,0.07074,"1.00e+00",0.03286,"1.00e+00",-0.03788,"1.00e+00"
"antibiotic biosynthetic process",5,0.07072,"1.00e+00",0.02805,"1.00e+00",-0.04267,"1.00e+00"
"acyl-CoA metabolic process",2,0.05796,"1.59e-01",-0.03675,"1.59e-01",0.02121,"1.00e+00"
"acyl-CoA thioesterase activity",2,0.05796,"1.59e-01",-0.03675,"1.59e-01",0.02121,"1.00e+00"
"DNA binding",199,0.05533,"6.32e-13",0.01709,"1.00e+00",-0.03824,"6.32e-13"
"pyridoxine biosynthetic process",2,0.06892,"1.00e+00",0.01202,"1.00e+00",-0.0569,"1.00e+00"
"flavin-containing monooxygenase activity",5,0.06869,"1.00e+00",0.02821,"1.00e+00",-0.04048,"1.00e+00"
"phenylalanine-tRNA ligase activity",2,0.06158,"7.36e-01",-0.01906,"1.00e+00",0.04252,"7.36e-01"
"exodeoxyribonuclease V activity",3,0.0595,"5.17e-01",0.02057,"1.00e+00",-0.03893,"5.17e-01"
"phenylalanyl-tRNA aminoacylation",2,0.06158,"7.36e-01",-0.01906,"1.00e+00",0.04252,"7.36e-01"
"aspartic-type endopeptidase activity",3,0.05656,"2.00e-01",-0.03126,"2.00e-01",0.02529,"1.00e+00"
"cell outer membrane",2,0.05848,"5.62e-01",0.01549,"1.00e+00",-0.04299,"5.62e-01"
"acyl-CoA dehydrogenase activity",36,0.05357,"2.50e-02",0.02122,"9.35e-01",-0.03235,"2.50e-02"
"hydrolase activity, acting on ester bonds",7,0.06505,"1.00e+00",0.02902,"1.00e+00",-0.03602,"1.00e+00"
"carotenoid biosynthetic process",2,0.0628,"1.00e+00",0.01823,"1.00e+00",-0.04457,"1.00e+00"
"single-stranded DNA binding",4,0.06262,"1.00e+00",-0.03533,"1.00e+00",0.02729,"1.00e+00"
"isocitrate lyase activity",3,0.05821,"7.58e-01",0.03443,"7.58e-01",-0.02378,"1.00e+00"
"mitochondrion",3,0.06208,"1.00e+00",0.0353,"1.00e+00",-0.02679,"1.00e+00"
"regulation of transcription",15,0.05422,"2.36e-01",0.01237,"1.00e+00",-0.04185,"2.36e-01"
"NADH dehydrogenase (quinone) activity",5,0.05693,"5.78e-01",0.04546,"5.78e-01",-0.01147,"1.00e+00"
"transmembrane transport",73,0.05119,"5.79e-03",0.02377,"9.24e-01",-0.02742,"5.79e-03"
"heat shock protein binding",2,0.05782,"7.75e-01",-0.02639,"9.68e-01",0.03143,"7.75e-01"
"response to heat",2,0.05782,"7.75e-01",-0.02639,"9.68e-01",0.03143,"7.75e-01"
"cell wall",6,0.06042,"1.00e+00",0.04503,"1.00e+00",-0.0154,"1.00e+00"
"protein transporter activity",2,0.06013,"1.00e+00",0.03295,"1.00e+00",-0.02718,"1.00e+00"
"proton-transporting ATPase activity, rotational mechanism",4,0.05379,"3.60e-01",-0.03073,"3.60e-01",0.02306,"8.70e-01"
"branched chain family amino acid biosynthetic process",4,0.05918,"1.00e+00",0.02359,"1.00e+00",-0.03559,"1.00e+00"
"DNA polymerase III complex",2,0.05234,"2.41e-01",-0.02661,"7.61e-01",0.02573,"2.41e-01"
"isomerase activity",24,0.05565,"6.68e-01",0.02855,"6.68e-01",-0.0271,"1.00e+00"
"RNA methyltransferase activity",8,0.05726,"9.70e-01",-0.02272,"1.00e+00",0.03455,"9.70e-01"
"DNA primase activity",4,0.05825,"1.00e+00",0.03245,"1.00e+00",-0.0258,"1.00e+00"
"transcription",130,0.0488,"1.55e-04",0.01624,"1.00e+00",-0.03256,"1.55e-04"
"defense response",3,0.05108,"2.46e-01",-0.03153,"1.00e+00",0.01955,"2.46e-01"
"two-component response regulator activity",24,0.0576,"1.00e+00",0.02612,"1.00e+00",-0.03148,"1.00e+00"
"lipoprotein biosynthetic process",3,0.05749,"1.00e+00",0.0192,"1.00e+00",-0.03829,"1.00e+00"
"hydrogen ion transporting ATP synthase activity, rotational mechanism",8,0.04939,"1.07e-01",-0.02954,"1.07e-01",0.01985,"5.16e-01"
"ATPase activity",34,0.04988,"2.11e-01",0.01583,"1.00e+00",-0.03405,"2.11e-01"
"3-hydroxybutyryl-CoA dehydrogenase activity",2,0.05679,"1.00e+00",0.0485,"1.00e+00",-0.00829,"1.00e+00"
"sulfate transport",11,0.05671,"1.00e+00",0.0168,"1.00e+00",-0.03992,"1.00e+00"
"phospho-N-acetylmuramoyl-pentapeptide-transferase activity",2,0.05637,"1.00e+00",0.02517,"1.00e+00",-0.0312,"1.00e+00"
"protein targeting",3,0.05177,"6.52e-01",-0.02206,"1.00e+00",0.02972,"6.52e-01"
"glutamate-cysteine ligase activity",2,0.04881,"2.14e-01",0.01762,"1.00e+00",-0.03119,"2.14e-01"
"valine biosynthetic process",2,0.05031,"4.20e-01",0.03935,"4.20e-01",-0.01096,"1.00e+00"
"glutamate 5-kinase activity",2,0.05611,"1.00e+00",-0.01176,"1.00e+00",0.04435,"1.00e+00"
"glutathione biosynthetic process",2,0.04881,"2.14e-01",0.01762,"1.00e+00",-0.03119,"2.14e-01"
"phosphotransferase activity, alcohol group as acceptor",3,0.0557,"1.00e+00",0.03637,"1.00e+00",-0.01933,"1.00e+00"
"aromatic amino acid family biosynthetic process",6,0.05152,"6.91e-01",-0.02292,"6.91e-01",0.0286,"9.13e-01"
"protein disulfide oxidoreductase activity",6,0.05533,"1.00e+00",0.03702,"1.00e+00",-0.01832,"1.00e+00"
"lipid glycosylation",4,0.05491,"1.00e+00",0.04114,"1.00e+00",-0.01377,"1.00e+00"
"magnesium ion transport",3,0.05397,"1.00e+00",-0.03482,"1.00e+00",0.01915,"1.00e+00"
"nucleotide binding",13,0.05383,"1.00e+00",0.02572,"1.00e+00",-0.02811,"1.00e+00"
"signal transducer activity",7,0.05351,"1.00e+00",0.02447,"1.00e+00",-0.02904,"1.00e+00"
"pyridoxal phosphate biosynthetic process",2,0.04811,"2.92e-01",-0.01589,"1.00e+00",0.03223,"2.92e-01"
"cell killing",2,0.05316,"1.00e+00",-0.01969,"1.00e+00",0.03347,"1.00e+00"
"dihydropteroate synthase activity",2,0.05022,"8.70e-01",-0.0164,"1.00e+00",0.03382,"8.70e-01"
"CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity",2,0.05273,"1.00e+00",0.03594,"1.00e+00",-0.01679,"1.00e+00"
"succinate-CoA ligase (ADP-forming) activity",2,0.04999,"8.56e-01",-0.02964,"1.00e+00",0.02035,"8.56e-01"
"tetracycline transport",4,0.05263,"1.00e+00",0.02623,"1.00e+00",-0.0264,"1.00e+00"
"NAD or NADH binding",19,0.04657,"8.91e-02",0.01175,"1.00e+00",-0.03482,"8.91e-02"
"tetracycline:hydrogen antiporter activity",4,0.05263,"1.00e+00",0.02623,"1.00e+00",-0.0264,"1.00e+00"
"rRNA binding",35,0.04812,"4.81e-01",-0.02501,"5.28e-01",0.02312,"4.81e-01"
"ATP-binding cassette (ABC) transporter complex",5,0.05211,"1.00e+00",0.02116,"1.00e+00",-0.03095,"1.00e+00"
"protein catabolic process",2,0.05173,"1.00e+00",-0.0225,"1.00e+00",0.02923,"1.00e+00"
"exonuclease activity",3,0.04655,"2.05e-01",0.02702,"2.05e-01",-0.01953,"1.00e+00"
"phosphoglycolate phosphatase activity",3,0.0508,"1.00e+00",0.02214,"1.00e+00",-0.02867,"1.00e+00"
"cobalamin biosynthetic process",16,0.0478,"6.66e-01",0.01787,"1.00e+00",-0.02993,"6.66e-01"
"cyclopropane-fatty-acyl-phospholipid synthase activity",10,0.05053,"1.00e+00",0.02153,"1.00e+00",-0.02901,"1.00e+00"
"ion transport",2,0.04815,"8.49e-01",0.00819,"1.00e+00",-0.03995,"8.49e-01"
"ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism",6,0.05,"1.00e+00",0.03011,"1.00e+00",-0.01989,"1.00e+00"
"tRNA pseudouridine synthesis",2,0.04987,"1.00e+00",-0.02862,"1.00e+00",0.02125,"1.00e+00"
"DNA replication, synthesis of RNA primer",6,0.04977,"1.00e+00",0.02878,"1.00e+00",-0.02099,"1.00e+00"
"isoleucine biosynthetic process",4,0.04519,"9.74e-02",0.03383,"9.74e-02",-0.01136,"1.00e+00"
"dTMP biosynthetic process",3,0.04977,"1.00e+00",0.04898,"1.00e+00",-0.00079,"1.00e+00"
