"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"nucleoside diphosphate kinase activity",2,0.09515,"1.39e-01",-0.04271,"6.33e-01",0.05244,"1.39e-01"
"transaminase activity",2,0.09044,"7.71e-02",-0.04225,"7.71e-02",0.04818,"2.49e-01"
"collagen binding",3,0.10766,"9.82e-01",0.03753,"1.00e+00",-0.07014,"9.82e-01"
"disordered domain specific binding",3,0.09465,"3.19e-01",0.04705,"7.89e-01",-0.0476,"3.19e-01"
"protein self-association",4,0.10155,"7.37e-01",0.0377,"1.00e+00",-0.06385,"7.37e-01"
"RNA helicase activity",2,0.08453,"3.89e-02",0.04134,"5.29e-01",-0.04319,"3.89e-02"
"translation initiation factor activity",3,0.08659,"1.25e-01",0.03675,"1.00e+00",-0.04984,"1.25e-01"
"protein folding chaperone",3,0.10456,"1.00e+00",0.08163,"1.00e+00",-0.02293,"1.00e+00"
"L-arginine transmembrane transporter activity",2,0.09703,"8.24e-01",0.04263,"1.00e+00",-0.05439,"8.24e-01"
"catalytic activity",2,0.10014,"1.00e+00",0.06323,"1.00e+00",-0.03692,"1.00e+00"
"phosphatidylserine floppase activity",2,0.09409,"5.62e-01",0.03294,"8.80e-01",-0.06115,"5.62e-01"
"carbohydrate binding",2,0.07719,"5.45e-02",0.03667,"5.45e-02",-0.04053,"5.60e-01"
"single-stranded DNA binding",6,0.08279,"2.16e-01",0.0385,"1.00e+00",-0.04429,"2.16e-01"
"microtubule binding",2,0.08441,"4.11e-01",0.02909,"1.00e+00",-0.05532,"4.11e-01"
"inorganic diphosphate phosphatase activity",2,0.09042,"8.46e-01",-0.02338,"1.00e+00",0.06705,"8.46e-01"
"molecular_function",11,0.09232,"1.00e+00",0.04924,"1.00e+00",-0.04308,"1.00e+00"
"cobalamin binding",2,0.08148,"4.88e-01",0.02982,"4.88e-01",-0.05165,"1.00e+00"
"monooxygenase activity",3,0.08782,"9.58e-01",0.03366,"1.00e+00",-0.05417,"9.58e-01"
"quinone binding",2,0.07582,"5.72e-01",0.0554,"5.72e-01",-0.02041,"1.00e+00"
"mitochondrial ribosome binding",2,0.07123,"3.77e-01",-0.05477,"3.77e-01",0.01645,"1.00e+00"
"AMP binding",4,0.07343,"5.49e-01",-0.03679,"7.15e-01",0.03664,"5.49e-01"
"sulfuric ester hydrolase activity",2,0.07479,"7.54e-01",0.02841,"1.00e+00",-0.04638,"7.54e-01"
"efflux transmembrane transporter activity",4,0.07962,"1.00e+00",0.0155,"1.00e+00",-0.06412,"1.00e+00"
"protein-disulfide reductase activity",3,0.07557,"1.00e+00",0.05361,"1.00e+00",-0.02196,"1.00e+00"
"toxic substance binding",2,0.06806,"4.63e-01",0.0315,"4.63e-01",-0.03656,"1.00e+00"
"biotin binding",2,0.06432,"7.87e-02",-0.02623,"8.67e-01",0.0381,"7.87e-02"
"translation release factor activity",2,0.07124,"9.52e-01",-0.03086,"9.54e-01",0.04037,"9.52e-01"
"acetyl-CoA C-acetyltransferase activity",4,0.06503,"3.76e-01",0.03166,"4.34e-01",-0.03337,"3.76e-01"
"apolipoprotein A-I binding",2,0.06804,"6.08e-01",0.00691,"1.00e+00",-0.06113,"6.08e-01"
"very long-chain fatty acid-CoA ligase activity",3,0.06897,"9.18e-01",0.02478,"1.00e+00",-0.0442,"9.18e-01"
"high-density lipoprotein particle binding",2,0.06804,"6.08e-01",0.00691,"1.00e+00",-0.06113,"6.08e-01"
"iron ion binding",10,0.07084,"1.00e+00",0.03838,"1.00e+00",-0.03247,"1.00e+00"
"double-stranded DNA binding",4,0.06904,"1.00e+00",0.03274,"1.00e+00",-0.03631,"1.00e+00"
"xenobiotic transmembrane transporter activity",4,0.06825,"1.00e+00",0.01316,"1.00e+00",-0.05509,"1.00e+00"
"amyloid-beta binding",2,0.06747,"8.86e-01",0.03849,"8.86e-01",-0.02898,"1.00e+00"
"pseudouridine synthase activity",4,0.06134,"4.99e-01",-0.03269,"4.99e-01",0.02865,"8.22e-01"
"Hsp70 protein binding",3,0.05951,"4.19e-01",-0.03311,"4.19e-01",0.0264,"6.89e-01"
"retinoic acid 4-hydroxylase activity",2,0.06436,"8.86e-01",0.00152,"1.00e+00",-0.06285,"8.86e-01"
"cell adhesion molecule binding",2,0.06777,"1.00e+00",0.01381,"1.00e+00",-0.05395,"1.00e+00"
"fatty-acyl-CoA binding",4,0.05628,"4.09e-01",0.02983,"4.09e-01",-0.02644,"1.00e+00"
"kinase activity",2,0.05417,"9.62e-02",0.0258,"9.62e-02",-0.02837,"4.67e-01"
"protein phosphatase binding",2,0.06056,"6.63e-01",-0.03647,"1.00e+00",0.02409,"6.63e-01"
"NADH dehydrogenase activity",5,0.05719,"4.76e-01",0.04124,"4.76e-01",-0.01595,"1.00e+00"
"modified amino acid binding",2,0.0532,"1.25e-01",-0.02781,"1.25e-01",0.02538,"1.00e+00"
"coenzyme A diphosphatase activity",2,0.06287,"1.00e+00",0.03284,"1.00e+00",-0.03003,"1.00e+00"
"enoyl-CoA hydratase activity",4,0.05265,"7.29e-02",0.01683,"1.00e+00",-0.03582,"7.29e-02"
"extracellular matrix structural constituent",2,0.06104,"1.00e+00",0.00834,"1.00e+00",-0.0527,"1.00e+00"
"NAD+ binding",4,0.05158,"6.84e-02",0.03375,"6.84e-02",-0.01783,"1.00e+00"
"isomerase activity",2,0.05238,"2.03e-01",0.00772,"1.00e+00",-0.04467,"2.03e-01"
"DNA-directed DNA polymerase activity",3,0.05801,"1.00e+00",-0.0547,"1.00e+00",0.00332,"1.00e+00"
"copper ion transmembrane transporter activity",2,0.05423,"8.26e-01",-0.04446,"8.26e-01",0.00977,"1.00e+00"
"nucleoside triphosphate diphosphatase activity",2,0.05456,"9.25e-01",-0.02347,"9.25e-01",0.03109,"1.00e+00"
"acylglycerol lipase activity",2,0.05338,"8.23e-01",0.04409,"8.23e-01",-0.0093,"1.00e+00"
"snoRNA binding",2,0.05622,"1.00e+00",0.02757,"1.00e+00",-0.02866,"1.00e+00"
"glucose binding",3,0.05534,"1.00e+00",0.02109,"1.00e+00",-0.03425,"1.00e+00"
"NAD binding",14,0.0515,"8.04e-01",0.0185,"1.00e+00",-0.033,"8.04e-01"
"myosin phosphatase activity",2,0.05312,"1.00e+00",-0.03114,"1.00e+00",0.02198,"1.00e+00"
"phosphatase activity",2,0.04814,"3.69e-01",0.03231,"3.69e-01",-0.01583,"1.00e+00"
"3-keto sterol reductase activity",2,0.05288,"1.00e+00",-0.03317,"1.00e+00",0.01971,"1.00e+00"
"methyltransferase activity",3,0.04864,"4.59e-01",-0.02915,"4.59e-01",0.01949,"1.00e+00"
"ribonucleoprotein complex binding",2,0.05073,"8.54e-01",0.03503,"8.54e-01",-0.0157,"1.00e+00"
"carboxypeptidase activity",3,0.04616,"1.78e-01",-0.03965,"1.78e-01",0.00651,"1.00e+00"
"heme binding",9,0.05156,"1.00e+00",0.01792,"1.00e+00",-0.03363,"1.00e+00"
"large ribosomal subunit rRNA binding",2,0.05145,"1.00e+00",0.02153,"1.00e+00",-0.02992,"1.00e+00"
"palmitoyl-CoA oxidase activity",2,0.04737,"4.95e-01",0.0257,"4.95e-01",-0.02167,"1.00e+00"
"PDZ domain binding",4,0.04982,"1.00e+00",0.02518,"1.00e+00",-0.02464,"1.00e+00"
"dipeptidase activity",2,0.04664,"5.40e-01",-0.04383,"5.40e-01",0.00281,"1.00e+00"
"floppase activity",4,0.04881,"1.00e+00",0.00023,"1.00e+00",-0.04858,"1.00e+00"
"phosphatidylcholine floppase activity",4,0.04881,"1.00e+00",0.00023,"1.00e+00",-0.04858,"1.00e+00"
"acetate-CoA ligase activity",2,0.04828,"1.00e+00",-0.01688,"1.00e+00",0.03139,"1.00e+00"
"NADH dehydrogenase (ubiquinone) activity",7,0.04264,"4.27e-01",0.03262,"4.27e-01",-0.01002,"1.00e+00"
"peptide binding",3,0.04111,"2.03e-01",-0.02281,"2.03e-01",0.0183,"7.25e-01"
"copper ion binding",3,0.04809,"1.00e+00",-0.02495,"1.00e+00",0.02314,"1.00e+00"
"amino acid binding",3,0.04783,"1.00e+00",0.0203,"1.00e+00",-0.02753,"1.00e+00"
"cholesterol transfer activity",2,0.04755,"1.00e+00",0.01019,"1.00e+00",-0.03736,"1.00e+00"
"transmembrane transporter activity",4,0.04632,"1.00e+00",0.00245,"1.00e+00",-0.04387,"1.00e+00"
"phosphoric diester hydrolase activity",2,0.04584,"1.00e+00",-0.0238,"1.00e+00",0.02205,"1.00e+00"
"FMN binding",5,0.0457,"1.00e+00",0.02603,"1.00e+00",-0.01967,"1.00e+00"
"calmodulin binding",3,0.03697,"4.35e-01",-0.0351,"4.35e-01",0.00188,"1.00e+00"
"ATPase binding",2,0.04397,"1.00e+00",0.00843,"1.00e+00",-0.03554,"1.00e+00"
"bile acid binding",2,0.04381,"1.00e+00",-0.02448,"1.00e+00",0.01933,"1.00e+00"
"ATP-dependent protein folding chaperone",4,0.03781,"6.23e-01",0.00923,"1.00e+00",-0.02858,"6.23e-01"
"superoxide dismutase activity",2,0.0394,"9.65e-01",0.01378,"1.00e+00",-0.02562,"9.65e-01"
"cadherin binding",11,0.04218,"1.00e+00",-0.02444,"1.00e+00",0.01774,"1.00e+00"
"NADPH binding",4,0.04209,"1.00e+00",-0.02838,"1.00e+00",0.01371,"1.00e+00"
"transferase activity",3,0.04186,"1.00e+00",0.01139,"1.00e+00",-0.03046,"1.00e+00"
"NAD-retinol dehydrogenase activity",2,0.04086,"1.00e+00",0.0184,"1.00e+00",-0.02247,"1.00e+00"
"mRNA 5'-UTR binding",2,0.04053,"1.00e+00",0.01707,"1.00e+00",-0.02345,"1.00e+00"
"glycine binding",2,0.03311,"7.27e-01",0.02171,"7.27e-01",-0.0114,"1.00e+00"
"cholesterol binding",4,0.03928,"1.00e+00",0.00348,"1.00e+00",-0.0358,"1.00e+00"
"3-hydroxyacyl-CoA dehydratase activity",2,0.03873,"1.00e+00",0.01597,"1.00e+00",-0.02276,"1.00e+00"
"folic acid binding",3,0.03694,"1.00e+00",-0.00542,"1.00e+00",0.03152,"1.00e+00"
"oxygen binding",4,0.03667,"1.00e+00",0.00061,"1.00e+00",-0.03606,"1.00e+00"
"oxidoreductase activity",11,0.03654,"1.00e+00",0.01606,"1.00e+00",-0.02048,"1.00e+00"
"long-chain fatty acyl-CoA dehydrogenase activity",2,0.03614,"1.00e+00",0.01649,"1.00e+00",-0.01965,"1.00e+00"
"acetyl-CoA C-acyltransferase activity",3,0.03449,"1.00e+00",0.0175,"1.00e+00",-0.01699,"1.00e+00"
"ribosome binding",2,0.03422,"1.00e+00",0.01251,"1.00e+00",-0.02171,"1.00e+00"
"electron transfer activity",16,0.03013,"5.06e-01",0.00578,"1.00e+00",-0.02435,"5.06e-01"
"kinase binding",5,0.03408,"1.00e+00",0.00782,"1.00e+00",-0.02626,"1.00e+00"
"adenosine deaminase activity",2,0.03301,"1.00e+00",-0.0138,"1.00e+00",0.01921,"1.00e+00"
"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity",3,0.03238,"1.00e+00",0.00654,"1.00e+00",-0.02584,"1.00e+00"
"structural constituent of ribosome",30,0.03232,"1.00e+00",-0.01888,"1.00e+00",0.01345,"1.00e+00"
"carbonyl reductase (NADPH) activity",3,0.03232,"1.00e+00",0.00753,"1.00e+00",-0.02478,"1.00e+00"
"ABC-type transporter activity",3,0.03197,"1.00e+00",0.01905,"1.00e+00",-0.01292,"1.00e+00"
"heat shock protein binding",3,0.03186,"1.00e+00",-0.01779,"1.00e+00",0.01407,"1.00e+00"
"ubiquitin ligase inhibitor activity",3,0.03167,"1.00e+00",-0.01813,"1.00e+00",0.01354,"1.00e+00"
"protein domain specific binding",4,0.03155,"1.00e+00",-0.02603,"1.00e+00",0.00552,"1.00e+00"
"NADP-retinol dehydrogenase activity",6,0.03132,"1.00e+00",0.00133,"1.00e+00",-0.03,"1.00e+00"
"translation factor activity, RNA binding",3,0.03127,"1.00e+00",0.00803,"1.00e+00",-0.02324,"1.00e+00"
"nucleic acid binding",6,0.03109,"1.00e+00",0.01828,"1.00e+00",-0.01282,"1.00e+00"
"apolipoprotein binding",3,0.02587,"1.84e-01",-0.00656,"1.00e+00",-0.0583,"1.84e-01"
"chloride channel activity",3,0.03108,"1.00e+00",0.01796,"1.00e+00",-0.01313,"1.00e+00"
"protein serine/threonine kinase activity",4,0.03052,"1.00e+00",0.00352,"1.00e+00",-0.02701,"1.00e+00"
"enzyme binding",12,0.02994,"1.00e+00",0.01179,"1.00e+00",-0.01815,"1.00e+00"
"cytidine kinase activity",2,0.0295,"1.00e+00",-0.02441,"1.00e+00",0.00509,"1.00e+00"
"uridine kinase activity",2,0.0295,"1.00e+00",-0.02441,"1.00e+00",0.00509,"1.00e+00"
"cardiolipin binding",2,0.02947,"1.00e+00",-0.01843,"1.00e+00",0.01103,"1.00e+00"
"ribosomal small subunit binding",4,0.02904,"1.00e+00",0.01693,"1.00e+00",-0.0121,"1.00e+00"
"O-methyltransferase activity",4,0.02889,"1.00e+00",-0.02447,"1.00e+00",0.00442,"1.00e+00"
"glutaminase activity",2,0.02885,"1.00e+00",-0.00768,"1.00e+00",0.02117,"1.00e+00"
"signaling receptor activity",4,0.02877,"1.00e+00",0.01745,"1.00e+00",-0.01132,"1.00e+00"
"protein dimerization activity",2,0.02869,"1.00e+00",0.00927,"1.00e+00",-0.01941,"1.00e+00"
"GDP binding",3,0.02868,"1.00e+00",-0.0104,"1.00e+00",0.01828,"1.00e+00"
"4 iron, 4 sulfur cluster binding",18,0.02794,"1.00e+00",0.01704,"1.00e+00",-0.0109,"1.00e+00"
"identical protein binding",102,0.02372,"5.70e-01",0.00878,"1.00e+00",-0.01494,"5.70e-01"
"phosphatidylethanolamine flippase activity",4,0.02784,"1.00e+00",0.00733,"1.00e+00",-0.02051,"1.00e+00"
"metalloaminopeptidase activity",2,0.02763,"1.00e+00",-0.02454,"1.00e+00",0.00309,"1.00e+00"
"metalloexopeptidase activity",2,0.02763,"1.00e+00",-0.02454,"1.00e+00",0.00309,"1.00e+00"
"rRNA binding",9,0.02746,"1.00e+00",-0.01711,"1.00e+00",0.01034,"1.00e+00"
"hydrolase activity, hydrolyzing O-glycosyl compounds",2,0.0271,"1.00e+00",0.01979,"1.00e+00",-0.00732,"1.00e+00"
"3-hydroxyacyl-CoA dehydrogenase activity",5,0.027,"1.00e+00",0.01882,"1.00e+00",-0.00818,"1.00e+00"
"damaged DNA binding",9,0.02662,"1.00e+00",-0.02234,"1.00e+00",0.00428,"1.00e+00"
"ATPase-coupled intramembrane lipid transporter activity",3,0.02638,"1.00e+00",0.01852,"1.00e+00",-0.00787,"1.00e+00"
"metalloendopeptidase activity",4,0.02635,"1.00e+00",-0.01434,"1.00e+00",0.01201,"1.00e+00"
"nucleotidyltransferase activity",4,0.02541,"1.00e+00",-0.00154,"1.00e+00",0.02387,"1.00e+00"
"lipopolysaccharide binding",2,0.02527,"1.00e+00",0.00469,"1.00e+00",-0.02059,"1.00e+00"
"ABC-type xenobiotic transporter activity",2,0.02504,"1.00e+00",-0.00973,"1.00e+00",-0.0598,"1.00e+00"
"protein binding",368,0.01426,"2.31e-02",0.00418,"1.00e+00",-0.01008,"2.31e-02"
"estradiol 17-beta-dehydrogenase [NAD(P)] activity",7,0.02468,"1.00e+00",0.00905,"1.00e+00",-0.01563,"1.00e+00"
"symporter activity",2,0.02454,"1.00e+00",0.01175,"1.00e+00",-0.0128,"1.00e+00"
"5S rRNA binding",2,0.02421,"1.00e+00",0.00938,"1.00e+00",-0.01483,"1.00e+00"
"unfolded protein binding",11,0.02421,"1.00e+00",0.01591,"1.00e+00",-0.0083,"1.00e+00"
"aldehyde dehydrogenase [NAD(P)+] activity",2,0.02399,"1.00e+00",0.00678,"1.00e+00",-0.01721,"1.00e+00"
"protein-folding chaperone binding",6,0.02322,"1.00e+00",-0.01672,"1.00e+00",0.0065,"1.00e+00"
"mRNA binding",10,0.02291,"1.00e+00",0.01335,"1.00e+00",-0.00956,"1.00e+00"
"NAD+-protein ADP-ribosyltransferase activity",2,0.02286,"1.00e+00",-0.00423,"1.00e+00",0.01863,"1.00e+00"
"GTPase activity",11,0.02238,"1.00e+00",-0.01341,"1.00e+00",0.00897,"1.00e+00"
"helicase activity",2,0.02215,"1.00e+00",0.01596,"1.00e+00",-0.0062,"1.00e+00"
"aldehyde dehydrogenase (NAD+) activity",4,0.01452,"9.33e-01",-0.01755,"1.00e+00",-0.04659,"9.33e-01"
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",4,0.02198,"1.00e+00",0.01749,"1.00e+00",-0.00449,"1.00e+00"
"L-malate dehydrogenase activity",2,0.02168,"1.00e+00",-0.00626,"1.00e+00",0.01542,"1.00e+00"
"virus receptor activity",2,0.02134,"1.00e+00",0.01799,"1.00e+00",-0.00335,"1.00e+00"
"lipid transporter activity",2,0.02055,"1.00e+00",-0.00179,"1.00e+00",0.01876,"1.00e+00"
"phospholipid transporter activity",2,0.02055,"1.00e+00",-0.00179,"1.00e+00",0.01876,"1.00e+00"
"carbohydrate derivative binding",2,0.01993,"1.00e+00",0.006,"1.00e+00",-0.01393,"1.00e+00"
"DNA-(apurinic or apyrimidinic site) endonuclease activity",5,0.01903,"1.00e+00",0.00476,"1.00e+00",-0.01427,"1.00e+00"
"double-stranded RNA binding",4,0.01894,"1.00e+00",0.00991,"1.00e+00",-0.00903,"1.00e+00"
"3'-5'-RNA exonuclease activity",3,0.01858,"1.00e+00",0.01538,"1.00e+00",-0.0032,"1.00e+00"
"lyase activity",4,0.01836,"1.00e+00",-0.00391,"1.00e+00",0.01445,"1.00e+00"
"endonuclease activity",2,0.01797,"1.00e+00",-0.00549,"1.00e+00",0.01249,"1.00e+00"
"transcription corepressor activity",3,0.0179,"1.00e+00",-0.01697,"1.00e+00",0.00094,"1.00e+00"
"retinal dehydrogenase activity",2,0.01748,"1.00e+00",-0.00498,"1.00e+00",0.0125,"1.00e+00"
"manganese ion transmembrane transporter activity",2,0.01702,"1.00e+00",-0.00205,"1.00e+00",-0.0361,"1.00e+00"
"protein kinase activity",3,0.01662,"1.00e+00",-0.01438,"1.00e+00",0.00224,"1.00e+00"
"protein kinase binding",9,0.01561,"1.00e+00",0.00892,"1.00e+00",-0.00669,"1.00e+00"
"flavin adenine dinucleotide binding",21,0.01539,"1.00e+00",-0.00409,"1.00e+00",0.01129,"1.00e+00"
"ATP-dependent peptidase activity",3,0.01512,"1.00e+00",0.00338,"1.00e+00",-0.01174,"1.00e+00"
"antiporter activity",5,0.01452,"1.00e+00",-0.00187,"1.00e+00",-0.03092,"1.00e+00"
"ATP hydrolysis activity",30,0.01426,"1.00e+00",0.00082,"1.00e+00",-0.01343,"1.00e+00"
"protein-containing complex binding",8,0.01412,"1.00e+00",-0.00272,"1.00e+00",0.0114,"1.00e+00"
"protein homodimerization activity",51,0.01375,"1.00e+00",0.00701,"1.00e+00",-0.00674,"1.00e+00"
"MHC class II protein complex binding",2,0.01356,"1.00e+00",0.00479,"1.00e+00",-0.00877,"1.00e+00"
"acyl-CoA dehydrogenase activity",4,0.01328,"1.00e+00",-0.01094,"1.00e+00",0.00234,"1.00e+00"
"pyruvate dehydrogenase (NAD+) activity",2,0.01323,"1.00e+00",-0.00726,"1.00e+00",0.00598,"1.00e+00"
"tRNA binding",11,0.01318,"1.00e+00",-0.00419,"1.00e+00",0.00899,"1.00e+00"
"endopeptidase activity",5,0.01317,"1.00e+00",-0.0102,"1.00e+00",0.00297,"1.00e+00"
"ribosomal large subunit binding",3,0.0129,"1.00e+00",-0.00592,"1.00e+00",-0.03171,"1.00e+00"
"calcium ion binding",10,0.0129,"1.00e+00",-0.00132,"1.00e+00",0.01157,"1.00e+00"
"fructose-2,6-bisphosphate 2-phosphatase activity",2,0.01201,"1.00e+00",-0.02466,"1.00e+00",-0.00063,"1.00e+00"
"peptidase activity",7,0.01188,"1.00e+00",0.00453,"1.00e+00",-0.00736,"1.00e+00"
"testosterone dehydrogenase (NAD+) activity",2,0.01127,"1.00e+00",-0.00405,"1.00e+00",0.00722,"1.00e+00"
"RNA endonuclease activity",2,0.01114,"1.00e+00",-0.00943,"1.00e+00",0.00171,"1.00e+00"
"pyridoxal phosphate binding",16,0.01097,"1.00e+00",-0.00827,"1.00e+00",0.0027,"1.00e+00"
"sequence-specific mRNA binding",2,0.01066,"1.00e+00",0.01264,"1.00e+00",0.03396,"1.00e+00"
"RNA binding",73,0.01064,"1.00e+00",-0.00718,"1.00e+00",0.00346,"1.00e+00"
"chloride:bicarbonate antiporter activity",2,0.01034,"1.00e+00",0.00834,"1.00e+00",-0.002,"1.00e+00"
"secondary active sulfate transmembrane transporter activity",2,0.01034,"1.00e+00",0.00834,"1.00e+00",-0.002,"1.00e+00"
"sulfate transmembrane transporter activity",2,0.01034,"1.00e+00",0.00834,"1.00e+00",-0.002,"1.00e+00"
"NADP binding",11,0.01021,"1.00e+00",-0.00012,"1.00e+00",-0.02055,"1.00e+00"
"molecular adaptor activity",2,0.01018,"1.00e+00",-0.04007,"1.00e+00",-0.01971,"1.00e+00"
"iron-sulfur cluster binding",3,0.01015,"1.00e+00",0.00484,"1.00e+00",-0.0053,"1.00e+00"
"DNA N-glycosylase activity",5,0.009,"1.00e+00",-0.02071,"1.00e+00",-0.00271,"1.00e+00"
"metal ion binding",101,0.00869,"1.00e+00",-0.0055,"1.00e+00",0.00319,"1.00e+00"
"mRNA 3'-UTR binding",2,0.00847,"1.00e+00",-0.01913,"1.00e+00",-0.03607,"1.00e+00"
"FAD binding",7,0.00831,"1.00e+00",-0.00127,"1.00e+00",0.00705,"1.00e+00"
"growth factor activity",2,0.00821,"1.00e+00",-0.00711,"1.00e+00",0.00111,"1.00e+00"
"3'-5' exonuclease activity",2,0.00791,"1.00e+00",0.02353,"1.00e+00",0.00771,"1.00e+00"
"3'-5'-DNA exonuclease activity",2,0.00791,"1.00e+00",0.02353,"1.00e+00",0.00771,"1.00e+00"
"GTP binding",18,0.0079,"1.00e+00",0.00205,"1.00e+00",-0.00585,"1.00e+00"
"single-stranded RNA binding",2,0.00741,"1.00e+00",-0.02103,"1.00e+00",-0.00621,"1.00e+00"
"ADP binding",4,0.00713,"1.00e+00",-0.00415,"1.00e+00",-0.01842,"1.00e+00"
"potassium ion binding",4,0.00706,"1.00e+00",0.002,"1.00e+00",-0.00506,"1.00e+00"
"chromatin binding",7,0.00689,"1.00e+00",-0.00351,"1.00e+00",0.00338,"1.00e+00"
"malic enzyme activity",2,0.00674,"1.00e+00",-0.01062,"1.00e+00",-0.02411,"1.00e+00"
"DNA binding",21,0.00665,"1.00e+00",-0.00658,"1.00e+00",7e-05,"1.00e+00"
"magnesium ion binding",31,0.0066,"1.00e+00",0.00138,"1.00e+00",-0.00522,"1.00e+00"
"uracil DNA N-glycosylase activity",2,0.0064,"1.00e+00",0.00503,"1.00e+00",0.01783,"1.00e+00"
"metallopeptidase activity",2,0.00615,"1.00e+00",-0.00253,"1.00e+00",-0.01484,"1.00e+00"
"serine-type endopeptidase activity",6,0.0061,"1.00e+00",-0.00444,"1.00e+00",-0.01665,"1.00e+00"
"aminopeptidase activity",3,0.00582,"1.00e+00",-0.0059,"1.00e+00",-0.01754,"1.00e+00"
"small molecule binding",4,0.00547,"1.00e+00",-0.01801,"1.00e+00",-0.00707,"1.00e+00"
"mRNA regulatory element binding translation repressor activity",3,0.00506,"1.00e+00",0.01422,"1.00e+00",0.02434,"1.00e+00"
"ATP binding",106,0.00493,"1.00e+00",0.0015,"1.00e+00",-0.00344,"1.00e+00"
"signaling receptor inhibitor activity",2,0.00474,"1.00e+00",-0.01936,"1.00e+00",-0.02885,"1.00e+00"
"molybdopterin cofactor binding",2,0.00471,"1.00e+00",0.03517,"1.00e+00",0.02576,"1.00e+00"
"translation elongation factor activity",4,0.00428,"1.00e+00",-0.01705,"1.00e+00",-0.02561,"1.00e+00"
"protein heterodimerization activity",4,0.00372,"1.00e+00",0.00171,"1.00e+00",0.00916,"1.00e+00"
"low-density lipoprotein particle receptor binding",2,0.0036,"1.00e+00",-0.02571,"1.00e+00",-0.01851,"1.00e+00"
"class I DNA-(apurinic or apyrimidinic site) endonuclease activity",3,0.00349,"1.00e+00",-0.01884,"1.00e+00",-0.01186,"1.00e+00"
"ATP-dependent activity, acting on DNA",2,0.00325,"1.00e+00",0.00982,"1.00e+00",0.00332,"1.00e+00"
"phospholipid binding",3,0.00324,"1.00e+00",-0.00339,"1.00e+00",-0.00987,"1.00e+00"
"lysophospholipase activity",4,0.00319,"1.00e+00",-0.01057,"1.00e+00",-0.0042,"1.00e+00"
