"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"response to organic cyclic compound",5,0.11781,"1.28e-01",0.06562,"6.92e-01",-0.05219,"1.28e-01"
"positive regulation of miRNA catabolic process",2,0.13252,"5.25e-01",0.08357,"5.25e-01",-0.04895,"1.00e+00"
"platelet aggregation",2,0.17874,"1.00e+00",0.1223,"1.00e+00",-0.05645,"1.00e+00"
"peripheral nervous system development",2,0.11214,"2.06e-01",-0.05914,"5.86e-01",0.053,"2.06e-01"
"regulation of translational initiation",3,0.15364,"8.11e-01",0.10181,"8.11e-01",-0.05183,"1.00e+00"
"rescue of stalled ribosome",2,0.11969,"3.98e-01",-0.07064,"3.98e-01",0.04906,"8.47e-01"
"energy homeostasis",2,0.11869,"3.87e-01",-0.05879,"8.62e-01",0.0599,"3.87e-01"
"regulation of gene expression",2,0.13393,"7.60e-01",0.07434,"8.90e-01",-0.05959,"7.60e-01"
"long-chain fatty acid metabolic process",6,0.10106,"1.13e-02",0.04534,"3.56e-01",-0.05572,"1.13e-02"
"sterol metabolic process",3,0.10954,"3.11e-01",0.05764,"3.11e-01",-0.0519,"6.50e-01"
"negative regulation of apoptotic signaling pathway",2,0.09973,"1.47e-03",-0.04982,"6.93e-02",0.04991,"1.47e-03"
"chaperone-mediated protein folding",2,0.15585,"1.00e+00",0.12159,"1.00e+00",-0.03426,"1.00e+00"
"membrane organization",2,0.10574,"2.39e-01",0.05362,"2.39e-01",-0.05212,"2.64e-01"
"basic amino acid transmembrane transport",2,0.11204,"4.27e-01",0.05502,"7.26e-01",-0.05702,"4.27e-01"
"negative regulation of cell growth",2,0.14784,"1.00e+00",0.08146,"1.00e+00",-0.06637,"1.00e+00"
"plasminogen activation",2,0.10485,"2.64e-01",0.06118,"2.64e-01",-0.04367,"4.74e-01"
"cellular lipid metabolic process",2,0.13943,"1.00e+00",0.12193,"1.00e+00",-0.0175,"1.00e+00"
"pre-miRNA processing",2,0.12686,"8.57e-01",0.07702,"8.57e-01",-0.04984,"1.00e+00"
"cellular response to cholesterol",2,0.10681,"5.49e-01",0.03978,"5.49e-01",-0.06703,"1.00e+00"
"cellular response to lead ion",2,0.10275,"3.44e-01",-0.0523,"3.44e-01",0.05045,"1.00e+00"
"cellular response to low-density lipoprotein particle stimulus",2,0.10681,"5.49e-01",0.03978,"5.49e-01",-0.06703,"1.00e+00"
"response to cobalt ion",2,0.10191,"2.95e-01",-0.05627,"1.00e+00",0.04563,"2.95e-01"
"sphingosine biosynthetic process",2,0.10829,"6.36e-01",-0.03425,"7.27e-01",0.07404,"6.36e-01"
"coenzyme A metabolic process",2,0.09746,"5.96e-02",0.05464,"5.96e-02",-0.04281,"8.38e-01"
"negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway",3,0.13106,"1.00e+00",0.08465,"1.00e+00",-0.04641,"1.00e+00"
"dTTP biosynthetic process",2,0.09968,"1.87e-01",-0.03696,"1.00e+00",0.06272,"1.87e-01"
"response to amino acid",2,0.09632,"2.04e-02",-0.03997,"5.97e-01",0.05635,"2.04e-02"
"regulation of intracellular pH",2,0.12821,"1.00e+00",0.0573,"1.00e+00",-0.07092,"1.00e+00"
"fatty-acyl-CoA biosynthetic process",2,0.10179,"4.16e-01",0.04629,"4.16e-01",-0.0555,"1.00e+00"
"regulation of lysosomal lumen pH",2,0.0933,"1.93e-02",0.0367,"1.00e+00",-0.05659,"1.93e-02"
"porphyrin-containing compound metabolic process",2,0.09647,"2.32e-01",0.04318,"2.32e-01",-0.05329,"1.00e+00"
"negative regulation of fibroblast proliferation",2,0.10053,"6.47e-01",0.04483,"7.53e-01",-0.0557,"6.47e-01"
"amino acid transport",4,0.09458,"2.22e-01",0.0457,"2.22e-01",-0.04888,"2.35e-01"
"neuron projection morphogenesis",3,0.09661,"4.14e-01",-0.05516,"4.14e-01",0.04145,"1.00e+00"
"intracellular signal transduction",4,0.1065,"1.00e+00",0.05334,"1.00e+00",-0.05315,"1.00e+00"
"response to UV",2,0.09856,"7.23e-01",-0.0475,"1.00e+00",0.05107,"7.23e-01"
"neutrophil differentiation",2,0.10385,"1.00e+00",-0.07396,"1.00e+00",0.02989,"1.00e+00"
"defense response to virus",3,0.10201,"1.00e+00",-0.05831,"1.00e+00",0.04369,"1.00e+00"
"cholesterol biosynthetic process",6,0.08702,"1.48e-01",0.03889,"6.18e-01",-0.04813,"1.48e-01"
"L-arginine import across plasma membrane",2,0.09703,"8.24e-01",0.04263,"1.00e+00",-0.05439,"8.24e-01"
"steroid biosynthetic process",5,0.09311,"4.85e-01",0.0409,"8.89e-01",-0.05221,"4.85e-01"
"R-loop processing",2,0.08453,"3.89e-02",0.04134,"5.29e-01",-0.04319,"3.89e-02"
"cellular response to interleukin-7",3,0.09454,"7.44e-01",0.04467,"1.00e+00",-0.04986,"7.44e-01"
"response to stimulus",3,0.0989,"1.00e+00",0.04268,"1.00e+00",-0.05623,"1.00e+00"
"amyloid precursor protein catabolic process",2,0.09315,"6.84e-01",0.04972,"8.08e-01",-0.04343,"6.84e-01"
"mRNA methylation",2,0.09078,"5.63e-01",0.04074,"5.63e-01",-0.05004,"1.00e+00"
"epidermis development",3,0.09797,"1.00e+00",0.05826,"1.00e+00",-0.03971,"1.00e+00"
"tRNA threonylcarbamoyladenosine modification",2,0.08925,"5.36e-01",-0.03302,"1.00e+00",0.05622,"5.36e-01"
"response to axon injury",5,0.0848,"3.20e-01",0.04549,"1.00e+00",-0.03932,"3.20e-01"
"tRNA aminoacylation for protein translation",3,0.08163,"1.16e-01",0.03704,"4.73e-01",-0.04459,"1.16e-01"
"gamma-aminobutyric acid biosynthetic process",2,0.08099,"5.95e-02",0.0386,"5.95e-02",-0.04239,"3.38e-01"
"negative regulation of cellular senescence",2,0.09528,"1.00e+00",0.06429,"1.00e+00",-0.03099,"1.00e+00"
"temperature homeostasis",2,0.0803,"2.87e-02",0.04128,"2.87e-02",-0.03902,"2.96e-01"
"adipose tissue development",2,0.0949,"1.00e+00",0.02911,"1.00e+00",-0.06579,"1.00e+00"
"positive regulation of cold-induced thermogenesis",6,0.08403,"3.31e-01",0.04591,"3.31e-01",-0.03812,"1.00e+00"
"neuron development",3,0.09086,"9.01e-01",0.02228,"1.00e+00",-0.06858,"9.01e-01"
"protein localization",2,0.08309,"3.80e-01",0.05001,"3.80e-01",-0.03308,"1.00e+00"
"response to amine",2,0.08853,"8.72e-01",-0.05351,"8.72e-01",0.03502,"1.00e+00"
"isoprenoid biosynthetic process",2,0.08112,"2.66e-01",-0.04345,"5.16e-01",0.03767,"2.66e-01"
"response to isolation stress",2,0.0874,"8.76e-01",0.02917,"1.00e+00",-0.05824,"8.76e-01"
"cellular response to type II interferon",3,0.09137,"1.00e+00",0.04124,"1.00e+00",-0.05013,"1.00e+00"
"vasodilation",2,0.07686,"2.74e-02",-0.03084,"9.81e-01",0.04602,"2.74e-02"
"response to estrogen",2,0.08154,"4.16e-01",-0.03717,"1.00e+00",0.04437,"4.16e-01"
"protein refolding",4,0.08947,"1.00e+00",0.05892,"1.00e+00",-0.03055,"1.00e+00"
"photoreceptor cell maintenance",4,0.07957,"2.20e-01",0.05143,"2.20e-01",-0.02814,"1.00e+00"
"error-prone translesion synthesis",2,0.08938,"1.00e+00",-0.0742,"1.00e+00",0.01518,"1.00e+00"
"GPI anchor biosynthetic process",3,0.07807,"1.10e-01",0.02697,"1.00e+00",-0.05109,"1.10e-01"
"smoothened signaling pathway",2,0.08526,"9.04e-01",0.04939,"9.05e-01",-0.03587,"9.04e-01"
"nucleotide biosynthetic process",2,0.07821,"2.46e-01",0.01647,"1.00e+00",-0.06174,"2.46e-01"
"mRNA stabilization",3,0.08645,"1.00e+00",0.04073,"1.00e+00",-0.04572,"1.00e+00"
"phospholipid metabolic process",3,0.07394,"5.89e-02",0.01308,"1.00e+00",-0.06087,"5.89e-02"
"xenobiotic transport",2,0.08642,"1.00e+00",0.03605,"1.00e+00",-0.05037,"1.00e+00"
"potassium ion transmembrane transport",4,0.08589,"1.00e+00",0.04125,"1.00e+00",-0.04463,"1.00e+00"
"cartilage development",2,0.07594,"2.22e-01",-0.03952,"2.22e-01",0.03642,"1.00e+00"
"long-chain fatty-acyl-CoA biosynthetic process",5,0.07613,"2.40e-01",0.03323,"3.45e-01",-0.0429,"2.40e-01"
"negative regulation of cell population proliferation",5,0.0741,"1.46e-01",0.02702,"1.00e+00",-0.04708,"1.46e-01"
"negative regulation of proteasomal protein catabolic process",2,0.07661,"3.10e-01",-0.02967,"1.00e+00",0.04694,"3.10e-01"
"Mo-molybdopterin cofactor biosynthetic process",5,0.08568,"1.00e+00",0.05386,"1.00e+00",-0.03182,"1.00e+00"
"UDP-N-acetylglucosamine biosynthetic process",2,0.07267,"9.07e-02",0.03057,"9.07e-02",-0.0421,"3.86e-01"
"regulation of cholesterol metabolic process",3,0.07402,"2.35e-01",0.03193,"6.95e-01",-0.04208,"2.35e-01"
"regulation of protein localization to cell surface",2,0.0845,"1.00e+00",-0.02554,"1.00e+00",0.05896,"1.00e+00"
"male gonad development",3,0.08251,"1.00e+00",0.03991,"1.00e+00",-0.0426,"1.00e+00"
"intracellular zinc ion homeostasis",2,0.0819,"1.00e+00",-0.07,"1.00e+00",0.0119,"1.00e+00"
"cellular response to growth factor stimulus",2,0.07955,"8.22e-01",-0.04151,"8.22e-01",0.03803,"1.00e+00"
"protein N-linked glycosylation",2,0.07176,"1.75e-01",0.02364,"1.00e+00",-0.04812,"1.75e-01"
"brown fat cell differentiation",2,0.08139,"1.00e+00",0.01276,"1.00e+00",-0.06863,"1.00e+00"
"regulation of neuron apoptotic process",2,0.07084,"5.17e-02",0.00776,"1.00e+00",-0.06308,"5.17e-02"
"transsulfuration",3,0.07232,"3.59e-01",-0.03184,"4.55e-01",0.04048,"3.59e-01"
"norepinephrine metabolic process",2,0.07095,"8.76e-02",-0.05372,"8.76e-02",0.01723,"1.00e+00"
"response to unfolded protein",4,0.08064,"1.00e+00",0.05568,"1.00e+00",-0.02496,"1.00e+00"
"tRNA methylation",4,0.07236,"4.29e-01",0.03545,"4.29e-01",-0.03691,"1.00e+00"
"enzyme-directed rRNA pseudouridine synthesis",2,0.07281,"6.03e-01",-0.03676,"9.15e-01",0.03605,"6.03e-01"
"glycosaminoglycan catabolic process",2,0.07479,"7.54e-01",0.02841,"1.00e+00",-0.04638,"7.54e-01"
"negative regulation of cholesterol storage",3,0.08026,"1.00e+00",0.03106,"1.00e+00",-0.0492,"1.00e+00"
"positive regulation of cholesterol efflux",3,0.08026,"1.00e+00",0.03106,"1.00e+00",-0.0492,"1.00e+00"
"reverse cholesterol transport",3,0.08026,"1.00e+00",0.03106,"1.00e+00",-0.0492,"1.00e+00"
"rRNA modification",2,0.06654,"1.31e-02",-0.04309,"1.31e-02",0.02345,"1.00e+00"
"galactose catabolic process",2,0.07831,"1.00e+00",0.03736,"1.00e+00",-0.04094,"1.00e+00"
"regulation of mitochondrial translation",4,0.06851,"1.41e-01",-0.04175,"1.41e-01",0.02676,"4.60e-01"
"response to herbicide",2,0.07272,"8.89e-01",-0.03318,"1.00e+00",0.03954,"8.89e-01"
"UTP biosynthetic process",2,0.06497,"4.58e-03",-0.03294,"5.57e-03",0.03203,"4.58e-03"
"transport across blood-brain barrier",6,0.07503,"1.00e+00",0.03398,"1.00e+00",-0.04106,"1.00e+00"
"citrate metabolic process",3,0.07174,"8.47e-01",0.01432,"1.00e+00",-0.05743,"8.47e-01"
"very long-chain fatty acid metabolic process",4,0.06984,"4.46e-01",0.02706,"4.63e-01",-0.04278,"4.46e-01"
"glucuronate catabolic process to xylulose 5-phosphate",2,0.07162,"8.56e-01",0.03747,"1.00e+00",-0.03415,"8.56e-01"
"GTP biosynthetic process",2,0.06338,"5.16e-03",-0.02645,"5.16e-03",0.03693,"4.53e-02"
"N-terminal protein amino acid modification",2,0.07146,"8.55e-01",0.02056,"1.00e+00",-0.0509,"8.55e-01"
"peptidyl-methionine modification",2,0.07146,"8.55e-01",0.02056,"1.00e+00",-0.0509,"8.55e-01"
"NADPH regeneration",2,0.0673,"4.24e-01",0.02427,"1.00e+00",-0.04304,"4.24e-01"
"calcium ion transmembrane transport",2,0.07216,"1.00e+00",0.02823,"1.00e+00",-0.04392,"1.00e+00"
"calcium ion transport",2,0.07216,"1.00e+00",0.02823,"1.00e+00",-0.04392,"1.00e+00"
"mitochondrial fusion",2,0.06128,"1.22e-02",-0.0319,"1.22e-02",0.02938,"7.83e-02"
"response to arsenic-containing substance",2,0.06634,"5.57e-01",-0.02736,"1.00e+00",0.03898,"5.57e-01"
"glycerol metabolic process",2,0.06792,"7.64e-01",-0.03703,"7.64e-01",0.03089,"1.00e+00"
"response to methylmercury",2,0.06634,"5.57e-01",-0.02736,"1.00e+00",0.03898,"5.57e-01"
"sphingolipid metabolic process",3,0.07128,"1.00e+00",0.03497,"1.00e+00",-0.03631,"1.00e+00"
"dopamine biosynthetic process",2,0.07111,"1.00e+00",-0.03912,"1.00e+00",0.03199,"1.00e+00"
"phosphatidic acid biosynthetic process",2,0.06404,"5.96e-01",0.03425,"5.96e-01",-0.0298,"9.27e-01"
"immune response",3,0.06743,"9.48e-01",0.0339,"9.48e-01",-0.03353,"1.00e+00"
"paranodal junction assembly",2,0.07045,"1.00e+00",-0.04252,"1.00e+00",0.02794,"1.00e+00"
"phagocytosis, engulfment",2,0.07025,"1.00e+00",0.02197,"1.00e+00",-0.04828,"1.00e+00"
"skin development",3,0.0701,"1.00e+00",0.02778,"1.00e+00",-0.04232,"1.00e+00"
"sequestering of calcium ion",2,0.05969,"1.75e-01",-0.04056,"1.75e-01",0.01913,"1.00e+00"
"response to metal ion",2,0.05731,"3.17e-02",0.03581,"3.17e-02",-0.0215,"1.00e+00"
"response to heat",4,0.06983,"1.00e+00",0.05517,"1.00e+00",-0.01466,"1.00e+00"
"blood vessel remodeling",2,0.05963,"2.00e-01",-0.04015,"2.00e-01",0.01948,"1.00e+00"
"negative regulation of protein secretion",2,0.06952,"1.00e+00",0.04699,"1.00e+00",-0.02253,"1.00e+00"
"synapse assembly",3,0.06244,"6.31e-01",0.03281,"6.31e-01",-0.02963,"1.00e+00"
"axon regeneration",2,0.05612,"1.71e-02",0.04456,"1.71e-02",-0.01157,"1.00e+00"
"mRNA splicing, via spliceosome",2,0.05699,"6.36e-02",0.02743,"6.36e-02",-0.02957,"1.18e-01"
"cellular response to glucose starvation",2,0.06694,"1.00e+00",0.02899,"1.00e+00",-0.03796,"1.00e+00"
"cellular response to lipopolysaccharide",3,0.06484,"9.95e-01",0.02158,"1.00e+00",-0.04326,"9.95e-01"
"phospholipid efflux",3,0.06367,"9.61e-01",0.02406,"1.00e+00",-0.03961,"9.61e-01"
"response to cytokine",2,0.06106,"6.39e-01",-0.03004,"6.39e-01",0.03101,"1.00e+00"
"ERAD pathway",2,0.06056,"6.63e-01",-0.03647,"1.00e+00",0.02409,"6.63e-01"
"innate immune response",6,0.06623,"1.00e+00",-0.03704,"1.00e+00",0.02919,"1.00e+00"
"retrograde protein transport, ER to cytosol",2,0.06056,"6.63e-01",-0.03647,"1.00e+00",0.02409,"6.63e-01"
"glycogen biosynthetic process",2,0.05864,"4.82e-01",0.02483,"4.82e-01",-0.03381,"8.70e-01"
"oxygen metabolic process",2,0.06509,"1.00e+00",-0.06039,"1.00e+00",0.0047,"1.00e+00"
"substantia nigra development",3,0.06498,"1.00e+00",0.03121,"1.00e+00",-0.03376,"1.00e+00"
"iron ion transport",2,0.06352,"1.00e+00",0.02372,"1.00e+00",-0.0398,"1.00e+00"
"mitochondrial electron transport, succinate to ubiquinone",2,0.05427,"7.55e-02",0.02134,"1.00e+00",-0.03294,"7.55e-02"
"monoatomic ion transport",7,0.06318,"1.00e+00",0.03532,"1.00e+00",-0.02787,"1.00e+00"
"proteolysis involved in protein catabolic process",2,0.05546,"3.30e-01",0.02329,"1.00e+00",-0.03217,"3.30e-01"
"transepithelial transport",4,0.06303,"1.00e+00",0.00812,"1.00e+00",-0.05492,"1.00e+00"
"coenzyme A catabolic process",2,0.06287,"1.00e+00",0.03284,"1.00e+00",-0.03003,"1.00e+00"
"malonyl-CoA catabolic process",2,0.06287,"1.00e+00",0.03284,"1.00e+00",-0.03003,"1.00e+00"
"medium-chain fatty-acyl-CoA catabolic process",2,0.06287,"1.00e+00",0.03284,"1.00e+00",-0.03003,"1.00e+00"
"B cell proliferation",3,0.0541,"2.11e-01",0.00634,"1.00e+00",-0.04776,"2.11e-01"
"positive regulation of alpha-beta T cell differentiation",2,0.05469,"3.79e-01",0.01991,"1.00e+00",-0.03478,"3.79e-01"
"glucose homeostasis",5,0.06224,"1.00e+00",-0.04025,"1.00e+00",0.02199,"1.00e+00"
"animal organ regeneration",3,0.05297,"2.10e-02",-0.02848,"2.10e-02",0.02449,"2.77e-01"
"cholesterol metabolic process",9,0.05279,"6.79e-02",0.00905,"1.00e+00",-0.04374,"6.79e-02"
"response to type II interferon",3,0.06044,"1.00e+00",-0.04189,"1.00e+00",0.01856,"1.00e+00"
"DNA dealkylation involved in DNA repair",3,0.06022,"1.00e+00",-0.02406,"1.00e+00",0.03616,"1.00e+00"
"neuron apoptotic process",2,0.05885,"1.00e+00",0.02305,"1.00e+00",-0.0358,"1.00e+00"
"protein hexamerization",3,0.05862,"1.00e+00",0.00686,"1.00e+00",-0.05176,"1.00e+00"
"positive regulation of protein secretion",3,0.05802,"1.00e+00",0.02311,"1.00e+00",-0.03491,"1.00e+00"
"carbohydrate metabolic process",16,0.0497,"2.11e-02",0.00959,"1.00e+00",-0.04011,"2.11e-02"
"L-arginine transmembrane transport",3,0.05715,"1.00e+00",0.01985,"1.00e+00",-0.03729,"1.00e+00"
"mRNA pseudouridine synthesis",3,0.05376,"7.17e-01",-0.03309,"7.17e-01",0.02068,"1.00e+00"
"inflammatory response",8,0.05349,"6.45e-01",-0.03745,"6.45e-01",0.01604,"1.00e+00"
"medium-chain fatty acid biosynthetic process",2,0.05712,"1.00e+00",0.02039,"1.00e+00",-0.03673,"1.00e+00"
"copper ion transport",2,0.05423,"8.26e-01",-0.04446,"8.26e-01",0.00977,"1.00e+00"
"glucose 6-phosphate metabolic process",2,0.0548,"9.67e-01",0.01768,"1.00e+00",-0.03712,"9.67e-01"
"DNA demethylation",2,0.05701,"1.00e+00",-0.00522,"1.00e+00",0.0518,"1.00e+00"
"brainstem development",2,0.05226,"4.09e-01",-0.01076,"1.00e+00",0.0415,"4.09e-01"
"steroid metabolic process",4,0.05341,"7.17e-01",0.00818,"1.00e+00",-0.04522,"7.17e-01"
"cell adhesion",5,0.05693,"1.00e+00",0.01685,"1.00e+00",-0.04008,"1.00e+00"
"glucose metabolic process",8,0.05138,"3.04e-01",0.02397,"1.00e+00",-0.02741,"3.04e-01"
"negative regulation of gene expression",5,0.05662,"1.00e+00",-0.02011,"1.00e+00",0.03652,"1.00e+00"
"acylglycerol catabolic process",2,0.05338,"8.23e-01",0.04409,"8.23e-01",-0.0093,"1.00e+00"
"cellular response to cobalt ion",2,0.05,"2.79e-01",-0.04477,"2.79e-01",0.00522,"1.00e+00"
"positive regulation of cytokine production",4,0.05599,"1.00e+00",0.02586,"1.00e+00",-0.03013,"1.00e+00"
"phospholipid catabolic process",2,0.05218,"5.74e-01",0.04497,"5.74e-01",-0.00721,"1.00e+00"
"arachidonic acid metabolic process",2,0.05338,"8.23e-01",0.04409,"8.23e-01",-0.0093,"1.00e+00"
"response to steroid hormone",2,0.05591,"1.00e+00",-0.01259,"1.00e+00",0.04332,"1.00e+00"
"monoacylglycerol catabolic process",2,0.05338,"8.23e-01",0.04409,"8.23e-01",-0.0093,"1.00e+00"
"alpha-linolenic acid metabolic process",4,0.05578,"1.00e+00",0.03003,"1.00e+00",-0.02575,"1.00e+00"
"negative regulation of reactive oxygen species metabolic process",3,0.05269,"8.05e-01",0.01911,"1.00e+00",-0.03358,"8.05e-01"
"glycogen catabolic process",3,0.05505,"1.00e+00",-0.03452,"1.00e+00",0.02053,"1.00e+00"
"nervous system development",6,0.05504,"1.00e+00",0.02229,"1.00e+00",-0.03276,"1.00e+00"
"medium-chain fatty acid metabolic process",2,0.05494,"1.00e+00",0.02734,"1.00e+00",-0.02761,"1.00e+00"
"isoleucine catabolic process",2,0.05461,"1.00e+00",0.03975,"1.00e+00",-0.01486,"1.00e+00"
"sodium ion transmembrane transport",3,0.05427,"1.00e+00",0.0351,"1.00e+00",-0.01917,"1.00e+00"
"response to folic acid",2,0.04974,"7.46e-01",-0.01647,"7.46e-01",0.03326,"1.00e+00"
"protein processing",2,0.04766,"3.46e-01",-0.02636,"3.46e-01",0.02131,"4.72e-01"
"DNA replication",4,0.05361,"1.00e+00",-0.03939,"1.00e+00",0.01423,"1.00e+00"
"establishment of protein localization",2,0.04916,"6.43e-01",-0.02542,"1.00e+00",0.02374,"6.43e-01"
"mitochondrial translational termination",3,0.05358,"1.00e+00",-0.02094,"1.00e+00",0.03264,"1.00e+00"
"sensory perception of sound",3,0.04908,"6.75e-01",0.01611,"1.00e+00",-0.03298,"6.75e-01"
"glycerol-3-phosphate metabolic process",2,0.04599,"2.48e-01",0.02647,"2.48e-01",-0.01952,"6.18e-01"
"generation of precursor metabolites and energy",6,0.04862,"9.12e-01",0.02132,"9.12e-01",-0.0273,"9.96e-01"
"response to immobilization stress",3,0.05161,"1.00e+00",-0.03454,"1.00e+00",0.01707,"1.00e+00"
"mitochondrial protein processing",2,0.04737,"6.57e-01",-0.02853,"6.57e-01",0.01885,"9.65e-01"
"DNA synthesis involved in DNA repair",3,0.0515,"1.00e+00",0.0104,"1.00e+00",-0.0411,"1.00e+00"
"protein-containing complex assembly",2,0.05143,"1.00e+00",0.03575,"1.00e+00",-0.01568,"1.00e+00"
"hepatocyte differentiation",2,0.0453,"4.06e-01",-0.01869,"1.00e+00",0.02661,"4.06e-01"
"visual perception",7,0.0514,"1.00e+00",0.02622,"1.00e+00",-0.02518,"1.00e+00"
"execution phase of apoptosis",2,0.05078,"1.00e+00",-0.02544,"1.00e+00",0.02534,"1.00e+00"
"ethanol oxidation",2,0.05042,"1.00e+00",-0.02336,"1.00e+00",0.02706,"1.00e+00"
"pentose-phosphate shunt, oxidative branch",2,0.04956,"1.00e+00",0.01212,"1.00e+00",-0.03744,"1.00e+00"
"valine catabolic process",4,0.04522,"6.53e-01",0.00857,"1.00e+00",-0.03665,"6.53e-01"
"lactation",4,0.04945,"1.00e+00",-0.02002,"1.00e+00",0.02943,"1.00e+00"
"negative regulation of translation",7,0.0465,"9.14e-01",0.03591,"9.14e-01",-0.01059,"1.00e+00"
"T cell activation",2,0.04399,"3.64e-01",0.00109,"1.00e+00",-0.0429,"3.64e-01"
"response to endoplasmic reticulum stress",2,0.0447,"5.91e-01",-0.01857,"1.00e+00",0.02613,"5.91e-01"
"ribosome disassembly",4,0.04935,"1.00e+00",0.01297,"1.00e+00",-0.03639,"1.00e+00"
"DNA damage response",4,0.04927,"1.00e+00",-0.03023,"1.00e+00",0.01904,"1.00e+00"
"bile acid metabolic process",4,0.04906,"1.00e+00",0.0207,"1.00e+00",-0.02835,"1.00e+00"
"proton transmembrane transport",7,0.04857,"1.00e+00",0.02073,"1.00e+00",-0.02784,"1.00e+00"
"regulation of apoptotic process",3,0.04456,"7.83e-01",-0.02055,"1.00e+00",0.02401,"7.83e-01"
"purine ribonucleoside salvage",5,0.04769,"1.00e+00",0.02131,"1.00e+00",-0.02638,"1.00e+00"
"intermembrane lipid transfer",2,0.04755,"1.00e+00",0.01019,"1.00e+00",-0.03736,"1.00e+00"
"negative regulation of macrophage derived foam cell differentiation",2,0.04755,"1.00e+00",0.01019,"1.00e+00",-0.03736,"1.00e+00"
"phospholipid homeostasis",2,0.04755,"1.00e+00",0.01019,"1.00e+00",-0.03736,"1.00e+00"
"spinal cord development",2,0.04753,"1.00e+00",-0.02001,"1.00e+00",0.02752,"1.00e+00"
"bicarbonate transport",2,0.04742,"1.00e+00",0.00548,"1.00e+00",-0.04194,"1.00e+00"
"tetrahydrofolate biosynthetic process",4,0.04047,"1.92e-01",-0.00089,"1.00e+00",0.03958,"1.92e-01"
"response to glucocorticoid",5,0.04737,"1.00e+00",-0.02676,"1.00e+00",0.02061,"1.00e+00"
"regulation of pH",2,0.04735,"1.00e+00",0.03495,"1.00e+00",-0.0124,"1.00e+00"
"angiogenesis",3,0.04662,"1.00e+00",0.00753,"1.00e+00",-0.03909,"1.00e+00"
"UMP salvage",3,0.04642,"1.00e+00",0.02004,"1.00e+00",-0.02638,"1.00e+00"
"5-phosphoribose 1-diphosphate biosynthetic process",2,0.04623,"1.00e+00",-0.02816,"1.00e+00",0.01808,"1.00e+00"
"intestinal absorption",2,0.04599,"1.00e+00",0.00845,"1.00e+00",-0.03754,"1.00e+00"
"protein heterotetramerization",3,0.04591,"1.00e+00",0.02408,"1.00e+00",-0.02183,"1.00e+00"
"striatum development",2,0.04034,"5.70e-01",0.03852,"5.70e-01",-0.00182,"1.00e+00"
"L-glutamate transmembrane transport",2,0.04497,"1.00e+00",0.01671,"1.00e+00",-0.02826,"1.00e+00"
"negative regulation of low-density lipoprotein receptor activity",2,0.04495,"1.00e+00",-0.02192,"1.00e+00",0.02303,"1.00e+00"
"intracellular cholesterol transport",3,0.04489,"1.00e+00",0.01552,"1.00e+00",-0.02936,"1.00e+00"
