"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"Epithelium TarBase",19,0.01478,"1.00e+00",0.00714,"1.00e+00",-0.00764,"1.00e+00"
"One Carbon Metabolism",13,0.01418,"1.00e+00",-0.00361,"1.00e+00",0.01057,"1.00e+00"
"Oxidative phosphorylation",11,0.01331,"1.00e+00",0.01007,"1.00e+00",-0.00324,"1.00e+00"
"Selenium Pathway",13,0.01284,"1.00e+00",0.00591,"1.00e+00",-0.00692,"1.00e+00"
"Electron Transport Chain",15,0.01011,"1.00e+00",0.00778,"1.00e+00",-0.00233,"1.00e+00"
"Glycolysis and Gluconeogenesis",15,0.00956,"1.00e+00",0.00578,"1.00e+00",-0.00377,"1.00e+00"
"Mitochondrial LC-Fatty Acid Beta-Oxidation",6,0.00922,"1.00e+00",0.00685,"1.00e+00",-0.00237,"1.00e+00"
"metapathway biotransformation",13,0.00535,"1.00e+00",-0.00678,"1.00e+00",-0.01749,"1.00e+00"
"Folate Metabolism",14,0.00479,"1.00e+00",0.00354,"1.00e+00",-0.00125,"1.00e+00"
"Fatty Acid Omega Oxidation",3,0.00462,"1.00e+00",-0.01357,"1.00e+00",-0.02282,"1.00e+00"
"TCA Cycle",14,0.00458,"1.00e+00",-0.00137,"1.00e+00",-0.01052,"1.00e+00"
"Urea cycle and metabolism of amino groups",10,0.00403,"1.00e+00",0.00872,"1.00e+00",0.00066,"1.00e+00"
"Glycogen Metabolism",3,0.00381,"1.00e+00",-0.01025,"1.00e+00",-0.00263,"1.00e+00"
"Arylamine metabolism",2,0.0024,"1.00e+00",-0.03661,"1.00e+00",-0.04141,"1.00e+00"
"Estrogen metabolism",4,0.00088,"1.00e+00",-0.02161,"1.00e+00",-0.02337,"1.00e+00"
"Nucleotide Metabolism",11,0.00085,"1.00e+00",0.0047,"1.00e+00",0.00639,"1.00e+00"
"Fatty Acid Biosynthesis",9,0.00048,"1.00e+00",-0.0022,"1.00e+00",-0.00124,"1.00e+00"
"Methylation Pathways",3,0.00044,"1.00e+00",-0.01198,"1.00e+00",-0.01109,"1.00e+00"
"Integrated Breast Cancer Pathway",3,0.00035,"1.00e+00",0.00061,"1.00e+00",0.00132,"1.00e+00"
