GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0494_ATC_noDrug	Rv0494_DMSO_noDrug
pstS3	Rv0928	phosphate ABC transporter substrate-binding lipoprotein PstS	hypoxia_late:12%; human_sputum:11%	0.1795	0.130856256583096	184.41	278	286	210	22	229	102.17	90.74
pntAa	Rv0155	NAD(P) transhydrogenase subunit alpha PntAa	hypoxia_late:17%; tyloxopol:12%	0.1829	0.147751589772628	205.79	261	311	333	27	210	140.8	124.74
rpsJ	Rv0700	30S ribosomal protein S10	acidic:12%	0.1764	0.0734233677503264	183.76	281	299	291	21	146	2530.91	2255.76
Rv2348c	Rv2348c	hypothetical protein	human_sputum:16%; acidic:14%; ctl_exponential:11%	0.1723	0.0650872718487358	179.91	304	313	214	24	154	1065.01	951.95
mpt64	Rv1980c	immunogenic protein Mpt64	acidic_tyloxopol:12%; hypoxia_rar:12%	0.1724	0.0667483581925765	181.06	296	300	233	25	156	448.01	400.21
pks2	Rv3825c	phthioceranic/hydroxyphthioceranic acid synthase	nutrient_limitation:20%; PBS_RIF_DDmtb:15%; acidic:11%	0.1734	0.0814571171433767	182.58	289	301	224	30	163	400.51	357.57
gpsI	Rv2783c	bifunctional guanosine pentaphosphate synthetase/polyribonucleotide nucleotidyltransferase	high_iron:11%	0.1778	0.12600409265677	204.12	275	327	264	43	195	1026.02	913.43
rpsG	Rv0683	30S ribosomal protein S7	human_sputum:9%	0.1829	0.167429525102514	205.9	309	331	344	26	152	1496.53	1327.99
php	Rv0230c	phosphotriesterase	human_sputum:15%; hypoxia_late:10%	0.2811	0.186592698157793	274.05	30	47	29	3698	18	112.22	87.3
espG2	Rv3889c	ESX-2 secretion-associated protein EspG2	human_sputum:9%	0.1893	0.245918261669021	207.56	250	283	273	40	274	75.75	66.75
rpsM	Rv3460c	30S ribosomal protein S13	tyloxopol:8%	0.2604	0.143281769459323	282.92	36	42	28	3952	12	1084.06	858.45
fbpD	Rv3803c	MPT51/MPB51 antigen	ctl_exponential:9%	0.1783	0.146702139202675	205.77	310	325	308	29	173	365.45	325.24
sdaA	Rv0069c	L-serine dehydratase	PBS_RIF_DDmtb:9%	0.1793	0.189738984581515	204.58	265	284	286	35	242	71.02	62.96
tgs4	Rv3088	diacyglycerol O-acyltransferase	hypoxia_late:13%; nutrient_limitation:10%	0.2621	0.215298224266039	277.13	40	39	19	3867	17	70.47	55.5
secY	Rv0732	preprotein translocase SecY	tyloxopol:12%	0.1731	0.111049645428255	207.41	300	333	296	33	182	238.55	213.02
pntAb	Rv0156	NAD(P) transhydrogenase subunit alpha PntAb	tyloxopol:12%; ctl_exponential:12%	0.1997	0.338103618666907	222.93	276	294	352	42	245	253.95	222.37
htpG	Rv2299c	chaperone protein HtpG	tyloxopol:8%	0.1901	0.240938239539428	226.38	297	339	393	34	194	159.2	140.41
sodA	Rv3846	superoxide dismutase	acidic_tyloxopol:12%	0.2736	0.226210465260271	290.61	31	45	47	3785	21	231.97	181.63
cycA	Rv1704c	D-serine/alanine/glycine transporter protein CycA	tyloxopol:11%	0.1746	0.121765035962887	209.85	293	332	322	28	192	121.81	108.57
serB1	Rv0505c	phosphoserine phosphatase SerB	hypoxia_late:10%	0.1826	0.174059395519314	223.94	274	354	347	38	215	192.12	170.44
pks16	Rv1013	polyketide synthase	hypoxia_hypoxic:9%	0.3155	0.312181236071787	283.98	22	34	53	3295	82	428.33	325.87
sigF	Rv3286c	RNA polymerase sigma factor SigF	nutrient_limitation:14%; microaerophilic:10%	0.1761	0.160096519369574	207.95	290	308	267	37	228	179.75	160.14
espD	Rv3614c	ESX-1 secretion-associated protein EspD	acidic_tyloxopol:23%; acidic:22%	0.2493	0.154625985893647	299.82	41	43	36	4080	14	1127.3	898.72
Rv2409c	Rv2409c	hypothetical protein	hypoxia_late:9%	0.1794	0.224760995491905	211.4	282	306	248	44	257	116.17	103.25
Rv1531	Rv1531	hypothetical protein	human_sputum:10%	0.1869	0.317092528776932	218.49	260	276	265	51	315	90.78	80.14
pyrB	Rv1380	aspartate carbamoyltransferase	hypoxia_late:18%; zinc_limitation:10%	0.2727	0.321599888318521	287.31	38	35	24	3676	51	46.32	36.08
esxP	Rv2347c	ESAT-6 like protein EsxP	hypoxia_hypoxic:11%; hypoxia_rar:11%	0.1676	0.129451314515177	215.74	315	347	271	48	187	2136.76	1916.43
mymT	Rv0186A	metallothionein	hypoxia_fatty_acids:39%; microaerophilic:25%	0.1633	0.121980016600639	209.79	323	346	232	41	202	1433.11	1288.89
Rv3030	Rv3030	S-adenosylmethionine-dependent methyltransferase	tyloxopol:10%; hypoxia_late:10%	0.1815	0.229674852398054	236.71	280	366	357	45	239	165.95	147.33
Rv1638A	Rv1638A	hypothetical protein	acidic_tyloxopol:24%; butyrate:15%; butyrate_plus_glucose:11%	0.2714	0.324138961863298	301.79	35	46	45	3681	46	250.18	196.31
esxK	Rv1197	ESAT-6 like protein EsxK	hypoxia_hypoxic:11%; hypoxia_rar:11%	0.1665	0.13431363728027	222.39	320	353	274	57	190	2150.73	1930.48
frdB	Rv1553	fumarate reductase iron-sulfur subunit	hypoxia_late:32%; acidic:21%	0.2815	0.517400168197193	264.19	116	78	85	1061	395	5.89	4.28
Rv1592c	Rv1592c	hypothetical protein	ctl_stationary:13%	0.3131	0.398726630704856	302.62	21	36	71	3396	94	226.99	172.71
Rv3368c	Rv3368c	oxidoreductase	hypoxia_late:16%	0.1755	0.284683872808846	217.69	307	287	183	58	330	83.13	73.99
rplB	Rv0704	50S ribosomal protein L2	butyrate_plus_glucose:10%	0.1593	0.103254531102232	213.19	333	351	250	52	169	1976.89	1783.04
Rv3900c	Rv3900c	hypothetical protein	hypoxia_late:15%	0.1768	0.242282793744492	227.66	321	330	314	39	237	131.65	117.16
gca	Rv0112	GDP-mannose 4,6-dehydratase	hypoxia_rar:11%	0.1796	0.321767556733978	229.78	299	320	239	54	317	57.61	51.11
cysA2	Rv0815c	thiosulfate sulfurtransferase CysA	zinc_limitation:11%	0.2436	0.264433433486006	311.43	51	50	35	4064	19	203.53	162.77
Rv2091c	Rv2091c	membrane protein	human_sputum:8%	0.1683	0.148150071405917	232.38	316	363	318	55	200	560.01	501.94
Rv3228	Rv3228	hypothetical protein	nutrient_limitation:26%; PBS_RIF_DDmtb:25%	0.1592	0.128112024982436	217.95	339	355	249	46	196	306.42	276.32
Rv0759c	Rv0759c	hypothetical protein	acidic_tyloxopol:11%	0.1921	0.411067792776743	253.94	285	321	366	76	290	197.32	173.7
topA	Rv3646c	DNA topoisomerase I	high_iron:10%	0.1573	0.0944668104857338	217.7	348	376	256	49	162	224.42	202.63
Rv2716	Rv2716	hypothetical protein	human_sputum:9%	0.2472	0.293224944923246	316.8	53	60	34	3915	31	179.71	143.51
ephG	Rv2740	epoxide hydrolase	hypoxia_late:8%	0.1894	0.384511376364105	255.1	267	328	343	81	320	122.43	107.96
rpsL	Rv0682	30S ribosomal protein S12	ctl_stationary:11%; acidic:11%	0.1755	0.23700166601912	241.67	330	360	388	47	197	1950.67	1739.91
ilvB1	Rv3003c	acetolactate synthase large subunit IlvB	hypoxia_rar:10%	0.1624	0.143990159886274	229.29	325	362	260	71	199	307.36	276.54
Rv1132	Rv1132	hypothetical protein	PBS_RIF_DDmtb:13%	0.1742	0.181679506120744	244.19	303	373	349	64	217	401.57	358.42
esxH	Rv0288	ESAT-6-like protein EsxH	microaerophilic:21%; zinc_limitation:18%; cholesterol:11%	0.1612	0.128627855421748	229.75	337	384	295	53	179	3142.69	2831.12
Rv0493c	Rv0493c	hypothetical protein	hypoxia_late:24%	0.2816	0.412356352228341	312.93	44	44	61	2999	159	15.28	11.6
argJ	Rv1653	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase	hypoxia_late:21%; hypoxia_hypoxic:14%	0.2627	0.320133115728162	327.84	39	64	81	3756	36	83.84	65.97
narU	Rv0267	nitrite extrusion protein NarU	PBS_RIF_DDmtb:11%	0.1687	0.197894734026576	236.46	319	372	304	50	232	120.63	108.02
esxM	Rv1792	esat-6 like protein esxM	hypoxia_rar:10%	0.1616	0.14929365663619	233.01	332	370	263	70	204	1702.71	1533.56
rplQ	Rv3456c	50S ribosomal protein L17	high_iron:8%	0.1551	0.102513529240339	227.38	361	375	247	66	174	1446.94	1308.99
MT4041.2	MT4041.2	hypothetical protein	hypoxia_hypoxic:17%; hypoxia_rar:15%; human_sputum:14%	0.1937	0.4479876067809	260.38	318	344	396	65	267	390.39	343.41
cysA3	Rv3117	thiosulfate sulfurtransferase	zinc_limitation:11%	0.2386	0.289737930960072	326.76	58	53	43	4087	25	204.27	163.94
accD5	Rv3280	propionyl-CoA carboxylase subunit beta	tyloxopol:11%	0.1602	0.134923853365977	235.5	345	391	288	61	185	437.54	394.34
mntH	Rv0924c	divalent metal cation transporter MntH	hypoxia_late:16%	0.1774	0.365859163741029	242.23	301	310	258	69	342	38.13	33.84
bpoB	Rv1123c	peroxidase BpoB	hypoxia_late:9%	0.1582	0.167081049201661	226.41	346	348	231	56	234	184.72	166.6
MT0768.1	MT0768.1	hypothetical protein	hypoxia_late:20%; PBS_RIF_DDmtb:13%; ctl_stationary:11%	0.3529	0.704913101628702	265.41	135	32	69	1016	576	21.33	15.06
papA1	Rv3824c	acyltransferase PapA	acidic:17%; nutrient_limitation:14%; butyrate_plus_glucose:11%; PBS_RIF_DDmtb:11%	0.216	0.260217325622191	332.99	71	66	26	4212	22	140.02	114.12
Rv0879c	Rv0879c	transmembrane protein	hypoxia_rar:12%; hypoxia_late:11%	0.1905	0.481284314651814	258.69	312	307	363	78	301	223.84	197.14
yrbE4B	Rv3500c	integral membrane protein	hypoxia_late:15%	0.1987	0.471158838211435	271.84	279	338	401	95	309	69.61	60.89
Rv3120	Rv3120	hypothetical protein	INDIGO_exponential:9%	0.1592	0.207319758115593	231.5	344	343	230	62	255	215.45	194.16
fadE4	Rv0231	acyl-CoA dehydrogenase FadE4	hypoxia_late:10%	0.2437	0.386401219388042	334.08	52	61	52	3938	41	51.78	41.2
pepA	Rv0125	serine protease PepA	hypoxia_rar:9%	0.1581	0.151740412233954	241.92	349	385	298	60	209	300.36	271.09
infA	Rv3462c	translation initiation factor IF-1	human_sputum:13%	0.1685	0.25745630995819	254.41	359	364	371	63	211	2058.54	1844.59
Rv2410c	Rv2410c	hypothetical protein	zinc_limitation:8%	0.1756	0.342772976205608	258.39	340	378	348	59	261	113.11	100.78
MT3449.1	MT3449.1	hypothetical protein	hypoxia_late:48%; ctl_stationary:14%	0.395	0.790429059056258	242.85	228	12	6	934	694	13.32	8.78
katG	Rv1908c	catalase-peroxidase	zinc_limitation:35%	0.2143	0.220210836818282	344.66	70	69	44	4231	20	464.44	379.39
accD6	Rv2247	acetyl-/propionyl-CoA carboxylase subunit beta	acidic:12%; hypoxia_hypoxic:10%; low_iron:10%	0.2197	0.291046071082676	339.36	66	71	38	4173	23	2419.37	1971.7
nrdR	Rv2718c	transcriptional regulator NrdR	zinc_limitation:25%	0.1779	0.396630960836048	264.29	335	356	356	74	277	208.97	185.89
argD	Rv1655	acetylornithine aminotransferase	hypoxia_late:20%; hypoxia_hypoxic:14%	0.246	0.405368306617444	342.18	54	63	63	3834	54	57.44	45.7
Rv1957	Rv1957	SecB-like chaperone	hypoxia_fatty_acids:14%	0.2808	0.393308697384123	350.54	46	91	134	2979	124	44.82	34.7
PE_PGRS48	Rv2853	PE-PGRS family protein PE_PGRS48	hypoxia_late:29%	0.1739	0.315100641521079	270.59	313	406	374	72	275	55.28	49.25
trxC	Rv3914	thioredoxin TrxC	zinc_limitation:12%	0.3207	0.582195887497182	320.01	34	101	181	1723	346	108.98	82.48
purL	Rv0803	phosphoribosylformylglycinamidine synthase 2	zinc_limitation:10%	0.2131	0.250504760694438	350.24	73	80	40	4207	24	215.92	176.53
Rv3689	Rv3689	transmembrane protein	butyrate:8%	0.1557	0.159990228065185	245.01	364	395	255	73	219	255.81	231.24
MT2326	MT2326	hypothetical protein	hypoxia_late:11%	0.31	0.678289648074661	298.81	119	49	82	1402	485	44.68	33.39
Rv2560	Rv2560	hypothetical protein	tyloxopol:15%; hypoxia_late:14%	0.2452	0.433941712422789	344.28	57	59	59	3891	56	66.77	53.14
Rv3726	Rv3726	dehydrogenase	butyrate_plus_glucose:8%	0.1563	0.174630196653936	251.67	356	383	312	67	226	205.76	185.84
Rv0713	Rv0713	transmembrane protein	PBS_RIF_DDmtb:14%	0.2414	0.388525352778555	347.37	48	62	77	4068	34	145.5	116.27
rplM	Rv3443c	50S ribosomal protein L13	hypoxia_rar:13%; human_sputum:11%	0.2437	0.341494637888695	354.97	49	73	95	4024	30	689.33	551.16
Rv0654	Rv0654	carotenoid cleavage oxygenase	hypoxia_fatty_acids:50%	0.1661	0.352547959778708	258.01	326	357	277	79	318	48.49	43.42
esxJ	Rv1038c	ESAT-6 like protein EsxJ	hypoxia_rar:10%	0.158	0.202440632044077	258.82	351	389	317	83	227	1544.84	1394.81
MT3052.2	MT3052.2	ribosomal protein L28	acidic_tyloxopol:12%; acidic:12%; hypoxia_rar:12%	0.2416	0.457604252880171	345.91	55	52	56	4054	52	407.91	326.35
kstD	Rv3537	3-oxosteroid 1-dehydrogenase	hypoxia_fatty_acids:31%; human_sputum:11%	0.1783	0.473902016956514	268.83	317	324	334	84	351	27.96	24.72
rplF	Rv0719	50S ribosomal protein L6	high_iron:9%	0.1475	0.1291517536969	244.62	385	392	235	86	201	1402.91	1275.73
PPE51	Rv3136	PPE family protein PPE51	zinc_limitation:19%; hypoxia_rar:12%	0.23	0.322897051798479	364.01	63	83	83	4077	29	1160.05	938.17
esxW	Rv3620c	ESAT-6 like protein EsxW	hypoxia_rar:10%	0.1568	0.214798098955201	264.68	355	399	328	85	231	1468.71	1327.15
dcd	Rv0321	deoxycytidine triphosphate deaminase	human_sputum:9%	0.1819	0.537443924312184	273.34	324	312	338	94	358	83.35	73.75
csm3	Rv2821c	CRISPR type III-associated RAMP protein Csm3	human_sputum:11%	0.2392	0.464403050080853	352.4	61	68	50	3920	66	85.13	68.13
amiC	Rv2888c	amidase AmiC	PBS_RIF_DDmtb:9%	0.1533	0.191765067912182	263.86	365	394	321	88	224	364.35	329.91
secE2	Rv0379	protein translocase subunit SecE	tyloxopol:16%; acidic_tyloxopol:11%; butyrate_plus_glucose:10%	0.1845	0.524531968625721	298.13	329	379	469	102	288	559.27	495.13
tuf	Rv0685	elongation factor Tu	INDIGO_exponential:11%	0.221	0.362061040269454	366.43	65	82	67	4117	39	2556.86	2082.37
Rv1111c	Rv1111c	hypothetical protein	tyloxopol:11%	0.1506	0.190618505150866	260.02	377	397	294	77	236	218.48	198.11
Rv0926c	Rv0926c	hypothetical protein	hypoxia_late:12%	0.1627	0.427820021560477	267.51	334	340	257	97	368	52.72	47.3
leuU	Rvnt22	tRNA-Leu	hypoxia_late:34%	0.6032	0.903400884265664	234.72	328	5	5	626	841	5.65	2.35
Rv0088	Rv0088	polyketide cyclase/dehydrase	acidic:12%	0.2128	0.375954909623537	367.26	75	81	57	4219	32	332.76	272.06
Rv1431	Rv1431	hypothetical protein	hypoxia_late:16%	0.1619	0.404038307348988	281.13	341	377	326	91	337	37.37	33.52
Rv3750c	Rv3750c	excisionase	acidic_tyloxopol:16%; ctl_exponential:11%	0.152	0.295968258677321	262.88	376	382	237	92	294	283.91	257.23
Rv2054	Rv2054	hypothetical protein	human_sputum:10%	0.1689	0.428020706190729	298.13	370	433	431	89	259	261.15	233.87
bioB	Rv1589	biotin synthetase	zinc_limitation:13%	0.1565	0.282795029497272	290.44	360	438	403	90	248	217.96	196.84
Rv0250c	Rv0250c	hypothetical protein	hypoxia_fatty_acids:19%; ctl_exponential:11%	0.2128	0.461379303057737	358.07	77	70	33	4199	48	367.72	300.65
dacB1	Rv3330	penicillin-binding protein DacB	hypoxia_late:17%; tyloxopol:12%; high_iron:12%	0.1509	0.231929318570018	275.12	379	410	345	82	243	170.64	154.67
rpsP	Rv2909c	30S ribosomal protein S16	hypoxia_rar:11%; hypoxia_hypoxic:11%	0.2195	0.394030941827892	375.22	69	84	80	4163	35	471.78	383.86
Rv1624c	Rv1624c	membrane protein	acidic_tyloxopol:10%	0.1692	0.47375285261463	296.86	322	369	355	112	383	91.81	82.07
Rv1135A	Rv1135A	acetyl-CoA acetyltransferase	PBS_RIF_DDmtb:39%; hypoxia_late:27%; ctl_stationary:11%	0.3709	0.871519481747038	275.65	217	21	51	830	770	6.43	4.09
Rv3054c	Rv3054c	hypothetical protein	hypoxia_fatty_acids:43%; hypoxia_late:10%; ctl_stationary:10%	0.2615	0.561022968348657	367.75	83	54	60	2958	299	15.48	11.94
ftsX	Rv3101c	cell division protein FtsX	zinc_limitation:13%	0.1605	0.432168082687964	290.72	378	390	384	93	283	129.41	116.43
ffh	Rv2916c	signal recognition particle protein	zinc_limitation:9%	0.168	0.446374859758412	306.44	386	440	471	87	252	157.78	141.35
sigA	Rv2703	RNA polymerase sigma factor SigA	hypoxia_hypoxic:9%	0.1419	0.147820996333707	271.29	419	442	269	98	212	621.43	567.31
ppiB	Rv2582	peptidyl-prolyl cis-trans isomerase B	tyloxopol:11%	0.2464	0.454370917699672	386.71	56	95	126	3790	69	88.43	70.37
Rv0257	Rv0257	hypothetical protein	acidic_tyloxopol:9%	0.1705	0.499717122388232	303.47	347	387	418	109	321	234.78	209.93
cut2	Rv2301	cutinase	acidic_tyloxopol:10%	0.2232	0.501840522313327	372.95	68	76	58	4062	68	103.98	84.22
MT3223	MT3223	hypothetical protein	zinc_limitation:28%; butyrate_plus_glucose:12%; tyloxopol:11%	0.2381	0.55790181460906	369.42	62	57	73	3965	84	464.71	372.81
MT1040.1	MT1040.1	hypothetical protein	hypoxia_hypoxic:10%	0.2386	0.469499052952401	384.03	60	86	108	3931	62	308.8	247.8
rpoZ	Rv1390	DNA-directed RNA polymerase subunit omega	microaerophilic:10%	0.1498	0.28184441852424	291.85	383	426	378	101	247	1176.67	1068.49
Rv1363c	Rv1363c	membrane protein	hypoxia_late:16%; hypoxia_rar:11%; hypoxia_hypoxic:10%	0.1578	0.425308003236424	292.74	357	381	339	108	336	101.23	91.25
Rv2160c	Rv2160c	conserved hypothetical protein	microaerophilic:31%; cholesterol:13%	0.1456	0.270193777416245	279.55	403	424	279	99	265	607.14	552.85
ppk1	Rv2984	polyphosphate kinase	hypoxia_late:9%	0.147	0.25239992910972	291.53	397	450	354	96	244	132.74	120.65
espH	Rv3867	ESX-1 secretion-associated protein EspH	acidic_tyloxopol:8%	0.1642	0.481060847846798	302.82	372	403	420	113	273	447.47	402.19
relE	Rv1246c	toxin RelE	PBS_RIF_DDmtb:14%	0.1834	0.651507887900114	309.28	305	295	307	143	567	68.86	60.86
lprC	Rv1275	lipoprotein LprC	tyloxopol:9%	0.1627	0.474080023629894	315.59	384	444	480	100	264	350.26	315.02
Rv0854	Rv0854	hypothetical protein	human_sputum:14%; ctl_exponential:12%	0.1836	0.650089078788794	323.48	342	388	429	121	401	92.94	82.23
accD4	Rv3799c	propionyl-CoA carboxylase subunit beta AccD	acidic:12%	0.1734	0.620359945575927	304.81	422	371	416	115	268	1249.47	1115.23
