GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0827c_ATC_RIF	Rv0827c_ATC_noDrug
Rv1372	Rv1372	alpha-pyrone synthesis polyketide synthase-like protein	hypoxia_late:18%; human_sputum:12%; ctl_stationary:11%	0.3594	0.0745189603714309	34.83	25	47	62	32	17	17.13	12.46
Rv1288	Rv1288	hypothetical protein	acidic_tyloxopol:12%; hypoxia_late:12%	0.319	0.0309368763973251	32.37	31	58	50	33	6	35.01	26.67
eccC4	Rv3447c	ESX-4 secretion system protein EccC4	hypoxia_late:39%; ctl_stationary:15%; PBS_RIF_DDmtb:14%	0.4742	0.0935792735950418	74.99	17	101	152	13	174	9.8	6.34
PE25	Rv2431c	PE family protein PE25	acidic:10%	0.2892	0.00616685299099328	29.57	38	44	34	35	7	467.29	368.34
serT	Rvnt44	tRNA-Ser	zinc_limitation:34%; hypoxia_late:10%; hypoxia_hypoxic:10%	0.3699	0.120211567989261	52.73	24	68	105	49	35	243.84	181.34
Rv2957	Rv2957	PGL/p-HBAD biosynthesis glycosyltransferase	INDIGO_exponential:10%; hypoxia_late:10%	0.317	0.0421569976440638	43.66	33	81	88	37	8	54.05	41.38
pdxH	Rv2607	pyridoxine/pyridoxamine 5'-phosphate oxidase	hypoxia_late:24%; ctl_stationary:10%	0.3361	0.102651036088175	41.64	32	41	36	47	54	26.81	20.05
MT1121	MT1121	hypothetical protein	hypoxia_late:32%; hypoxia_hypoxic:11%	0.6029	0.290067059526492	60.86	53	11	12	42	341	14.91	8.29
esxU	Rv3445c	ESAT-6 like protein EsxU	hypoxia_late:23%; human_sputum:14%	0.3661	0.149906910773878	49.17	39	19	15	53	177	28.89	20.99
cyp135A1	Rv0327c	cytochrome P450 Cyp135A1	hypoxia_fatty_acids:39%; hypoxia_late:16%	0.3638	0.103140051853131	53.56	28	91	116	44	19	16.26	11.74
kstD	Rv3537	3-oxosteroid 1-dehydrogenase	hypoxia_fatty_acids:31%; human_sputum:11%	0.2926	0.0285945239682705	42.06	42	73	59	43	10	32.09	24.92
MT3041.1	MT3041.1	hypothetical protein	hypoxia_late:21%	0.3448	0.168064929650902	52.92	34	43	41	56	102	25.69	19
PE33	Rv3650	PE family protein PE33	hypoxia_late:41%	0.4127	0.241352935280674	64.05	35	38	42	54	199	25.56	17.78
Rv2664	Rv2664	hypothetical protein	ctl_stationary:15%; hypoxia_fatty_acids:14%	0.3431	0.150180948746438	58.24	48	22	16	76	191	38.18	28.43
MT0697	MT0697	hypothetical protein	PBS_RIF_DDmtb:22%; nutrient_limitation:10%	0.276	0.0307695146838267	51.75	50	92	71	55	12	244.05	193.83
bfrA	Rv1876	bacterioferritin BfrA	hypoxia_hypoxic:10%	0.2716	0.0355362910416822	44.84	54	61	45	58	16	108.89	86.53
Rv3638	Rv3638	transposase	hypoxia_late:30%; PBS_RIF_DDmtb:18%; ctl_stationary:15%	0.477	0.258174116107483	84.74	41	112	160	36	108	9.59	6.03
moaR1	Rv3124	transcriptional regulator MoaR	hypoxia_late:16%; human_sputum:15%; ctl_stationary:14%	0.4701	0.22873425299668	85.56	49	163	203	34	41	13.83	9.02
lat	Rv3290c	L-lysine-epsilon aminotransferase	hypoxia_fatty_acids:31%; cholesterol:16%; microaerophilic:14%; ctl_stationary:13%	0.2721	0.0223165046024637	51.77	51	90	79	51	11	68.5	54.33
lprP	Rv0962c	lipoprotein LprP	hypoxia_late:12%; microaerophilic:12%	0.2976	0.117344638678876	54.19	47	52	48	63	62	36.05	27.88
MT3437.1	MT3437.1	hypothetical protein	hypoxia_late:32%; ctl_stationary:11%	0.5144	0.292403503680518	88.79	43	82	107	40	220	8.91	5.28
MT3037	MT3037	hypothetical protein	hypoxia_late:31%; ctl_stationary:15%	0.356	0.205379960832101	70.71	36	77	76	62	114	30.43	22.35
Rv1403c	Rv1403c	methyltransferase	ctl_stationary:16%; hypoxia_late:13%	0.3026	0.126536745782228	57.77	44	63	53	57	74	26.5	20.36
MT3149.1	MT3149.1	hypothetical protein	hypoxia_late:25%; ctl_stationary:10%	0.6197	0.455361475994532	79.4	106	20	20	48	338	13.75	7.39
MT0973	MT0973	hypothetical protein	hypoxia_late:32%; ctl_stationary:14%	0.4779	0.352355888990754	81.87	61	24	22	68	384	12.15	7.62
Rv3064c	Rv3064c	integral membrane protein	hypoxia_late:12%	0.3371	0.202723218745673	63.29	46	33	26	70	190	24.63	18.29
esxQ	Rv3017c	ESAT-6 like protein EsxQ	hypoxia_late:21%	0.3668	0.2417791715305	75.11	37	51	73	74	168	28.72	20.8
Rv3090	Rv3090	hypothetical protein	hypoxia_late:22%; PBS_RIF_DDmtb:17%; ctl_stationary:10%	0.3976	0.263186335459431	84.44	79	132	139	45	50	14.97	10.48
MT0639	MT0639	hypothetical protein	hypoxia_late:10%	0.2927	0.148317279110672	62.07	56	45	29	81	117	55.07	42.77
ppsA	Rv2931	phthiocerol synthesis polyketide synthase type I PpsA	zinc_limitation:16%; hypoxia_rar:12%; human_sputum:10%	0.2487	0.00518112185360781	56.63	59	78	52	106	13	215.65	174.7
Rv2961	Rv2961	transposase	hypoxia_late:31%; ctl_stationary:14%	0.3402	0.238348258031342	77.48	45	60	63	77	165	29.71	22.06
Rv0396	Rv0396	hypothetical protein	hypoxia_late:29%; human_sputum:12%; ctl_stationary:10%	0.4248	0.304346094073131	91.66	40	65	87	64	261	15.67	10.59
Rv0963c	Rv0963c	hypothetical protein	hypoxia_late:25%; ctl_stationary:16%; PBS_RIF_DDmtb:14%	0.5406	0.309693001800606	116.46	91	236	265	31	52	10.12	6.02
moeY	Rv1355c	molybdopterin biosynthesis protein MoeY	hypoxia_late:15%; PBS_RIF_DDmtb:11%; ctl_stationary:10%	0.2883	0.109908369063883	75.52	52	130	151	69	18	18.83	14.52
Rv0979c	Rv0979c	hypothetical protein	tyloxopol:17%; acidic_tyloxopol:17%; butyrate_plus_glucose:14%; hypoxia_late:11%	0.6329	0.510756970073025	93.12	138	29	43	46	316	11.97	6.23
Rv2432c	Rv2432c	hypothetical protein	human_sputum:14%; acidic_tyloxopol:10%; ctl_stationary:10%	0.2804	0.158397838124321	69.96	64	49	30	98	131	44.67	35.01
Rv2520c	Rv2520c	membrane protein	hypoxia_late:10%	0.2729	0.133878506631106	69.1	60	72	58	82	75	133.83	106.24
Rv1505c	Rv1505c	hypothetical protein	INDIGO_exponential:14%; hypoxia_late:13%; ctl_stationary:10%	0.249	0.0728570716984374	67.7	70	71	46	130	38	65.99	53.17
Rv0776c	Rv0776c	hypothetical protein	hypoxia_late:22%	0.2866	0.163752346284231	81.66	55	104	109	80	67	33.28	25.95
Rv2085	Rv2085	hypothetical protein	hypoxia_late:17%	0.2738	0.172920701970044	71.67	63	55	51	91	106	76.6	60.65
MT2165.1	MT2165.1	hypothetical protein	human_sputum:32%; hypoxia_late:19%; hypoxia_hypoxic:11%	0.382	0.385503749943025	95.13	74	28	19	109	403	53.04	38.13
Rv1995	Rv1995	hypothetical protein	hypoxia_late:22%; ctl_stationary:13%; PBS_RIF_DDmtb:12%	0.3896	0.33671776123579	106.82	81	120	131	60	157	10.32	7.13
MT3174.2	MT3174.2	hypothetical protein	hypoxia_late:30%; PBS_RIF_DDmtb:18%; ctl_stationary:12%	0.4407	0.439314146199225	105.05	75	37	38	89	437	11.94	7.72
Rv3178	Rv3178	nitroreductase	hypoxia_late:31%; ctl_stationary:13%	0.4702	0.495447108733228	99.15	119	36	35	75	335	9.53	5.94
yrbE3B	Rv1965	integral membrane protein	hypoxia_late:27%; microaerophilic:14%; ctl_stationary:11%	0.3041	0.251930590677317	87.15	57	67	81	94	150	16.32	12.36
MT2405	MT2405	hypothetical protein	hypoxia_late:12%; ctl_stationary:12%	0.4349	0.474531232466055	100.35	105	17	10	110	487	19.91	13.24
papA5	Rv2939	phthiocerol/phthiodiolone dimycocerosyl transferase	human_sputum:12%	0.267	0.083908576477027	93.74	85	186	176	73	14	78.03	62.11
MT3449.2	MT3449.2	hypothetical protein	hypoxia_late:40%; ctl_stationary:12%	0.4028	0.46298680988409	97.25	113	8	8	125	477	38.78	27.13
Rv3767c	Rv3767c	S-adenosylmethionine-dependent methyltransferase	nutrient_limitation:14%; butyrate_plus_glucose:11%	0.2339	0.0188343870536657	80.81	84	94	66	179	21	124.54	101.73
MT1285	MT1285	hypothetical protein	tyloxopol:10%	0.2774	0.228498606347701	84.31	65	66	56	104	145	166.35	131.57
MT2480	MT2480	hypothetical protein	hypoxia_late:29%	0.3691	0.395060771916278	103.05	71	39	31	100	421	19.59	14
PPE50	Rv3135	PPE family protein PPE50	hypoxia_rar:16%; acidic:15%	0.2382	0.0386060562338111	85.06	77	105	101	150	23	395.75	323.41
PPE1	Rv0096	PPE family protein PPE1	hypoxia_late:49%; human_sputum:12%	0.435	0.331559403800154	140.43	76	268	298	59	85	6.25	3.99
MT0856.1	MT0856.1	hypothetical protein	hypoxia_late:16%; human_sputum:14%; ctl_stationary:12%	0.2773	0.220534113164927	90.71	62	96	99	103	97	42	32.97
pks17	Rv1663	polyketide synthase	hypoxia_late:24%; human_sputum:12%	0.2758	0.156646864505186	108.17	72	217	233	78	22	40.97	32.25
Rv2958c	Rv2958c	PGL/p-HBAD biosynthesis glycosyltransferase	hypoxia_late:17%; hypoxia_rar:11%	0.2342	0.0570323832822159	86.28	89	97	75	172	29	51.77	42.12
moaA1	Rv3109	cyclic pyranopterin monophosphate synthase	hypoxia_late:48%; ctl_stationary:13%	0.3315	0.312074888382067	118.21	68	162	187	86	109	12.67	9.31
hsdS.1	Rv2755c	Type I restriction/modification system specificity determinant hsdS_1	hypoxia_late:42%	0.2613	0.196132580249547	90.3	73	75	49	146	126	88.42	70.55
MT3220.1	MT3220.1	hypothetical protein	acidic_tyloxopol:18%; butyrate_plus_glucose:16%; tyloxopol:15%; hypoxia_late:11%	0.5438	0.644162356354443	119.6	179	9	24	79	601	5.36	2.66
canA	Rv1284	beta-carbonic anhydrase	acidic_tyloxopol:18%	0.285	0.244495582699391	104.78	109	154	140	85	53	59.98	46.99
MT0762.1	MT0762.1	hypothetical protein	hypoxia_late:48%; PBS_RIF_DDmtb:11%	0.616	0.679473679715967	128.33	196	27	32	61	575	8.45	4.29
Rv2300c	Rv2300c	metallo-hydrolase	hypoxia_late:15%	0.2419	0.119477508107079	98.5	83	118	114	160	40	55.32	44.74
Rv1073	Rv1073	hypothetical protein	PBS_RIF_DDmtb:16%; nutrient_limitation:10%	0.2181	0.00786482801276964	98.35	97	102	60	282	26	494.55	409.28
Rv0395	Rv0395	hypothetical protein	hypoxia_late:55%; ctl_stationary:11%	0.5552	0.635893478307693	132.5	216	110	111	39	243	7.55	4.14
PPE54	Rv3343c	PPE family protein PPE54	hypoxia_late:36%	0.2776	0.195589961678153	124.33	58	179	204	67	151	42.26	33.23
MT2417	MT2417	hypothetical protein	hypoxia_late:40%; ctl_stationary:15%	0.8977	0.728089659037439	136.13	283	21	94	41	434	9.45	2.98
csm3	Rv2821c	CRISPR type III-associated RAMP protein Csm3	human_sputum:11%	0.2645	0.19305864952484	118.79	135	218	190	87	25	88.3	70.39
Rv1120c	Rv1120c	hypothetical protein	hypoxia_late:23%	0.3311	0.412673616704983	125.49	69	84	86	107	358	14.78	10.84
vapC4	Rv0595c	ribonuclease VapC4	PBS_RIF_DDmtb:13%; hypoxia_late:13%; ctl_stationary:10%	0.5042	0.582379934874088	145.76	90	98	183	105	296	12.48	7.82
hddA	Rv0115	D-alpha-D-heptose-7-phosphate kinase HddA	hypoxia_late:17%	0.249	0.179981238402765	106.25	78	133	132	141	61	33.58	26.91
ppsC	Rv2933	phthiocerol synthesis polyketide synthase type I PpsC	zinc_limitation:16%; hypoxia_rar:12%; human_sputum:11%	0.2128	0.00539838040189835	105.04	101	107	61	315	28	209.67	174.07
MT3032	MT3032	hypothetical protein	INDIGO_exponential:14%; tyloxopol:11%	0.299	0.403842301742139	117.08	92	46	39	145	378	64.08	49.44
frdB	Rv1553	fumarate reductase iron-sulfur subunit	hypoxia_late:32%; acidic:21%	0.4691	0.56446116148923	151.26	164	168	219	50	192	6.99	4.28
mbtK	Rv1347c	lysine N-acetyltransferase MbtK	low_iron:23%; human_sputum:11%	0.2627	0.299448255346991	116.39	80	109	121	119	160	32	25.31
ilvB2	Rv3470c	acetolactate synthase large subunit	hypoxia_late:30%; ctl_stationary:12%	0.2703	0.267043970348661	127.78	103	202	224	101	51	21.58	16.91
plsB1	Rv1551	acyltransferase PlsB	hypoxia_late:28%; ctl_stationary:12%; human_sputum:10%	0.2742	0.249636979524744	134.93	88	226	245	99	65	18.3	14.26
Rv3430c	Rv3430c	transposase	hypoxia_late:10%	0.2168	0.0548769361601315	117.13	102	129	108	270	34	106.31	87.91
plcD	Rv1755c	phospholipase C 4 plcD	hypoxia_late:30%; PBS_RIF_DDmtb:11%	0.3849	0.554568520728316	152.29	180	199	214	65	132	11.03	7.65
lppF	Rv1921c	lipoprotein LppF	hypoxia_late:14%; acidic_tyloxopol:11%	0.2603	0.272717158532599	124.99	82	169	184	112	94	20.72	16.34
PE29	Rv3022A	PE family protein PE29	hypoxia_late:56%; microaerophilic:16%	0.5722	0.714467793151662	154.19	342	156	150	28	184	11.87	6.73
Rv2000	Rv2000	hypothetical protein	hypoxia_late:21%; ctl_stationary:11%	0.2943	0.354894983323507	141.35	137	239	227	96	55	18.94	14.54
Rv3902c	Rv3902c	hypothetical protein	hypoxia_late:17%; ctl_stationary:15%	0.2868	0.379726921344439	131.08	99	131	133	118	181	31.96	24.85
ahpD	Rv2429	alkyl hydroperoxide reductase AphD	zinc_limitation:16%	0.2056	0.0234711666685665	122.71	110	115	78	371	37	442.24	369.18
serX	Rvnt42	tRNA-Ser	hypoxia_late:32%; hypoxia_hypoxic:15%	0.463	0.689175396354966	152.46	198	80	67	97	428	36.13	24.04
Rv1056	Rv1056	hypothetical protein	hypoxia_late:8%	0.2357	0.198085335104239	124.25	93	128	126	215	79	54.9	44.58
papA4	Rv1528c	polyketide synthase associated protein PapA	hypoxia_late:27%; ctl_stationary:13%	0.3755	0.587379704194036	153.49	152	146	149	93	246	17.93	12.85
MT2361.1	MT2361.1	hypothetical protein	hypoxia_late:36%; ctl_stationary:15%; PBS_RIF_DDmtb:15%	0.4722	0.734289689657562	153.52	231	16	11	157	724	10.26	6.23
metU	Rvnt38	tRNA-Met	hypoxia_late:22%; butyrate:15%; hypoxia_hypoxic:13%	0.5863	0.774138775394503	152.73	310	4	4	170	737	13	6.96
Rv2562	Rv2562	conserved hypothetical protein	human_sputum:20%	0.283	0.405061201683408	140.29	87	114	124	135	271	33.24	25.84
Rv3454	Rv3454	conserved membrane protein	PBS_RIF_DDmtb:33%	0.2329	0.184576656022512	130.13	94	157	164	234	45	41.38	33.59
PPE51	Rv3136	PPE family protein PPE51	zinc_limitation:19%; hypoxia_rar:12%	0.204	0.0174356805548923	133.91	115	135	85	412	36	1098.29	917.83
Rv0213c	Rv0213c	methyltransferase	PBS_RIF_DDmtb:13%; nutrient_limitation:13%; ctl_stationary:12%	0.2268	0.183727499606149	128.81	100	134	123	236	76	34.09	27.78
PPE46	Rv3018c	PPE family protein PPE46	hypoxia_late:46%	0.2891	0.304277689838733	161.64	86	277	288	123	92	19.27	14.79
relE	Rv1246c	toxin RelE	PBS_RIF_DDmtb:14%	0.2435	0.300010857122376	130.07	95	89	68	216	222	72.91	58.82
Rv0812	Rv0812	amino acid aminotransferase	PBS_RIF_DDmtb:15%	0.2192	0.134394297641073	131.31	104	142	130	294	44	83.31	68.67
dipZ	Rv2874	integral membrane C-type cytochrome biogenesis protein DipZ	PBS_RIF_DDmtb:58%	0.3481	0.37585606570328	187.11	67	295	290	71	309	15	10.94
PPE5	Rv0304c	PPE family protein PPE5	hypoxia_late:29%; ctl_stationary:13%; human_sputum:13%	0.4915	0.454060983917322	225.27	140	458	342	22	347	13.01	8.38
higB	Rv1955	toxin HigB	hypoxia_fatty_acids:32%	0.3089	0.410749398719859	162.32	66	188	284	138	176	50.97	39.24
MT2510	MT2510	hypothetical protein	hypoxia_late:27%; ctl_stationary:16%; PBS_RIF_DDmtb:15%	0.7094	0.802811177544109	161.6	319	26	18	113	662	8.48	3.56
PPE47	Rv3021c	PPE family protein	hypoxia_late:49%	0.313	0.414903091671958	168.62	124	264	295	115	93	20.21	15.22
tatC	Rv2093c	Sec-independent protein translocase transmembrane protein TatC	butyrate:11%; butyrate_plus_glucose:10%	0.2064	0.0573262736348407	143.5	117	151	137	355	39	293.31	244.7
MT1556.1	MT1556.1	hypothetical protein	human_sputum:15%; ctl_stationary:13%; INDIGO_exponential:10%	0.3841	0.689526495322362	165.93	161	64	91	136	507	32.6	23.21
MT2424	MT2424	hypothetical protein	human_sputum:14%; ctl_exponential:12%	0.2409	0.342878801758448	139.9	112	83	55	251	262	165.5	134.34
Rv2040c	Rv2040c	sugar ABC transporter permease	hypoxia_late:13%	0.2395	0.285444747116942	150.5	98	185	185	189	110	37.17	29.99
vapB18	Rv2545	antitoxin VapB18	hypoxia_late:33%; PBS_RIF_DDmtb:16%	0.3548	0.613813571081	169.33	127	86	65	161	565	15.16	10.82
glbO	Rv2470	hemoglobin GlbO	INDIGO_exponential:9%	0.2122	0.157688290423949	147.38	120	145	136	342	57	190.06	157.82
MT2375	MT2375	hypothetical protein	INDIGO_exponential:10%	0.2913	0.521134045290819	161.61	107	87	93	196	410	75.18	58.3
Rv2653c	Rv2653c	toxin	hypoxia_late:49%; PBS_RIF_DDmtb:10%	0.6183	0.781295993557275	182.88	284	93	202	52	388	6.07	2.83
Rv1052	Rv1052	hypothetical protein	ctl_stationary:14%	0.2213	0.254337111939013	143.44	111	113	96	292	140	87.79	72.31
rbpA	Rv2050	RNA polymerase-binding protein RbpA	hypoxia_fatty_acids:14%	0.201	0.102422203044616	148.02	129	137	118	402	47	357.74	299.69
Rv1504c	Rv1504c	conserved hypothetical protein	hypoxia_late:16%	0.2354	0.280744467129619	156.96	108	197	179	210	107	59.07	48
Rv1948c	Rv1948c	hypothetical protein	hypoxia_late:15%	0.2518	0.398736304338005	158.16	96	124	135	224	236	54.83	43.83
MT1497.2	MT1497.2	hypothetical protein	ctl_stationary:16%; hypoxia_late:16%	0.3171	0.642148957244859	165.44	158	35	28	209	680	29.78	22.28
Rv1949c	Rv1949c	conserved hypothetical protein	hypoxia_late:26%; ctl_stationary:14%	0.3163	0.575848961656183	169.81	178	220	264	111	104	20.01	15.01
MT1571	MT1571	hypothetical protein	hypoxia_late:14%; ctl_stationary:14%	0.5829	0.826164853746298	167.5	393	54	77	66	426	10.38	5.59
Rv1105	Rv1105	para-nitrobenzyl esterase	hypoxia_late:15%; human_sputum:12%; PBS_RIF_DDmtb:10%	0.4005	0.676021070771509	204.36	206	243	262	88	255	12.35	8.43
PE22	Rv2107	PE family protein PE22	hypoxia_late:24%; hypoxia_hypoxic:16%; human_sputum:12%	0.3244	0.610709302130908	176.07	146	138	157	147	319	29.87	22.32
Rv3668c	Rv3668c	protease	zinc_limitation:11%	0.201	0.126775036333217	153.85	133	140	95	459	56	120.58	100.76
Rv3599c	Rv3599c	hypothetical short protein	PBS_RIF_DDmtb:12%	0.2868	0.572755995452936	167.46	130	85	44	219	513	75.37	58.62
msrA	Rv0137c	peptide methionine sulfoxide reductase MsrA	hypoxia_fatty_acids:9%	0.2145	0.212789767818169	158.84	118	160	153	335	78	106.5	88.14
MT1760	MT1760	hypothetical protein	hypoxia_late:13%	0.2484	0.440192031008735	160.57	116	95	89	256	303	122.43	98.7
Rv1517	Rv1517	hypothetical protein	human_sputum:16%; hypoxia_late:12%; microaerophilic:12%	0.3207	0.545999733156167	206.69	160	321	315	121	158	19.77	14.76
Rv1957	Rv1957	SecB-like chaperone	hypoxia_fatty_acids:14%	0.2643	0.468605543288014	167.6	139	175	200	158	169	38.22	30.24
fadD26	Rv2930	fatty-acid--CoA ligase FadD26	zinc_limitation:18%; hypoxia_rar:13%	0.191	0.0410698242124054	165.58	144	153	110	529	42	568.16	479.36
Rv3183	Rv3183	transcriptional regulator	hypoxia_late:30%; ctl_stationary:11%	0.3286	0.679162846024761	182.99	183	136	117	143	387	21.34	15.78
crgA	Rv0011c	cell division protein CrgA	INDIGO_exponential:10%	0.2798	0.566085980132039	171.63	323	270	206	95	49	130.27	102.74
Rv3304	Rv3304	hypothetical protein	tyloxopol:10%	0.2135	0.2379261339569	161.96	121	126	102	418	118	93.63	77.43
rpmB1	Rv0105c	50S ribosomal protein L28	hypoxia_late:44%; ctl_stationary:14%	0.6813	0.842484137680403	199.24	464	119	177	26	389	4.27	1.5
Rv2038c	Rv2038c	sugar ABC transporter ATP-binding protein	hypoxia_late:15%; ctl_stationary:12%; human_sputum:10%	0.2487	0.421409047308267	173.36	147	215	221	169	125	29.9	23.96
Rv0521	Rv0521	methyltransferase/methylase	hypoxia_late:25%; ctl_stationary:20%; PBS_RIF_DDmtb:11%	0.472	0.798439923959005	210.23	302	167	244	83	305	12.7	8
Rv2877c	Rv2877c	integral membrane protein	PBS_RIF_DDmtb:59%	0.1927	0.133853680284879	165.98	155	141	84	509	70	102.48	86.14
cyp143	Rv1785c	cytochrome P450 Cyp143	acidic_tyloxopol:8%	0.2007	0.165014136260817	170.07	136	161	141	435	66	69.92	58.34
Rv1371	Rv1371	membrane protein	hypoxia_late:50%; ctl_stationary:16%	0.7314	0.728332516677428	311.42	256	567	518	17	464	3.43	1.29
rpoC	Rv0668	DNA-directed RNA polymerase subunit beta'	PBS_RIF_DDmtb:21%; nutrient_limitation:19%	0.1902	0.0928306768157768	177.98	145	165	115	584	48	1373.66	1159.39
moaB1	Rv3110	pterin-4-alpha-carbinolamine dehydratase	hypoxia_late:34%; ctl_stationary:18%	0.3109	0.722799377772654	207.8	181	127	138	187	481	16.62	12.43
MT0827	MT0827	hypothetical protein	hypoxia_late:34%; PBS_RIF_DDmtb:18%; ctl_stationary:11%	0.5937	0.870142128122928	205.03	363	40	70	108	754	13.96	7.38
Rv0077c	Rv0077c	oxidoreductase	hypoxia_late:16%; PBS_RIF_DDmtb:13%; acidic_tyloxopol:12%; hypoxia_fatty_acids:11%	0.2277	0.376142872687108	185.24	125	181	171	289	178	30.8	25.05
Rv1922	Rv1922	lipoprotein	hypoxia_late:16%; ctl_stationary:12%	0.2142	0.295587723811593	181.79	123	158	148	422	122	37.76	31.04
MT2015.1	MT2015.1	hypothetical protein	hypoxia_late:20%; ctl_stationary:18%; hypoxia_fatty_acids:10%; PBS_RIF_DDmtb:10%	0.4736	0.83532484301867	219.79	350	182	172	84	386	7.76	4.77
Rv2041c	Rv2041c	sugar ABC transporter substrate-binding lipoprotein	hypoxia_late:13%	0.1982	0.229486792568037	177.57	153	144	90	476	120	36.67	30.56
