GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv1473A_ATC_RIF	Rv1473A_DMSO_RIF
mobA	Rv2453c	molybdenum cofactor guanylyltransferase	low_iron:12%	0.6225	1.2946253473609e-10	54.02	39	43	44	119	41	267.2	159.89
fxsA	Rv2053c	transmembrane protein FxsA	hypoxia_fatty_acids:18%	0.5983	1.29170357849574e-12	56.6	45	49	32	173	26	456.25	277.96
Rv2466c	Rv2466c	hypothetical protein	hypoxia_fatty_acids:20%; ctl_stationary:11%; zinc_limitation:10%; PBS_RIF_DDmtb:10%; microaerophilic:10%	0.6724	4.35559720539908e-07	42.79	37	35	37	37	73	83.09	47.6
MT2113	MT2113	hypothetical protein	hypoxia_fatty_acids:17%	0.5806	2.74316688387284e-12	64.58	52	52	36	204	30	433.87	267.58
pks16	Rv1013	polyketide synthase	hypoxia_hypoxic:9%	0.5705	5.17426472784598e-16	70.76	51	56	50	249	21	706.1	438.64
Rv0045c	Rv0045c	hydrolase	PBS_RIF_DDmtb:10%	0.6068	3.49841410397224e-09	62.59	43	46	46	162	45	162.99	98.25
Rv0760c	Rv0760c	hypothetical protein	tyloxopol:10%	0.6124	6.58408589567383e-09	64.26	42	42	48	174	49	329.52	197.93
Rv0196	Rv0196	HTH-type transcriptional regulator	hypoxia_late:19%; ctl_stationary:11%; human_sputum:10%; INDIGO_exponential:10%	0.7014	1.43518652049751e-05	51.19	36	40	67	31	94	67.63	37.81
ppa	Rv3628	inorganic pyrophosphatase	tyloxopol:12%	0.6312	2.03925125713167e-07	60.62	40	41	52	125	61	185.23	109.65
pstS1	Rv0934	phosphate ABC transporter substrate-binding lipoprotein PstS	tyloxopol:10%	0.57	6.56505823498492e-13	74.23	53	57	56	255	23	449.07	278.7
Rv1810	Rv1810	hypothetical protein	acidic:12%; acidic_tyloxopol:12%	0.5658	1.51613138563704e-12	73.03	57	61	39	242	31	713.46	444.94
Rv2560	Rv2560	hypothetical protein	tyloxopol:15%; hypoxia_late:14%	0.5891	7.83971381989738e-09	68.53	50	50	40	190	51	121.24	73.86
glyS	Rv2357c	glycine--tRNA ligase	hypoxia_late:14%	0.6013	2.20838642337409e-08	69.74	44	51	59	175	50	111.25	67.2
gmk	Rv1389	guanylate kinase	zinc_limitation:12%	0.5584	1.00195590722316e-13	82.42	56	63	61	298	24	1304.24	816.41
Rv1462	Rv1462	hypothetical protein	low_iron:27%; zinc_limitation:16%	0.5459	1.21712589993719e-13	86.02	67	72	58	292	25	380.61	240.58
hspR	Rv0353	heat shock protein transcriptional repressor HspR	hypoxia_fatty_acids:11%; microaerophilic:11%	0.5568	6.42936599442078e-11	83.65	62	62	45	282	42	590.4	370.05
Rv1514c	Rv1514c	glycosyltransferase	hypoxia_late:16%	0.6201	8.29061619155837e-06	74.49	46	48	65	144	88	74.6	44.18
vapB26	Rv0581	antitoxin VapB26	ctl_exponential:12%; ctl_stationary:11%	0.6064	3.08481801950801e-06	79.1	48	55	73	164	77	429.61	260.28
Rv3463	Rv3463	hypothetical protein	butyrate:17%; hypoxia_late:12%	0.613	1.57471804099819e-05	80.64	49	53	78	150	91	70	41.68
Rv2520c	Rv2520c	membrane protein	hypoxia_late:10%	0.6438	0.000130686982382807	76.03	58	39	54	116	135	126.99	74.05
mihF	Rv1388	integration host factor MihF	zinc_limitation:13%; hypoxia_rar:11%	0.5523	7.98704732871223e-11	94.39	60	66	72	332	36	1774.98	1115.87
adhB	Rv0761c	alcohol dehydrogenase B	ctl_exponential:11%	0.5459	4.80630437444973e-11	95.48	64	69	69	339	34	520.72	328.56
Rv1465	Rv1465	nitrogen fixation related protein	zinc_limitation:22%; low_iron:21%	0.5457	3.05314845721814e-10	87.16	69	70	38	291	46	381.89	241.3
Rv0988	Rv0988	hypothetical protein	hypoxia_late:13%; PBS_RIF_DDmtb:11%; human_sputum:10%	0.5908	1.14630446543986e-06	86.88	54	71	85	177	69	100.18	61.01
PPE35	Rv1918c	PPE family protein PPE35	hypoxia_late:20%	0.5333	3.32202292091988e-11	96.02	70	82	55	318	40	95.89	60.8
Rv0987	Rv0987	adhesion component ABC transporter permease	hypoxia_late:14%; PBS_RIF_DDmtb:13%; ctl_stationary:11%	0.5596	7.98946688116931e-08	90.89	63	79	71	221	57	60.83	37.72
MT2541	MT2541	hypothetical protein	hypoxia_fatty_acids:18%; ctl_stationary:10%	0.5739	5.36131567860453e-06	88.66	68	67	60	180	90	67.26	41.3
Rv1073	Rv1073	hypothetical protein	PBS_RIF_DDmtb:16%; nutrient_limitation:10%	0.5029	8.61070435002803e-13	112.26	85	92	64	410	35	502.66	327.78
Rv3575c	Rv3575c	LacI family transcriptional regulator	hypoxia_late:14%	0.5636	1.33307571197422e-06	97.75	61	60	68	288	75	91.25	56.38
Rv0990c	Rv0990c	hypothetical protein	ctl_stationary:22%; hypoxia_fatty_acids:18%	0.578	1.75984393461471e-05	99.51	65	59	70	247	101	82.46	50.37
Rv1466	Rv1466	hypothetical protein	low_iron:19%; zinc_limitation:18%	0.5306	1.21038825330968e-08	107.2	75	76	62	370	53	507.77	324.04
metB	Rv1079	cystathionine gamma-synthase	PBS_RIF_DDmtb:10%	0.5057	1.05587657310262e-11	116.7	82	90	75	423	39	472.51	307.13
Rv3528c	Rv3528c	hypothetical protein	hypoxia_late:12%; human_sputum:11%	0.5739	2.52848878226587e-05	104.65	66	64	79	262	99	86.24	52.87
Rv1812c	Rv1812c	dehydrogenase	microaerophilic:14%; PBS_RIF_DDmtb:12%; ctl_stationary:12%	0.5315	4.9683718105888e-08	111.67	71	83	83	345	58	174.57	111.2
Rv1515c	Rv1515c	hypothetical protein	hypoxia_late:16%	0.559	3.11125730113731e-05	101.29	74	65	47	254	118	47.8	29.4
korB	Rv2454c	2-oxoglutarate oxidoreductase subunit KorB	zinc_limitation:11%	0.5073	1.04508031154395e-10	120.1	80	88	82	435	43	537.22	348.58
ppiB	Rv2582	peptidyl-prolyl cis-trans isomerase B	tyloxopol:11%	0.5366	1.17582799931018e-06	114.52	72	81	77	352	72	130.28	82.4
relK	Rv3358	toxin RelK	hypoxia_late:32%; ctl_stationary:11%	0.7212	0.00334757488506609	84.97	87	24	35	79	291	35.78	18.97
ldtB	Rv2518c	L,D-transpeptidase LdtB	zinc_limitation:13%; hypoxia_rar:10%	0.5236	4.97083168641028e-08	116.97	77	86	81	382	56	187.11	119.79
sodA	Rv3846	superoxide dismutase	acidic_tyloxopol:12%	0.5264	9.7601852222072e-08	119	76	84	76	388	68	281.45	179.88
PEP0077	PEP0077	Small peptide in vicinity of Rv0581	ctl_stationary:12%; hypoxia_late:12%	0.5932	0.000511555684277794	109.69	73	54	66	223	180	271.74	165.19
Rv0452	Rv0452	transcriptional regulator	tyloxopol:14%; ctl_stationary:11%; hypoxia_late:11%; hypoxia_fatty_acids:10%	0.5424	4.5145631436204e-05	116.05	81	73	57	319	119	65.74	41.12
Rv0080	Rv0080	hypothetical protein	hypoxia_fatty_acids:19%	0.5832	0.000443651938946404	120.52	55	80	108	191	205	434.18	268.24
pfkB	Rv2029c	6-phosphofructokinase PfkB	cholesterol:21%; hypoxia_hypoxic:21%	0.538	7.7133935251026e-05	140.65	79	98	124	364	106	99.88	63.11
clgR	Rv2745c	transcriptional regulator ClgR	ctl_stationary:25%; hypoxia_fatty_acids:20%; microaerophilic:11%	0.4656	2.99732864083865e-08	151.84	92	107	84	607	62	822.9	550.42
vapB3	Rv0550c	antitoxin VapB3	ctl_stationary:25%; hypoxia_late:12%	0.5501	0.000417327846463335	123.89	89	68	51	302	181	106.14	66.31
Rv2698	Rv2698	transmembrane protein	PBS_RIF_DDmtb:12%; ctl_stationary:10%	0.5193	3.89990941298403e-05	142.55	83	87	100	452	100	183.41	117.5
PPE31	Rv1807	PPE family protein	acidic:25%; acidic_tyloxopol:12%; hypoxia_fatty_acids:11%	0.5258	0.000102671949458281	138.62	84	91	95	386	116	47.52	29.95
Rv3747	Rv3747	hypothetical protein	ctl_exponential:16%	0.4989	8.08044856783019e-06	149.53	86	95	96	544	81	440.58	286.93
lysS	Rv3598c	lysine--tRNA ligase	PBS_RIF_DDmtb:11%	0.4623	1.04279327015148e-06	149.77	99	108	74	559	74	103.83	69.28
TB15.3	Rv1636	iron-regulated universal stress protein	hypoxia_hypoxic:10%	0.4607	4.5307144474417e-08	160.9	94	105	90	679	63	716.25	480.71
Rv2624c	Rv2624c	universal stress protein	hypoxia_hypoxic:16%; hypoxia_fatty_acids:16%; cholesterol:14%; ctl_stationary:13%; microaerophilic:12%	0.651	0.00312795513193094	119.75	47	74	128	100	322	62.14	36.02
MT0610	MT0610	hypothetical protein	ctl_stationary:10%	0.4714	1.93775385125341e-06	151.34	91	106	92	546	76	308.92	205.75
Rv1516c	Rv1516c	sugar transferase	hypoxia_late:22%	0.4945	0.000150730663493731	144.65	93	94	63	453	134	48.02	31
iniC	Rv0343	iIsoniazid inductible protein IniC	hypoxia_rar:11%	0.4566	1.07913231866545e-07	169.62	97	112	99	705	67	222.68	149.62
ndh	Rv1854c	NADH dehydrogenase	zinc_limitation:12%	0.4446	6.54053660709298e-09	183.69	109	120	80	913	52	266.4	180.7
Rv0986	Rv0986	adhesion component ABC transporter ATP-binding protein	ctl_stationary:22%; PBS_RIF_DDmtb:16%; hypoxia_late:14%	0.565	0.000992616593456232	158.65	78	93	141	396	162	56.14	34.38
pntAa	Rv0155	NAD(P) transhydrogenase subunit alpha PntAa	hypoxia_late:17%; tyloxopol:12%	0.4531	7.45180758861717e-07	181.47	102	115	98	799	70	243.51	163.99
Rv2252	Rv2252	diacylglycerol kinase	PBS_RIF_DDmtb:15%; hypoxia_late:11%	0.5089	0.000452255511047484	155.1	90	96	94	426	160	42.2	26.88
carB	Rv1384	carbamoyl-phosphate synthase large subunit	hypoxia_late:13%; zinc_limitation:12%	0.4508	9.52643683509091e-08	189.57	100	114	97	959	54	106.35	71.42
PPE36	Rv2108	PPE family protein PPE36	human_sputum:18%; hypoxia_hypoxic:10%	0.4801	0.000636170149627592	174.42	105	103	86	555	164	58.71	38.38
Rv1498A	Rv1498A	hypothetical protein	zinc_limitation:12%; ctl_stationary:12%	0.5411	0.00251982099953257	167.03	96	77	93	461	223	116.6	72.98
carA	Rv1383	carbamoyl-phosphate synthase small subunit	hypoxia_late:14%; zinc_limitation:13%	0.4574	0.000123604618433966	193.78	104	110	102	808	108	88.53	59.07
csm3	Rv2821c	CRISPR type III-associated RAMP protein Csm3	human_sputum:11%	0.4791	0.000621908476219577	195.16	98	113	131	676	141	89.5	58.8
mpt83	Rv2873	cell surface lipoprotein	PBS_RIF_DDmtb:73%	0.488	0.00165488937896915	185.74	108	100	88	587	200	50.13	32.46
PPE38	Rv2352c	PPE family protein PPE38	hypoxia_late:30%	0.4606	0.000241298894171517	230.83	95	116	137	1122	105	135.33	90.18
Rv2694c	Rv2694c	hypothetical protein	hypoxia_fatty_acids:27%; ctl_stationary:18%	0.4479	0.000193478017575891	222.65	115	122	103	1040	109	288.02	194.63
serS	Rv3834c	serine--tRNA ligase	hypoxia_late:22%; ctl_stationary:11%; PBS_RIF_DDmtb:11%	0.473	0.000899054685058542	201.74	101	109	118	745	153	46.13	30.15
trxB2	Rv3913	thioredoxin reductase	zinc_limitation:12%	0.4542	0.000217674957329055	237.74	103	111	105	1297	103	114.55	76.62
Rv0849	Rv0849	MFS-type transporter	microaerophilic:57%	0.4838	0.00165729494425354	198.03	106	132	161	487	191	30.36	19.68
xylB	Rv0729	D-xylulose kinase XylB	hypoxia_late:33%	0.4585	0.00136055804673185	210.67	113	117	115	753	168	35.53	23.41
fbpC	Rv0129c	diacylglycerol acyltransferase/mycolyltransferase Ag85C	hypoxia_hypoxic:13%; tyloxopol:11%; hypoxia_rar:10%	0.4411	1.87332134772166e-06	344.45	107	121	89	3043	47	1398.47	951.67
Rv1049	Rv1049	transcriptional repressor	human_sputum:30%; hypoxia_late:23%	0.5127	0.00441658405500116	195.97	111	99	117	525	249	49.73	31.53
Rv2917	Rv2917	hypothetical protein	hypoxia_late:25%; PBS_RIF_DDmtb:11%	0.4549	0.00174783960332771	224.74	120	141	164	673	179	24.02	15.77
relJ	Rv3357	antitoxin RelJ	hypoxia_late:28%; ctl_stationary:13%	0.6037	0.0166178067169274	168.76	140	44	53	353	417	28.01	16.08
MT3037	MT3037	hypothetical protein	hypoxia_late:31%; ctl_stationary:15%	0.5468	0.00810027371401774	188.2	117	89	110	402	317	33.33	20.42
rip3	Rv2625c	zinc metalloprotease Rip3	cholesterol:20%; hypoxia_hypoxic:16%; microaerophilic:15%; ctl_stationary:12%	0.4695	0.00258874005151647	237.83	114	152	213	658	192	44.91	29.63
Rv3128c	Rv3128c	conserved hypothetical protein	ctl_stationary:18%; microaerophilic:16%; hypoxia_hypoxic:15%; cholesterol:10%	0.5987	0.0118023684417624	198.06	59	118	206	229	499	193.27	118.16
Rv2012	Rv2012	hypothetical protein	hypoxia_fatty_acids:30%; ctl_stationary:13%; hypoxia_late:11%	0.6009	0.0200595074524841	183.31	154	58	87	310	430	13.33	7.38
iniA	Rv0342	isoniazid inductible protein IniA	hypoxia_rar:22%	0.4353	0.000452858463429432	362.2	112	128	135	2832	71	246.53	168.24
esxT	Rv3444c	ESAT-6 like protein EsxT	hypoxia_late:22%	0.5677	0.0232995561952727	229.86	157	102	151	409	427	26.05	15.44
MT3615.4	MT3615.4	hypothetical protein	hypoxia_fatty_acids:39%	0.554	0.0223638506511974	240.41	130	85	134	639	402	51.89	31.57
Rv1057	Rv1057	hypothetical protein	nutrient_limitation:32%; hypoxia_rar:15%	0.4323	0.00298376315017711	355.97	121	129	122	2584	102	112.88	77
Rv0572c	Rv0572c	hypothetical protein	ctl_stationary:17%; hypoxia_hypoxic:13%; hypoxia_late:11%	0.4951	0.014225859437717	248.22	128	101	127	772	337	49.95	32.01
ctpF	Rv1997	cation transporter ATPase F	ctl_stationary:21%; hypoxia_hypoxic:12%; cholesterol:11%	0.4116	0.00399907824640238	322.58	141	192	238	1257	174	30.58	20.93
TB16.3	Rv2185c	hypothetical protein	acidic:15%	0.4445	0.00467606861067618	357.26	110	119	112	2775	97	381.2	257.95
MT0598	MT0598	hypothetical protein	hypoxia_hypoxic:23%; ctl_stationary:12%	0.5394	0.0266602487768404	243.29	159	78	101	631	457	76.53	47.31
Rv1461	Rv1461	hypothetical protein	low_iron:20%; zinc_limitation:15%; nutrient_limitation:12%	0.4013	0.000242807237140715	408.11	131	140	116	3469	65	396.6	277.29
Rv3354	Rv3354	hypothetical protein	butyrate:22%	0.4661	0.0183835289677858	294.95	124	127	170	1079	309	64.15	42.18
TB31.7	Rv2623	universal stress protein	cholesterol:22%; microaerophilic:17%; ctl_stationary:15%; hypoxia_hypoxic:13%	0.5157	0.0253074648995559	285.18	88	150	251	565	538	313.99	203.62
PE20	Rv1806	PE family protein PE20	hypoxia_hypoxic:30%; acidic:14%; hypoxia_rar:10%	0.6815	0.0692021781301133	248.89	239	75	156	347	559	12.93	6.45
vapB28	Rv0608	antitoxin VapB28	INDIGO_exponential:10%	0.4293	0.00452962360301422	376.47	119	126	104	3113	79	948.19	650.03
korA	Rv2455c	2-oxoglutarate oxidoreductase subunit KorA	zinc_limitation:12%	0.3774	1.02812774118701e-05	427.36	145	156	109	3718	55	542.82	385.92
MT1777	MT1777	hypothetical protein	nutrient_limitation:49%; ctl_stationary:23%; PBS_RIF_DDmtb:10%	0.6177	0.0694021442622257	272.47	222	97	173	430	571	18.66	10.25
hrp1	Rv2626c	hypoxic response protein	cholesterol:32%; hypoxia_hypoxic:22%	0.4269	0.0138322370434347	328.3	153	185	249	1035	278	80.35	54.93
Rv0034	Rv0034	hypothetical protein	hypoxia_late:25%; ctl_stationary:11%	0.5017	0.0347501060778171	274.04	200	104	111	667	487	20.94	13.02
Rv2961	Rv2961	transposase	hypoxia_late:31%; ctl_stationary:14%	0.4791	0.0287060181865795	291.08	163	124	166	795	413	31.48	20.21
dprE2	Rv3791	decaprenylphosphoryl-D-2-keto erythropentose reductase	tyloxopol:10%	0.4294	0.00868088168605784	377.77	118	123	106	3110	84	259.92	177.65
rpsB	Rv2890c	30S ribosomal protein S2	hypoxia_rar:10%; hypoxia_hypoxic:10%	0.2841	0.000515655760499617	344.5	501	565	538	38	299	762.47	624.67
ppsD	Rv2934	phthiocerol synthesis polyketide synthase type I PpsD	zinc_limitation:13%; hypoxia_rar:10%; microaerophilic:10%	0.2768	0.000142224924520143	339.32	525	573	515	35	277	354.57	292.04
Rv0079	Rv0079	hypothetical protein	hypoxia_fatty_acids:18%; cholesterol:10%	0.4338	0.0299845685378343	334.06	116	151	204	1334	307	854.98	586.6
lsr2	Rv3597c	iron-regulated H-NS-like protein	hypoxia_hypoxic:17%	0.2738	5.9566713203425e-05	333.81	535	561	503	34	265	1900.98	1569.05
rpsM	Rv3460c	30S ribosomal protein S13	tyloxopol:8%	0.2814	0.000866851086717483	352.5	508	558	545	42	320	1352.12	1110.28
Rv1248c	Rv1248c	multifunctional 2-oxoglutarate dehydrogenase E1 component /2-oxoglutarate dehydrogenase	human_sputum:7%	0.2666	5.74057332476603e-06	326.83	556	596	452	33	237	314.97	261.18
PPE56	Rv3350c	PPE family protein PPE56	hypoxia_late:25%; microaerophilic:16%	0.2683	4.67112553304983e-05	329.28	548	594	465	29	256	37.42	30.82
MTS1635	MTS1635	small intergenic RNA	human_sputum:13%	0.4412	0.0290596078658889	369.26	126	130	140	2261	198	136.66	92.38
gcvH	Rv1826	glycine cleavage system protein H	acidic_tyloxopol:10%	0.2765	0.000895594731802023	338.98	540	543	404	36	377	454.85	374.64
fas	Rv2524c	fatty acid synthase	microaerophilic:16%; acidic:14%	0.4072	0.00907700361975809	417.53	123	137	130	3471	82	1056.3	734.89
smc	Rv2922c	chromosome partition protein Smc	hypoxia_late:18%	0.2702	0.000214552773597295	352.98	546	589	517	39	300	116.96	96.56
clpB	Rv0384c	chaperone protein ClpB	hypoxia_fatty_acids:43%	0.2763	0.000976116103058183	363.43	523	578	539	40	356	120.76	99.22
fdxA	Rv2007c	ferredoxin	hypoxia_hypoxic:16%; ctl_stationary:15%	0.4259	0.0505379108180622	367.87	132	184	253	1160	436	704.17	486.1
Rv1566c	Rv1566c	hypothetical protein	tyloxopol:18%	0.2735	0.000835030330557361	372.96	527	585	580	51	331	818.53	675.12
vapB17	Rv2526	antitoxin VapB17	hypoxia_late:23%; human_sputum:13%; ctl_stationary:11%	0.4362	0.0460440066049569	391.17	122	125	132	2810	148	339.19	230.71
ilvC	Rv3001c	ketol-acid reductoisomerase	acidic:9%	0.261	8.22636352534527e-05	355.95	572	606	504	43	282	604.54	503.44
MT3449.2	MT3449.2	hypothetical protein	hypoxia_late:40%; ctl_stationary:12%	0.6254	0.192458748342136	299.6	394	47	91	584	683	28.62	15.65
Rv1591	Rv1591	transmembrane protein	ctl_exponential:8%	0.411	0.0281775224788614	407.66	127	133	120	3283	98	296.03	205
pyrF	Rv1385	orotidine 5'-phosphate decarboxylase	hypoxia_late:20%	0.2766	0.0029274124854181	371.09	532	553	484	48	433	173.24	142.29
Rv1460	Rv1460	transcriptional regulator	low_iron:35%; hypoxia_fatty_acids:14%	0.2791	0.00329381415020045	378.64	526	554	531	52	423	193.96	159.16
lpqH	Rv3763	lipoprotein LpqH	acidic:14%; ctl_exponential:10%	0.286	0.00421485480790708	390.64	484	579	610	65	400	792.01	647.57
Rv0457c	Rv0457c	peptidase	hypoxia_late:18%; human_sputum:11%; ctl_stationary:10%	0.416	0.0486256515936755	391.9	129	135	114	2894	133	37.41	25.49
embC	Rv3793	arabinosyltransferase C	hypoxia_late:13%	0.2649	0.0005890256521937	377.14	554	613	564	49	326	152.29	126.23
pknG	Rv0410c	serine/threonine-protein kinase PknG	microaerophilic:10%	0.254	4.84283060471881e-05	357.75	599	617	474	46	279	269.4	225.37
Rv1194c	Rv1194c	hypothetical protein	low_iron:10%	0.2564	0.000201505862974248	365.22	595	611	461	53	313	303.26	253.24
Rv0203	Rv0203	hypothetical protein	hypoxia_late:11%; hypoxia_rar:11%; ctl_exponential:11%	0.271	0.00231730529306885	379.09	552	577	496	50	420	402.93	332.68
acs	Rv3667	acetyl-CoAsynthetase	hypoxia_late:8%	0.2715	0.00275232626493148	379.2	551	575	506	44	432	69.96	57.63
Rv2030c	Rv2030c	hypothetical protein	cholesterol:39%; hypoxia_hypoxic:14%	0.4247	0.0738108051775388	393.43	134	199	280	1191	495	280.45	193.43
apa	Rv1860	hypothetical protein	hypoxia_late:10%	0.4136	0.0568020208095494	413.39	125	136	142	3130	120	129.36	89.09
pntB	Rv0157	NAD(P) transhydrogenase subunit beta PntB	tyloxopol:10%	0.3425	0.000939511394599865	480.92	172	187	148	3827	78	525.94	383.16
Rv1251c	Rv1251c	hypothetical protein	hypoxia_late:19%	0.2614	0.000916443237824076	383.55	571	616	540	45	371	80.16	66.59
pdxH	Rv2607	pyridoxine/pyridoxamine 5'-phosphate oxidase	hypoxia_late:24%; ctl_stationary:10%	0.4212	0.100864435052516	374.54	190	154	189	1311	425	21.34	14.21
rpoB	Rv0667	DNA-directed RNA polymerase subunit beta	PBS_RIF_DDmtb:20%; nutrient_limitation:18%	0.2585	0.000638254066221236	389.86	580	628	553	47	369	2090.93	1745.23
