GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0494_ATC_RIF	Rv0494_DMSO_RIF
Rv1158c	Rv1158c	hypothetical protein	tyloxopol:14%; hypoxia_late:11%; hypoxia_hypoxic:11%; butyrate_plus_glucose:10%	0.2446	0.274038660874442	129.05	94	151	195	51	188	429.65	361.63
Rv3228	Rv3228	hypothetical protein	nutrient_limitation:26%; PBS_RIF_DDmtb:25%	0.1959	0.0731832389512328	108.53	128	167	153	56	64	262.43	228.67
csm5	Rv2819c	CRISPR type III-associated RAMP protein Csm5	hypoxia_late:17%	0.2082	0.178256537563304	110.3	123	156	121	54	112	44.57	38.41
PPE57	Rv3425	PPE family protein PPE57	nutrient_limitation:19%; hypoxia_rar:13%; human_sputum:11%	0.1941	0.108460506288097	100.9	133	138	104	60	81	162.07	141.18
Rv2632c	Rv2632c	hypothetical protein	acidic:32%; acidic_tyloxopol:12%	0.2039	0.184907398044694	115.09	117	144	156	72	97	249.44	215.94
cas1	Rv2817c	CRISPR-associated endonuclease Cas1	tyloxopol:22%; ctl_exponential:14%; INDIGO_exponential:14%	0.1946	0.0939468895955903	115.21	140	162	189	57	61	450.54	392.84
Rv3415c	Rv3415c	hypothetical protein	hypoxia_late:39%; ctl_stationary:11%	0.2305	0.355657496287835	127.69	115	122	99	95	226	20.14	16.93
Rv2970A	Rv2970A	hypothetical protein	human_sputum:17%	0.2137	0.261584067467308	125.7	116	148	147	84	140	250.79	215.06
Rv2481c	Rv2481c	hypothetical protein	hypoxia_late:12%; acidic_tyloxopol:10%	0.4432	0.225156388368068	215.01	5	8	8	3743	18	35.83	23.51
MT1414.1	MT1414.1	hypothetical protein	acidic:26%; ctl_exponential:10%	0.2254	0.345659099185356	134.61	112	140	140	104	184	179.71	152.56
Rv3695	Rv3695	membrane protein	hypoxia_late:10%	0.1937	0.172342403524177	118.43	132	165	141	76	90	96.63	84.08
vapB45	Rv3181c	antitoxin VapB45	hypoxia_late:24%; ctl_stationary:11%	0.2822	0.586695914833573	143.2	114	98	154	113	263	21.64	17.43
Rv3716c	Rv3716c	hypothetical protein	zinc_limitation:10%	0.1802	0.0646610620269782	111.79	152	163	126	64	73	479.1	421.9
MT2668	MT2668	hypothetical protein	nutrient_limitation:37%; butyrate_plus_glucose:18%	0.2016	0.269493835956928	123.86	134	146	119	78	150	283.64	246.28
Rv0430	Rv0430	hypothetical protein	ctl_exponential:19%	0.2064	0.267551440425306	136.99	129	171	257	83	80	413.71	357.4
rbsK	Rv2436	ribokinase RbsK	hypoxia_late:24%	0.1968	0.245879991195168	128.4	155	184	171	67	88	84.2	73.29
Rv0925c	Rv0925c	hypothetical protein	human_sputum:10%	0.2144	0.335046689301981	151.65	122	174	292	103	102	135.19	115.99
Rv2864c	Rv2864c	penicillin-binding lipoprotein	hypoxia_late:18%	0.1914	0.170970658200477	137.72	138	214	221	75	77	87.89	76.59
Rv2927c	Rv2927c	hypothetical protein	cholesterol:11%; tyloxopol:10%	0.1761	0.063340636184032	126.94	166	193	160	74	69	628.54	555.1
Rv0839	Rv0839	hypothetical protein	low_iron:13%	0.1894	0.1983601140291	130.71	149	191	179	65	94	106.28	92.99
kdpD	Rv1028c	sensor protein KdpD	hypoxia_late:15%	0.1788	0.120006981835778	119.77	162	175	130	69	82	43.9	38.55
pks2	Rv3825c	phthioceranic/hydroxyphthioceranic acid synthase	nutrient_limitation:20%; PBS_RIF_DDmtb:15%; acidic:11%	0.1726	0.0345993131371395	123.4	176	192	138	71	68	428.61	379.65
MT2417	MT2417	hypothetical protein	hypoxia_late:40%; ctl_stationary:15%	0.5075	0.713322462238252	167.12	111	11	18	799	334	12.59	7.11
nrdR	Rv2718c	transcriptional regulator NrdR	zinc_limitation:25%	0.1999	0.321119227855184	142.93	154	188	230	82	89	213.92	185.44
Rv1534	Rv1534	transcriptional regulator	nutrient_limitation:15%; hypoxia_fatty_acids:14%	0.2008	0.324326298855443	143.82	130	166	187	92	154	62.24	53.86
Rv0272c	Rv0272c	hypothetical protein	microaerophilic:10%	0.1793	0.180881656532989	133.67	157	182	177	80	91	99.57	87.61
Rv0088	Rv0088	polyketide cyclase/dehydrase	acidic:12%	0.2785	0.0876963939016565	251.21	12	16	9	4460	4	333.31	250.5
Rv2908c	Rv2908c	hypothetical protein	acidic:13%; ctl_exponential:10%	0.1812	0.220404938516306	140.24	153	185	176	90	110	421.82	370.88
lipQ	Rv2485c	carboxylesterase LipQ	hypoxia_late:16%; butyrate:12%	0.305	0.225647249241691	242.2	8	15	5	4441	5	60.36	44.37
Rv1907c	Rv1907c	hypothetical protein	zinc_limitation:26%; PBS_RIF_DDmtb:14%	0.1984	0.351450139721491	157.82	159	212	245	94	106	134.13	116.47
Rv0621	Rv0621	membrane protein	hypoxia_late:26%	0.3656	0.336679132082342	234.55	7	9	6	4360	6	26.73	18.54
Rv2342	Rv2342	hypothetical protein	INDIGO_exponential:10%	0.1787	0.222071317487748	133.59	168	164	129	85	131	314.71	277.36
MT0868	MT0868	hypothetical protein	hypoxia_late:20%; microaerophilic:13%	0.4136	0.345324316313813	241.1	15	6	4	3775	62	61.15	41.13
kgtP	Rv3476c	dicarboxylic acid transport membrane protein kgtP	hypoxia_late:14%	0.2024	0.458748638010068	158.32	160	186	204	88	168	26.35	22.72
lipM	Rv2284	esterase LipM	hypoxia_late:13%	0.1903	0.272186133211009	160.82	145	228	240	101	115	70.19	61.12
MT1025.2	MT1025.2	hypothetical protein	cholesterol:16%; zinc_limitation:12%	0.187	0.289281815036943	149.94	174	195	228	87	93	506.4	443.46
MT0943	MT0943	hypothetical protein	ctl_stationary:17%; hypoxia_late:17%	0.2473	0.656475069343324	167.52	131	82	69	218	447	29.42	24.35
narS	Rv0845	sensor histidine kinase NarS	hypoxia_late:13%	0.1911	0.326430501970435	159.7	158	216	215	79	153	37.9	33.05
Rv2227	Rv2227	hypothetical protein	tyloxopol:11%	0.1811	0.274010870961019	144.21	163	176	134	108	145	98.99	86.86
betP	Rv0917	glycine betaine transport integral membrane protein BetP	hypoxia_late:20%; ctl_stationary:12%	0.1912	0.292156969831938	165.44	147	235	255	96	123	39.69	34.53
fadE4	Rv0231	acyl-CoA dehydrogenase FadE4	hypoxia_late:10%	0.2124	0.512422457111178	167.18	216	210	251	86	107	44	37.64
MT2554.2	MT2554.2	hypothetical protein	hypoxia_late:12%; acidic_tyloxopol:10%	0.3992	0.37450715422439	250.67	11	10	11	4082	30	33.02	22.38
vapB10	Rv1398c	antitoxin VapB10	nutrient_limitation:21%; cholesterol:15%	0.1734	0.16073655229658	165.2	180	249	269	99	76	4132.25	3658.88
Rv1987	Rv1987	chitinase	tyloxopol:16%; INDIGO_exponential:11%	0.1749	0.224935183825691	163.08	177	244	207	102	109	337.1	297.39
Rv3047c	Rv3047c	hypothetical protein	PBS_RIF_DDmtb:13%; low_iron:10%; ctl_stationary:10%	0.2029	0.527283315078633	174.38	137	160	181	134	277	83.79	72.25
dxs2	Rv3379c	1-deoxy-D-xylulose 5-phosphate synthase	hypoxia_late:32%; ctl_stationary:12%; PBS_RIF_DDmtb:11%	0.2526	0.707684760545247	191.61	172	198	278	133	191	11.11	9.1
MT3037	MT3037	hypothetical protein	hypoxia_late:31%; ctl_stationary:15%	0.2211	0.639618520374383	186.68	136	131	144	186	383	28.45	24.12
mce3D	Rv1969	Mce family protein Mce3D	hypoxia_late:35%; ctl_stationary:13%	0.2193	0.62619598875676	189.45	142	150	137	173	392	7.35	6.12
vapC14	Rv1953	ribonuclease VapC14	acidic_tyloxopol:11%	0.3468	0.468909808457346	260.01	9	12	10	4369	24	52.5	37.27
Rv3698	Rv3698	hypothetical protein	hypoxia_late:26%	0.1875	0.439642164376358	173.94	161	211	182	114	212	21.93	19.06
Rv2288	Rv2288	hypothetical protein	acidic:12%	0.1949	0.498330953207624	182.08	179	221	273	111	148	167.59	145.81
MT2115	MT2115	hypothetical protein	zinc_limitation:34%; human_sputum:15%	0.2289	0.667470189335485	195.28	141	181	270	135	272	151.5	128.75
adhD	Rv3086	alcohol dehydrogenase D	nutrient_limitation:15%	0.1674	0.207692040027378	166.97	203	259	223	89	98	188.99	168.03
MT1070	MT1070	hypothetical protein	ctl_stationary:14%; PBS_RIF_DDmtb:12%; hypoxia_late:11%	0.4091	0.488556008381749	267.27	59	5	3	2999	235	22.91	14.96
Rv0713	Rv0713	transmembrane protein	PBS_RIF_DDmtb:14%	0.163	0.221551823345851	160.13	204	230	157	105	122	141.05	125.53
whiB2	Rv3260c	transcriptional regulator WhiB2	tyloxopol:12%; low_iron:10%	0.1599	0.160575837074678	162.03	214	240	183	97	103	948.19	846.81
Rv2990c	Rv2990c	hypothetical protein	microaerophilic:16%; human_sputum:12%; high_iron:10%	0.1802	0.38661075889763	175.04	241	239	271	91	84	232.64	204.98
recB	Rv0630c	exonuclease V subunit beta RecB	hypoxia_late:43%	0.1632	0.226133875528003	162.01	195	236	180	98	121	35.99	31.94
Rv1855c	Rv1855c	oxidoreductase	zinc_limitation:8%	0.1603	0.169936805185122	162.08	213	241	193	93	100	244.15	218.04
mpr11	Rvnc0015	fragment of putative small regulatory RNA	hypoxia_late:18%; ctl_exponential:12%	0.4702	0.723667170357481	232.02	45	25	59	2012	142	41.21	26.01
MT0740.1	MT0740.1	hypothetical protein	hypoxia_late:15%; ctl_stationary:15%; ctl_exponential:10%	0.2221	0.708525122168964	189.85	183	142	132	158	376	89.52	76.52
spoU	Rv3366	tRNA/rRNA methylase SpoU	human_sputum:25%; hypoxia_late:15%	0.2114	0.666496790121497	188.45	171	155	170	174	285	38.98	33.24
Rv1262c	Rv1262c	hypothetical protein	tyloxopol:10%	0.256	0.733173205460546	208.69	169	200	310	160	220	49.62	40.93
Rv3386	Rv3386	transposase	hypoxia_late:41%	0.2078	0.654271702376594	189.24	178	179	208	127	268	28.23	24.16
Rv0580c	Rv0580c	hypothetical protein	cholesterol:22%	0.1812	0.495780349205334	184.53	187	217	225	124	179	125.12	109.7
PE_PGRS42	Rv2487c	PE-PGRS family protein PE_PGRS42	hypoxia_late:60%	0.1937	0.54613932834037	198.74	190	263	285	120	160	25.63	22.17
MT2455	MT2455	hypothetical protein	hypoxia_rar:14%	0.2065	0.643142315301692	201.5	148	161	198	189	335	80.34	69.04
Rv1904	Rv1904	hypothetical protein	acidic_tyloxopol:15%; acidic:11%	0.1629	0.259435556659509	172.06	208	238	202	107	125	303.13	270.31
plcD	Rv1755c	phospholipase C 4 plcD	hypoxia_late:30%; PBS_RIF_DDmtb:11%	0.3356	0.474007137552216	279.02	14	22	19	4282	28	15.79	11.08
Rv0426c	Rv0426c	transmembrane protein	acidic:10%	0.1571	0.208027533347482	173.58	221	253	201	106	113	481.56	431.08
lipX	Rv1169c	lipase LipX	nutrient_limitation:20%; hypoxia_fatty_acids:16%; PBS_RIF_DDmtb:13%	0.2469	0.762229788601878	207.53	150	126	184	224	401	29.87	24.79
Rv1958c	Rv1958c	hypothetical protein	hypoxia_fatty_acids:14%	0.182	0.527866954081539	190.2	170	194	194	154	245	54.67	47.88
cmr	Rv1675c	HTH-type transcriptional regulator Cmr	hypoxia_late:27%; human_sputum:13%; ctl_stationary:13%	0.2421	0.766349148137578	207.18	165	133	133	240	423	10	8.17
Rv3395c	Rv3395c	hypothetical protein	zinc_limitation:34%; hypoxia_late:18%	0.1719	0.439519272493108	179.2	201	220	159	112	217	79.16	70.08
PPE14	Rv0915c	PPE family protein PPE14	hypoxia_late:33%; microaerophilic:28%	0.281	0.555676090409361	270.23	16	18	14	4436	13	25.22	18.66
Rv0500A	Rv0500A	DNA-binding protein	acidic:14%; INDIGO_exponential:12%; ctl_exponential:10%	0.1613	0.260889781195342	184.3	207	261	260	109	116	848.6	757.56
Rv1888c	Rv1888c	transmembrane protein	INDIGO_exponential:8%	0.1891	0.546287323633192	206.3	194	274	272	143	166	139.58	121.82
apa	Rv1860	hypothetical protein	hypoxia_late:10%	0.1804	0.50120389614609	199.34	205	252	286	121	156	85.4	74.92
fadE35	Rv3797	acyl-CoA dehydrogenase FadE35	hypoxia_late:17%; butyrate_plus_glucose:15%	0.1652	0.415627839696872	181.77	212	231	149	117	214	28.14	24.92
desA3	Rv3229c	stearoyl-CoA 9-desaturase	nutrient_limitation:25%; PBS_RIF_DDmtb:11%	0.2356	0.233973218684152	287.77	17	39	25	4463	7	1349.95	1049.69
frdB	Rv1553	fumarate reductase iron-sulfur subunit	hypoxia_late:32%; acidic:21%	0.3231	0.491506254863163	291.19	46	17	16	3360	155	5.29	3.51
cspA	Rv3648c	cold shock protein A	ctl_exponential:12%	0.1494	0.158468387160084	186.3	242	296	231	110	96	6378.41	5741.63
Rv1638A	Rv1638A	hypothetical protein	acidic_tyloxopol:24%; butyrate:15%; butyrate_plus_glucose:11%	0.1705	0.464316717315005	193.71	188	224	205	144	213	226.12	199.95
Rv2668	Rv2668	hypothetical protein	hypoxia_late:20%; butyrate:11%	0.1937	0.668107577151668	206.07	197	203	226	156	255	52.15	45.29
MT1170	MT1170	hypothetical protein	PBS_RIF_DDmtb:29%; hypoxia_late:20%	0.2394	0.768437860749502	218.65	181	173	222	172	373	23.11	19.3
Rv1957	Rv1957	SecB-like chaperone	hypoxia_fatty_acids:14%	0.3224	0.500752402060336	296.81	13	27	48	4394	17	45.69	32.98
Rv1861	Rv1861	transmembrane protein	acidic:13%	0.1743	0.553166203943228	199.13	193	206	185	153	267	115.57	102.04
MT3449.1	MT3449.1	hypothetical protein	hypoxia_late:48%; ctl_stationary:14%	0.5173	0.844788465354488	239.83	139	53	87	1061	271	16.39	9.31
mymA	Rv3083	FAD-containing monooxygenase MymA	nutrient_limitation:15%	0.217	0.230398294939511	290	22	35	22	4469	9	187.86	147.61
lppQ	Rv2341	lipoprotein LppQ	hypoxia_late:25%; ctl_stationary:14%; PBS_RIF_DDmtb:11%	0.3562	0.551006789372975	301.25	32	14	17	3832	129	11.71	7.89
Rv1125	Rv1125	hypothetical protein	hypoxia_late:20%	0.2248	0.424280998024876	281.19	18	33	15	4465	10	76.59	59.7
Rv0926c	Rv0926c	hypothetical protein	hypoxia_late:12%	0.1856	0.590491359563521	214.82	186	246	322	147	193	50.96	44.46
Rv2717c	Rv2717c	hypothetical protein	PBS_RIF_DDmtb:14%	0.1738	0.57617579168654	201.92	199	213	197	132	283	65.31	57.67
dcd	Rv0321	deoxycytidine triphosphate deaminase	human_sputum:9%	0.18	0.605914250722555	208.81	209	225	261	141	218	80.18	70.32
MT3139.1	MT3139.1	hypothetical protein	human_sputum:8%	0.1525	0.297140450987167	197.61	232	288	253	126	120	855.82	768.61
MT3436	MT3436	hypothetical protein	hypoxia_late:16%	0.1894	0.672160434969227	210.74	196	143	105	238	439	142.87	124.68
esxF	Rv3905c	ESAT-6 like protein EsxF	hypoxia_late:24%; human_sputum:16%; ctl_stationary:12%	0.2063	0.748062480582519	215.33	231	215	229	116	310	55.07	47.58
Rv0801	Rv0801	hypothetical protein	ctl_exponential:10%	0.1931	0.644217306718672	224.26	175	223	330	180	229	114.73	99.79
Rv2622	Rv2622	methyltransferase	hypoxia_late:22%; ctl_stationary:14%; low_iron:13%; butyrate:11%	0.2125	0.731457118573174	230.65	184	234	301	168	281	24.62	21.01
MT3952	MT3952	hypothetical protein	hypoxia_late:22%; ctl_stationary:14%; PBS_RIF_DDmtb:11%	0.2526	0.838086308245256	229.5	182	93	113	341	553	52.64	43.63
Rv2489c	Rv2489c	hypothetical protein	hypoxia_late:18%; ctl_stationary:14%	0.3738	0.571214590255565	317.14	35	30	41	3429	161	14.01	9.34
fadD11.1	Rv1549	fatty-acid-CoA ligase fadD11_1	hypoxia_late:12%	0.1726	0.560331749339935	211.6	192	229	218	166	259	73.23	64.67
MT2418	MT2418	hypothetical protein	hypoxia_late:15%; ctl_stationary:13%	0.3968	0.55363666212848	320.35	36	55	82	3298	92	23.03	15.44
Rv0493c	Rv0493c	hypothetical protein	hypoxia_late:24%	0.2634	0.600073361025067	296.27	20	24	13	4416	44	16.14	12
Rv3750c	Rv3750c	excisionase	acidic_tyloxopol:16%; ctl_exponential:11%	0.1529	0.420948641219714	203.58	234	264	192	140	199	248.4	222.59
whiB5	Rv0022c	transcriptional regulator WhiB5	hypoxia_late:32%; ctl_stationary:18%; PBS_RIF_DDmtb:16%	0.3448	0.584890114140695	317.18	51	21	29	3438	177	9.07	6.09
rpsM	Rv3460c	30S ribosomal protein S13	tyloxopol:8%	0.1534	0.310954893724058	213.06	239	331	288	123	127	931.84	835.66
Rv1139c	Rv1139c	hypothetical protein	PBS_RIF_DDmtb:15%; acidic:15%	0.1753	0.566457406707235	227.42	191	260	265	177	252	81.59	71.74
