GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0494_ATC_RIF	Rv0494_ATC_noDrug
cydC	Rv1620c	cytochrome biosyntheisis ABC transporter ATP-binding protein/permease CydC	hypoxia_late:25%	0.387	4.99804199605832e-06	14.69	17	22	14	13	9	132.68	97.96
Rv0836c	Rv0836c	hypothetical protein	hypoxia_late:23%; ctl_stationary:14%; hypoxia_fatty_acids:14%	0.5175	0.00290264384890368	16.17	11	12	7	17	43	28.89	18.93
furA	Rv1909c	ferric uptake regulation protein FurA	zinc_limitation:14%; human_sputum:13%; hypoxia_fatty_acids:11%	0.4396	0.00126379392957218	16.48	13	17	9	16	31	90.82	64.3
cydD	Rv1621c	cytochrome biosyntheisis ABC transporter ATP-binding protein/permease CydD	hypoxia_late:15%	0.3621	6.24049280853242e-06	17.79	21	27	17	15	11	205.74	154.8
MT0697	MT0697	hypothetical protein	PBS_RIF_DDmtb:22%; nutrient_limitation:10%	0.3892	0.000470711217871953	22.25	16	31	35	19	14	452.87	334.95
ppsC	Rv2933	phthiocerol synthesis polyketide synthase type I PpsC	zinc_limitation:16%; hypoxia_rar:12%; human_sputum:11%	0.3433	3.92230969272306e-06	22.41	23	37	29	18	10	355.11	271.18
Rv2877c	Rv2877c	integral membrane protein	PBS_RIF_DDmtb:59%	0.384	0.000559680477617633	25.3	20	35	38	20	17	162.16	120.16
ppsA	Rv2931	phthiocerol synthesis polyketide synthase type I PpsA	zinc_limitation:16%; hypoxia_rar:12%; human_sputum:10%	0.326	1.79860368065411e-06	26	30	40	28	23	13	341.69	263.97
Rv2372c	Rv2372c	rRNA small subunit methyltransferase E	PBS_RIF_DDmtb:11%; microaerophilic:10%	0.3456	0.000184716683206095	25.59	24	39	31	21	16	326.58	248.71
ilvB2	Rv3470c	acetolactate synthase large subunit	hypoxia_late:30%; ctl_stationary:12%	0.3769	0.00263381172142222	26.26	22	26	24	22	39	25.25	18.49
Rv2699c	Rv2699c	hypothetical protein	ctl_stationary:15%; hypoxia_fatty_acids:14%	0.413	0.00562604712174166	30.71	18	28	41	28	42	143.9	103.77
Rv2693c	Rv2693c	integral membrane protein	ctl_stationary:18%; PBS_RIF_DDmtb:16%	0.3323	0.000474279902554971	26.81	29	38	18	24	27	168.29	129.11
Rv1057	Rv1057	hypothetical protein	nutrient_limitation:32%; hypoxia_rar:15%	0.3407	0.000758924704067082	27.78	26	36	21	27	30	80.23	61.01
Rv1842c	Rv1842c	hypothetical protein	zinc_limitation:8%	0.3253	0.000113939146104379	31.25	32	45	39	26	18	323.6	250.22
Rv0669c	Rv0669c	neutral ceramidase	PBS_RIF_DDmtb:43%	0.3274	0.00016216671555534	31.95	31	44	42	25	21	203.82	157.27
MT2330.1	MT2330.1	hypothetical protein	hypoxia_late:16%; hypoxia_hypoxic:10%; ctl_stationary:10%	0.5803	0.0272780113638825	33.49	19	9	19	29	140	37.08	22.65
ppsB	Rv2932	phthiocerol synthesis polyketide synthase type I PpsB	zinc_limitation:12%; human_sputum:12%; hypoxia_rar:12%	0.3083	0.000129840873165872	35.7	36	50	47	30	20	194.1	151.67
prpC	Rv1131	methylcitrate synthase PrpC	human_sputum:22%; hypoxia_fatty_acids:16%; PBS_RIF_DDmtb:15%; acidic_tyloxopol:14%; nutrient_limitation:11%	0.3631	0.00949725376214062	35.12	27	34	26	31	63	22.91	16.9
fadD26	Rv2930	fatty-acid--CoA ligase FadD26	zinc_limitation:18%; hypoxia_rar:13%	0.2793	1.80436642998242e-05	40.79	52	62	40	38	19	738.39	589.57
cydB	Rv1622c	cytochrome D ubiquinol oxidase subunit II CydB	hypoxia_fatty_acids:10%	0.2953	0.000796564150691851	38.67	44	55	36	32	29	158.61	124.96
Rv1816	Rv1816	HTH-type transcriptional regulator	human_sputum:10%	0.2872	0.000412557115818695	41.35	47	60	44	35	25	444.13	352.6
MTS2255	MTS2255	small intergenic RNA	human_sputum:17%; hypoxia_rar:12%; zinc_limitation:12%	0.3054	0.0012734322115317	43.02	39	59	60	34	28	752.92	590.38
Rv2966c	Rv2966c	methyltransferase	hypoxia_late:18%; human_sputum:11%	0.3048	0.00274109596233553	42.73	42	54	45	33	41	190.59	149.29
Rv2269c	Rv2269c	hypothetical protein	hypoxia_late:22%; ctl_stationary:10%	0.4813	0.0398728547125735	45.54	28	18	25	41	164	23.19	15.29
Rv0045c	Rv0045c	hydrolase	PBS_RIF_DDmtb:10%	0.315	0.00370734469563153	44.12	34	58	59	36	37	128.27	99.35
Rv1647	Rv1647	adenylate cyclase	PBS_RIF_DDmtb:18%	0.3238	0.00758062159466491	43.74	35	48	50	37	50	65.12	50.15
helY	Rv2092c	ATP-dependent DNA helicase HelY	cholesterol:9%	0.2753	0.000227429138738205	48.12	57	67	55	44	24	335.36	268.47
Rv0628c	Rv0628c	hypothetical protein	hypoxia_fatty_acids:11%; hypoxia_late:11%; ctl_stationary:10%	0.2809	0.00128608723847714	46.68	53	63	43	43	34	155.21	123.53
Rv2037c	Rv2037c	transmembrane protein	hypoxia_fatty_acids:14%; hypoxia_late:11%	0.309	0.00753275618783913	48.76	40	56	56	42	51	70.88	55.16
Rv0603	Rv0603	hypothetical protein	hypoxia_late:70%	0.5399	0.0879945281004842	56.22	56	10	15	55	242	12.43	7.45
Rv2090	Rv2090	5'-3' exonuclease	hypoxia_late:10%	0.2842	0.00129223327206901	49.12	51	65	63	39	32	182.92	145.4
mce2C	Rv0591	Mce family protein Mce2C	hypoxia_late:27%; PBS_RIF_DDmtb:15%; microaerophilic:13%	0.3286	0.0198489248874516	52.44	37	51	57	40	83	19.84	14.97
ctpV	Rv0969	copper-exporting ATPase	microaerophilic:68%; hypoxia_fatty_acids:11%	0.2771	0.00198031489948487	55.82	54	74	75	49	33	188.84	150.8
MT3033	MT3033	hypothetical protein	hypoxia_late:23%	0.4881	0.0597365328337777	64.15	25	52	74	46	155	43.86	29.41
PE_PGRS40	Rv2371	PE-PGRS family protein PE_PGRS40	hypoxia_late:24%; PBS_RIF_DDmtb:10%	0.3698	0.0473446160864867	56.38	41	33	33	53	153	77.34	57.07
PE_PGRS36	Rv2098c	PE-PGRS family protein	hypoxia_late:52%	0.3353	0.0280292884733192	60.43	38	66	73	45	87	23.17	17.41
MT2710	MT2710	hypothetical protein	hypoxia_late:15%; acidic_tyloxopol:12%; ctl_stationary:11%	0.4825	0.0927261120885354	62.8	45	19	27	57	250	21.57	14.08
mce3D	Rv1969	Mce family protein Mce3D	hypoxia_late:35%; ctl_stationary:13%	0.359	0.0568060376040055	62.27	49	41	37	47	172	7.35	5.19
mgtC	Rv1811	Mg2+ transport P-type ATPase MgtC	PBS_RIF_DDmtb:12%	0.2779	0.00732481458583864	62.53	60	79	78	50	49	190.39	152.05
drrC	Rv2938	daunorubicin ABC transporter permease DrrC	INDIGO_exponential:14%	0.2621	0.00226459023697039	58.57	69	73	54	52	47	236.03	190.46
Rv2961	Rv2961	transposase	hypoxia_late:31%; ctl_stationary:14%	0.3704	0.074122186661976	65.89	46	32	34	56	220	28.1	20.48
murF	Rv2157c	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	microaerophilic:46%	0.2614	0.00202395820884039	62.33	66	84	68	58	40	196.65	158.62
ahpC	Rv2428	alkyl hydroperoxide reductase subunit AhpC	zinc_limitation:27%; hypoxia_rar:10%; hypoxia_hypoxic:10%	0.3285	0.0288697812489497	71.96	33	88	129	67	60	126.23	96.56
PPE61	Rv3532	PPE family protein PPE61	hypoxia_late:29%	0.322	0.0460433017618273	65.89	50	53	51	48	148	13.23	9.92
Rv2660c	Rv2660c	hypothetical protein	hypoxia_fatty_acids:26%; ctl_stationary:11%; acidic_tyloxopol:10%	0.3206	0.048112162297639	64.86	58	42	32	60	163	80.11	61.49
ppsE	Rv2935	phthiocerol synthesis polyketide synthase type I PpsE	hypoxia_rar:10%	0.2479	0.000368758214909611	69.74	81	94	76	71	35	449.41	366.78
Rv0813c	Rv0813c	hypothetical protein	low_iron:10%	0.2572	0.00214238626707723	68.14	73	82	69	75	45	356.21	288.27
Rv0530	Rv0530	hypothetical protein	zinc_limitation:12%	0.2494	0.000530312988615972	68.98	80	86	62	89	36	491.04	399.79
Rv2698	Rv2698	transmembrane protein	PBS_RIF_DDmtb:12%; ctl_stationary:10%	0.2872	0.0227281865841691	68.72	55	78	87	65	61	141.38	111.62
Rv1841c	Rv1841c	hypothetical protein	zinc_limitation:8%	0.2777	0.00946836297689342	73.05	63	101	114	51	48	295.58	236.42
Rv0375c	Rv0375c	carbon monoxyde dehydrogenase medium subunit	hypoxia_late:52%; ctl_stationary:13%	0.4064	0.104053405120128	83.07	43	61	93	54	202	9.32	6.38
blaR	Rv1845c	sensor-transducer protein BlaR	hypoxia_fatty_acids:8%	0.2442	0.000837378328564747	71.79	84	91	53	95	44	425.47	347.8
Rv0421c	Rv0421c	hypothetical protein	low_iron:17%	0.2571	0.00885057640997824	71.76	78	89	81	61	53	209.61	169.76
MT3037	MT3037	hypothetical protein	hypoxia_late:31%; ctl_stationary:15%	0.3625	0.0988091841548477	78.25	48	47	70	63	200	28.45	20.94
Rv2306B	Rv2306B	conserved membrane protein	hypoxia_late:18%	0.2974	0.0463441139359404	72.45	61	64	65	68	109	66.8	52.13
Rv2042c	Rv2042c	hypothetical protein	hypoxia_late:9%	0.2632	0.0183366376420821	72.41	74	83	77	62	67	89.69	72.19
Rv0530A	Rv0530A	hypothetical protein	acidic_tyloxopol:9%	0.2775	0.0237495601364561	75.4	62	87	89	76	65	513.3	408.53
guaB1	Rv1843c	inosine-5'-monophosphate dehydrogenase	acidic:7%	0.2407	0.000487548895815816	77.73	92	99	71	99	38	529.57	434.11
Rv1748	Rv1748	hypothetical protein	hypoxia_late:10%	0.2692	0.0266093436291243	73.39	75	71	64	64	95	58.89	47.03
Rv2182c	Rv2182c	1-acylglycerol-3-phosphate O-acyltransferase	acidic:12%	0.2424	0.00188134827389387	78.05	87	93	66	106	46	441.29	360.97
Rv2489c	Rv2489c	hypothetical protein	hypoxia_late:18%; ctl_stationary:14%	0.4859	0.171436479139523	86.45	68	29	49	69	308	14.01	8.9
fdhD	Rv2899c	formate dehydrogenase accessory protein FdhD	microaerophilic:9%	0.2712	0.0212321510562924	84.32	71	115	130	59	59	113.65	91.09
MT0772.2	MT0772.2	hypothetical protein	hypoxia_late:55%	0.3997	0.179853129875529	85.33	76	21	30	80	341	25.92	18.24
trxB1	Rv1471	thioredoxin	hypoxia_fatty_acids:21%	0.2742	0.0338460423968632	79.01	72	77	82	72	93	122.4	97.65
MT0868	MT0868	hypothetical protein	hypoxia_late:20%; microaerophilic:13%	0.396	0.161113119073794	87.14	65	30	52	74	300	61.15	44.01
PE_PGRS34	Rv1840c	PE-PGRS family protein PE_PGRS34	hypoxia_late:29%; microaerophilic:24%	0.259	0.0198036300788686	83.01	79	106	105	66	64	64.41	51.97
Rv0724A	Rv0724A	conserved hypothetical protein	PBS_RIF_DDmtb:9%	0.2693	0.027910397234166	84.37	70	97	108	77	73	226.06	181.43
mpt70	Rv2875	major secreted immunogenic protein Mpt70	PBS_RIF_DDmtb:79%	0.2965	0.0776548405604015	85.73	67	72	84	73	142	39.88	31.09
PPE15	Rv1039c	PPE family protein PPE15	hypoxia_late:32%; human_sputum:15%	0.3027	0.0787834311858325	87.67	64	80	88	70	147	17.13	13.11
ahpD	Rv2429	alkyl hydroperoxide reductase AphD	zinc_limitation:16%	0.2424	0.00575090466478405	85.3	88	104	92	96	52	516.68	423.23
Rv3394c	Rv3394c	hypothetical protein	hypoxia_late:41%; zinc_limitation:10%	0.2467	0.0223355829014918	84.08	93	96	67	82	84	40.3	32.66
MT2565	MT2565	hypothetical protein	hypoxia_late:39%; ctl_stationary:23%; PBS_RIF_DDmtb:10%	0.713	0.392946777591935	94.36	242	1	1	88	468	5.36	1.96
serT	Rvnt44	tRNA-Ser	zinc_limitation:34%; hypoxia_late:10%; hypoxia_hypoxic:10%	0.3272	0.144113383541786	101.51	59	90	109	84	185	180.7	137.85
aspT	Rvnt12	tRNA-Asp	hypoxia_late:14%; zinc_limitation:13%; butyrate:12%; human_sputum:10%	0.4281	0.255246044534736	100.98	94	25	48	81	385	45.08	31.2
MTS1827	MTS1827	small intergenic RNA	acidic_tyloxopol:12%	0.2698	0.092217171176231	92.55	85	69	61	86	182	112.55	89.79
cpsY	Rv0806c	exopolysaccharide phosphotransferase CpsY	PBS_RIF_DDmtb:12%	0.2371	0.013024899598404	97.14	95	121	121	101	56	129.01	105.91
metU	Rvnt38	tRNA-Met	hypoxia_late:22%; butyrate:15%; hypoxia_hypoxic:13%	0.5672	0.418811758217753	97.26	149	2	22	93	456	22.1	12.9
Rv1333	Rv1333	hydrolase	hypoxia_late:9%	0.2253	0.00479917319009472	98.65	103	114	90	144	54	331.45	274.63
adhA	Rv1862	alcohol dehydrogenase A	hypoxia_late:9%	0.2308	0.0110259034739245	97.5	100	111	91	138	57	156.87	129.2
Rv3093c	Rv3093c	oxidoreductase	high_iron:18%; hypoxia_late:11%	0.2664	0.0790103777372851	99.75	77	105	127	83	111	36.68	29.27
MT1717	MT1717	hypothetical protein	high_iron:10%; butyrate:10%	0.2645	0.105818341487181	97.86	96	68	58	94	199	249.06	199.9
Rv3636	Rv3636	transposase	acidic:19%; hypoxia_late:14%; ctl_stationary:11%	0.2865	0.136009824253405	109.85	82	92	107	79	211	55.63	43.85
Rv1337	Rv1337	integral membrane protein	zinc_limitation:9%	0.2171	0.00604787864975325	109.39	112	129	95	174	55	590.08	491.96
glnD	Rv2918c	bifunctional uridylyltransferase/uridylyl-removing enzyme	hypoxia_late:10%	0.2309	0.0181447343454402	113.12	101	140	155	115	66	112.52	92.81
Rv2307c	Rv2307c	hypothetical protein	hypoxia_late:23%	0.2566	0.0961676961196378	108.47	83	110	138	102	113	52.97	42.57
Rv0492c	Rv0492c	GMC-type oxidoreductase	hypoxia_late:30%	0.2229	0.0199110869637412	105.12	110	123	96	130	72	61.3	50.72
MT3847	MT3847	hypothetical protein	nutrient_limitation:61%; PBS_RIF_DDmtb:23%	0.3992	0.34726207398167	124.11	102	49	83	92	396	48.68	34.61
MT0555	MT0555	hypothetical protein	hypoxia_late:16%	0.2453	0.093540791082454	108.73	106	95	79	114	157	193.05	157.3
MT0069	MT0069	hypothetical protein	microaerophilic:17%; cholesterol:12%	0.2627	0.122220476113774	119.96	86	133	166	91	133	246.63	198.46
cysU	Rvnt33	tRNA-Cys	hypoxia_late:16%; human_sputum:14%; zinc_limitation:13%	0.4317	0.311900635095417	134.74	108	75	156	78	312	60.87	42.34
Rv0970	Rv0970	integral membrane protein	microaerophilic:54%	0.2272	0.031008624338684	110.48	107	122	110	139	79	173.69	143.61
Rv0150c	Rv0150c	hypothetical protein	PBS_RIF_DDmtb:18%	0.2752	0.165406769207249	122.16	91	103	132	85	221	71.1	56.59
Rv3611	Rv3611	hypothetical arginine and proline rich protein	PBS_RIF_DDmtb:22%; nutrient_limitation:11%	0.2405	0.0553525709406605	120.2	99	146	171	110	85	139.74	114.39
lat	Rv3290c	L-lysine-epsilon aminotransferase	hypoxia_fatty_acids:31%; cholesterol:16%; microaerophilic:14%; ctl_stationary:13%	0.2144	0.0194797503704863	118.89	119	134	98	180	76	101.8	84.84
yrbE4A	Rv3501c	integral membrane protein	hypoxia_late:14%	0.2409	0.0904887796747168	113.62	98	109	99	142	123	60.05	48.87
vapC3	Rv0549c	ribonuclease VapC3	ctl_stationary:22%; hypoxia_late:11%	0.2551	0.137766848197688	122.12	89	118	157	107	146	91.46	73.85
tatC	Rv2093c	Sec-independent protein translocase transmembrane protein TatC	butyrate:11%; butyrate_plus_glucose:10%	0.2106	0.00710107307316236	122.42	126	136	94	221	62	382.17	319.92
Rv3837c	Rv3837c	phosphoglycerate mutase	hypoxia_fatty_acids:15%; ctl_stationary:14%; microaerophilic:10%	0.2161	0.0159953916316635	124.33	117	145	118	190	68	346.6	288.97
MT1838.1	MT1838.1	hypothetical protein	hypoxia_late:17%	0.2982	0.245500056330467	131.04	97	98	112	87	309	37.41	29.05
dnaJ2	Rv2373c	chaperone protein DnaJ	microaerophilic:16%	0.2102	0.00611998652607247	124.7	125	142	113	210	58	530.5	444.45
lprL	Rv0593	Mce family lipoprotein LprL	hypoxia_late:21%; PBS_RIF_DDmtb:10%	0.24	0.118493229840171	120.21	104	113	97	133	159	28.39	23
Rv2466c	Rv2466c	hypothetical protein	hypoxia_fatty_acids:20%; ctl_stationary:11%; zinc_limitation:10%; PBS_RIF_DDmtb:10%; microaerophilic:10%	0.2438	0.129066451959681	122.98	105	124	134	100	156	56.34	45.81
mog	Rv0865	molybdopterin biosynthesis protein	microaerophilic:32%	0.2113	0.0146405008705136	127.71	128	138	101	224	71	409.62	342.66
Rv1760	Rv1760	diacylglycerol acyltransferase	hypoxia_late:12%; acidic_tyloxopol:10%	0.2213	0.0401131081173609	125.99	113	148	136	159	82	67.47	55.86
Rv0687	Rv0687	NAD-dependent oxidoreductase	microaerophilic:17%; ctl_stationary:16%	0.2242	0.0499573350570129	125.81	111	143	148	145	88	123.07	101.94
MT3962	MT3962	hypothetical protein	hypoxia_rar:11%	0.2994	0.310552702278565	149.3	109	107	140	97	347	100.27	78.05
Rv1144	Rv1144	oxidoreductase	nutrient_limitation:14%; PBS_RIF_DDmtb:14%; butyrate:10%	0.2159	0.0335584586388607	137.1	115	152	159	199	77	216.16	180.24
Rv0197	Rv0197	oxidoreductase	hypoxia_late:18%	0.214	0.0458945717464803	132.31	123	149	119	191	90	41.81	34.71
PE_PGRS42	Rv2487c	PE-PGRS family protein PE_PGRS42	hypoxia_late:60%	0.2436	0.153670803328266	145.45	90	167	219	143	124	25.63	20.66
Rv1619	Rv1619	hypothetical protein	hypoxia_late:14%	0.2113	0.0499940664431976	142.58	130	157	142	208	89	78.78	65.77
ppm1	Rv2051c	polyprenol-monophosphomannose synthase	microaerophilic:13%	0.2021	0.00999654589335614	152.48	137	173	152	264	69	310.85	261.89
Rv1726	Rv1726	oxidoreductase	hypoxia_late:36%; ctl_stationary:10%	0.2307	0.160983200320019	143.79	116	158	172	104	177	24.24	19.82
PPE9	Rv0388c	PPE family protein	hypoxia_late:38%	0.24	0.221774522514429	149.32	120	125	143	126	249	43.13	35.08
Rv0047c	Rv0047c	hypothetical protein	hypoxia_hypoxic:15%; hypoxia_fatty_acids:11%	0.2106	0.068428090650765	152.96	129	153	131	288	94	195.35	163.13
Rv3239c	Rv3239c	transmembrane transport protein	hypoxia_late:21%	0.2006	0.0311749016582904	150.55	141	169	139	246	81	49.45	41.53
korB	Rv2454c	2-oxoglutarate oxidoreductase subunit KorB	zinc_limitation:11%	0.2075	0.0345894247273552	162.9	122	165	185	312	75	390.69	327.39
echA7	Rv0971c	enoyl-CoA hydratase EchA7	microaerophilic:40%; hypoxia_late:12%	0.2249	0.155963149920368	157.01	114	172	179	197	131	74.31	61.33
Rv0622	Rv0622	membrane protein	hypoxia_late:19%; ctl_stationary:11%	0.2428	0.282209952340914	155.74	127	130	135	105	319	17.93	14.4
thiD	Rv0422c	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	low_iron:18%	0.2037	0.0451777107970022	161.72	134	164	141	326	86	203	170.46
Rv2776c	Rv2776c	oxidoreductase	PBS_RIF_DDmtb:12%	0.2054	0.0686099671246265	156.31	143	163	144	254	97	113.91	95.56
narK3	Rv0261c	nitrate/nitrite transporter	hypoxia_late:30%; PBS_RIF_DDmtb:16%; ctl_stationary:13%	0.2601	0.316534027857834	176.63	124	168	196	90	356	7.14	5.52
fadD24	Rv1529	fatty-acid--CoA ligase FadD24	ctl_stationary:12%; hypoxia_late:11%	0.2067	0.113802911385123	154.54	142	154	102	261	134	32.55	27.1
PE_PGRS41	Rv2396	acid and phagosome regulated protein AprC	nutrient_limitation:19%; acidic:15%	0.1981	0.0239941643053996	176.16	144	185	165	373	74	1137.06	959.6
Rv0307c	Rv0307c	hypothetical protein	ctl_stationary:9%	0.2283	0.223650508842645	169.19	121	144	160	207	225	70.75	58.11
PE_PGRS46	Rv2634c	PE-PGRS family protein PE_PGRS46	hypoxia_late:43%	0.2133	0.154449049136041	169.63	118	176	191	266	118	29.68	24.53
nadR	Rv0212c	transcriptional regulator NadR	PBS_RIF_DDmtb:14%; hypoxia_late:11%	0.2054	0.108197242778316	162.7	140	156	120	316	115	80.84	67.66
ctpC	Rv3270	manganese/zinc-exporting P-type ATPase	hypoxia_fatty_acids:28%; butyrate:22%; PBS_RIF_DDmtb:13%	0.1871	0.00880794503150864	179.97	157	180	147	426	70	571.58	486.27
Rv1584c	Rv1584c	phage protein	ctl_stationary:10%; nutrient_limitation:10%	0.2125	0.19478609583077	167.6	139	135	106	270	213	191.05	159.31
murI	Rv1338	glutamate racemase	high_iron:9%	0.1983	0.0643105987777466	175.13	148	195	192	277	91	263.4	222.59
MT1070	MT1070	hypothetical protein	ctl_stationary:14%; PBS_RIF_DDmtb:12%; hypoxia_late:11%	0.3672	0.710901056108113	186.05	231	43	72	170	621	22.91	16.33
drrB	Rv2937	daunorubicin ABC transporter permease DrrB	INDIGO_exponential:13%; tyloxopol:11%	0.2026	0.0900846020190255	185.09	135	201	211	328	92	253.29	213.12
corA	Rv1239c	magnesium and cobalt transport transmembrane protein CorA	zinc_limitation:14%; PBS_RIF_DDmtb:11%	0.2076	0.168003957855241	170	138	151	125	303	158	48.1	40.08
Rv0725c	Rv0725c	hypothetical protein	PBS_RIF_DDmtb:11%	0.2065	0.136572807172394	182.05	132	190	221	274	116	109.53	91.81
Rv0385	Rv0385	monooxygenase	hypoxia_late:15%; ctl_stationary:10%	0.2107	0.208729528480194	179	145	159	133	250	222	33.2	27.56
Rv1359	Rv1359	transcriptional regulator	hypoxia_late:9%	0.211	0.206595621330215	183.75	133	170	158	284	190	65.99	54.94
Rv1815	Rv1815	hypothetical protein	high_iron:14%	0.1825	0.0116581660394338	189.16	172	192	137	452	78	1248.6	1066.23
AS1890	AS1890	putative small regulatory RNA	ctl_stationary:18%; PBS_RIF_DDmtb:17%; hypoxia_late:15%	0.3105	0.659416525601565	195.38	190	76	104	168	587	19.69	14.81
Rv0196	Rv0196	HTH-type transcriptional regulator	hypoxia_late:19%; ctl_stationary:11%; human_sputum:10%; INDIGO_exponential:10%	0.243	0.401284844502858	188.67	153	174	224	113	307	34.56	27.98
MT3718.1	MT3718.1	hypothetical protein	acidic_tyloxopol:14%	0.3704	0.707034029516959	211.73	227	119	162	131	511	20.36	14.58
Rv3594	Rv3594	hypothetical protein	PBS_RIF_DDmtb:12%; hypoxia_late:11%	0.2055	0.156793243581071	195.66	147	233	259	232	126	108.87	91.39
Rv3771c	Rv3771c	hypothetical protein	zinc_limitation:48%	0.2147	0.3177161869911	185.31	150	131	103	265	322	80.7	67
MT2375	MT2375	hypothetical protein	INDIGO_exponential:10%	0.2545	0.53792557917719	191.88	159	120	146	152	453	86.36	69.44
korA	Rv2455c	2-oxoglutarate oxidoreductase subunit KorA	zinc_limitation:12%	0.1817	0.0218286923271703	201.88	170	193	164	500	80	436.32	372.45
zur	Rv2359	zinc uptake regulation protein	hypoxia_fatty_acids:12%	0.2013	0.193286082188102	185.66	151	160	115	385	165	156.16	131.14
MT2501	MT2501	hypothetical protein	hypoxia_late:29%; PBS_RIF_DDmtb:25%	0.3308	0.736219187186767	204.5	261	81	100	154	573	15.63	11.48
Rv2422	Rv2422	hypothetical protein	hypoxia_late:27%	0.3587	0.717805906886006	217.7	233	126	181	125	513	17.04	12.29
Rv2944	Rv2944	insertion sequence element IS1533 transposase	hypoxia_late:12%	0.2042	0.216202430182209	190.84	152	188	173	276	176	73.6	61.71
vapC16	Rv2231A	ribonuclease VapC16	ctl_stationary:14%; hypoxia_late:14%	0.2324	0.485495124817537	191.78	154	116	117	205	438	31.06	25.25
MT1945	MT1945	hypothetical protein	human_sputum:16%; PBS_RIF_DDmtb:14%; hypoxia_late:13%	0.2603	0.59291822633962	209.45	175	132	154	164	503	17.17	13.52
MT2283	MT2283	hypothetical protein	hypoxia_late:38%; ctl_stationary:21%; PBS_RIF_DDmtb:16%	0.6063	0.824981834701462	210.71	386	85	85	111	574	8.46	4.31
guaB3	Rv3410c	oxidoreductase	microaerophilic:14%; hypoxia_late:10%	0.1881	0.116826506446448	204.44	166	211	204	392	100	164.13	139.52
Rv2551c	Rv2551c	hypothetical protein	microaerophilic:17%; hypoxia_late:15%	0.2072	0.222845638384408	211.55	136	227	269	314	141	200.85	168.43
nrnA	Rv2837c	bifunctional oligoribonuclease/PAP phosphatase NrnA	PBS_RIF_DDmtb:13%	0.1904	0.115614340672572	219.17	160	252	266	376	96	528.44	449.06
Rv2041c	Rv2041c	sugar ABC transporter substrate-binding lipoprotein	hypoxia_late:13%	0.1974	0.240302244608173	205.24	156	183	161	365	191	39.17	32.87
Rv3492c	Rv3492c	Mce associated protein	acidic_tyloxopol:10%	0.1896	0.163700009632743	207.5	163	200	167	453	119	225.17	190.92
yrbE3B	Rv1965	integral membrane protein	hypoxia_late:27%; microaerophilic:14%; ctl_stationary:11%	0.2492	0.527113831894424	236.89	182	247	296	116	391	13.7	10.9
Rv1974	Rv1974	membrane protein	ctl_stationary:17%; hypoxia_late:13%	0.2945	0.729266801967987	229.19	214	102	124	217	630	12.34	9.27
